OID_,vh_raw,vv_raw,roughness_p5,roughness_p25,roughness_p75,roughness_p95,zonal_0219_5m_p95_max,zonal_0219_5m_p95_min,zonal_0219_5m_p95_mean,zonal_0219_5m_p5_max,zonal_0219_5m_p5_min,zonal_0219_5m_p5_mean,zonal_0219_5m_max_min,zonal_0219_5m_max_mean,zonal_0219_5m_med_max,zonal_0219_5m_med_min,zonal_0219_5m_med_mean,zonal_0219_5m_min_max,zonal_0219_5m_min_mean,zonal_0219_5m_range_max,zonal_0219_5m_range_min,zonal_0219_5m_range_mean,zonal_0219_2m_max_min,zonal_0219_2m_max_mean,zonal_0219_2m_med_max,zonal_0219_2m_med_min,zonal_0219_2m_med_mean,zonal_0219_2m_min_max,zonal_0219_2m_min_mean,zonal_0219_2m_range_max,zonal_0219_2m_range_min,zonal_0219_2m_range_mean,zonal_0219_2m_p5_max,zonal_0219_2m_p5_min,zonal_0219_2m_p5_mean,zonal_0219_2m_p95_max,zonal_0219_2m_p95_min,zonal_0219_2m_p95_mean,zonal_0219_1m_max_min,zonal_0219_1m_max_mean,zonal_0219_1m_med_max,zonal_0219_1m_med_min,zonal_0219_1m_med_mean,zonal_0219_1m_min_max,zonal_0219_1m_min_mean,zonal_0219_1m_range_max,zonal_0219_1m_range_min,zonal_0219_1m_range_mean,zonal_0219_1m_p5_max,zonal_0219_1m_p5_min,zonal_0219_1m_p5_mean,zonal_0219_1m_p95_max,zonal_0219_1m_p95_min,zonal_0219_1m_p95_mean,zonal_0219_50cm_max_min,zonal_0219_50cm_max_mean,zonal_0219_50cm_med_max,zonal_0219_50cm_med_min,zonal_0219_50cm_med_mean,zonal_0219_50cm_min_max,zonal_0219_50cm_min_mean,zonal_0219_50cm_range_max,zonal_0219_50cm_range_min,zonal_0219_50cm_range_mean,zonal_0219_50cm_p5_max,zonal_0219_50cm_p5_min,zonal_0219_50cm_p5_mean,zonal_0219_50cm_p95_max,zonal_0219_50cm_p95_min,zonal_0219_50cm_p95_mean,zonal_0219_25cm_max_min,zonal_0219_25cm_max_mean,zonal_0219_25cm_med_max,zonal_0219_25cm_med_min,zonal_0219_25cm_med_mean,zonal_0219_25cm_min_max,zonal_0219_25cm_min_mean,zonal_0219_25cm_range_max,zonal_0219_25cm_range_min,zonal_0219_25cm_range_mean,zonal_0219_25cm_p95_max,zonal_0219_25cm_p95_min,zonal_0219_25cm_p95_mean,zonal_0219_25cm_p5_max,zonal_0219_25cm_p5_min,zonal_0219_25cm_p5_mean
284,0.0416940,0.1025024,0.0009248,0.0018874,0.0055412,0.0123783,0.0170404,0.0088290,0.0113765,0.0012497,0.0008219,0.0009730,0.0574381,0.0694896,0.0051935,0.0025955,0.0034303,0.0002834,0.0002052,0.0802254,0.0572241,0.0692844,0.0102819,0.0339294,0.0062923,0.0014843,0.0036294,0.0006000,0.0003052,0.0801602,0.0100679,0.0336242,0.0019867,0.0005888,0.0011212,0.0200871,0.0035986,0.0107115,0.0035570,0.0215717,0.0112251,0.0010956,0.0037838,0.0011917,0.0004582,0.0800212,0.0032629,0.0211135,0.0036062,0.0004785,0.0012409,0.0306871,0.0024813,0.0101590,0.0020976,0.0141440,0.0136093,0.0009770,0.0039633,0.0028611,0.0007253,0.0788023,0.0017973,0.0134187,0.0054978,0.0003410,0.0014327,0.0480281,0.0018091,0.0094950,0.0010275,0.0101797,0.0229453,0.0004435,0.0041528,0.0110947,0.0012249,0.0759011,0.0007933,0.0089548,0.0607380,0.0008870,0.0084428,0.0132889,0.0002332,0.0017704
285,0.0395791,0.0911555,0.0009714,0.0019988,0.0058332,0.0106603,0.0124802,0.0054582,0.0101431,0.0012741,0.0007375,0.0010811,0.0119366,0.0351100,0.0044166,0.0019790,0.0037046,0.0002964,0.0002550,0.0529185,0.0117136,0.0348551,0.0066509,0.0237574,0.0061473,0.0018095,0.0038068,0.0005121,0.0003516,0.0527241,0.0064190,0.0234058,0.0021380,0.0006939,0.0011932,0.0205427,0.0040900,0.0099844,0.0053154,0.0168374,0.0084925,0.0015554,0.0039187,0.0014383,0.0005019,0.0526090,0.0049045,0.0163356,0.0033925,0.0005808,0.0013411,0.0300135,0.0035767,0.0095091,0.0032563,0.0119210,0.0133946,0.0011200,0.0040522,0.0045673,0.0008613,0.0522640,0.0028111,0.0110597,0.0061437,0.0004965,0.0015702,0.0393997,0.0023470,0.0087431,0.0015151,0.0088833,0.0236112,0.0007827,0.0042206,0.0099576,0.0014626,0.0510753,0.0011248,0.0074207,0.0461288,0.0013659,0.0076635,0.0112150,0.0003344,0.0019864
286,0.0678865,0.1819944,0.0008514,0.0017117,0.0054241,0.0124875,0.0174967,0.0057782,0.0127117,0.0011374,0.0007719,0.0008976,0.0136524,0.0858053,0.0039377,0.0023715,0.0030572,0.0002206,0.0002016,0.1470305,0.0134318,0.0856037,0.0064413,0.0419120,0.0076616,0.0015226,0.0035047,0.0005634,0.0002912,0.1470009,0.0062110,0.0416208,0.0031023,0.0006449,0.0011385,0.0370223,0.0037130,0.0120909,0.0033671,0.0255042,0.0118064,0.0013109,0.0036419,0.0022527,0.0004934,0.1467184,0.0029843,0.0250108,0.0051353,0.0003503,0.0013632,0.0649821,0.0029323,0.0112574,0.0014756,0.0152499,0.0160291,0.0010314,0.0038550,0.0079071,0.0009958,0.1452884,0.0008659,0.0142541,0.0089820,0.0002248,0.0016771,0.0987735,0.0014267,0.0101908,0.0012307,0.0101062,0.0432314,0.0003644,0.0041573,0.0128668,0.0016400,0.1451844,0.0002161,0.0084662,0.1212748,0.0011862,0.0084620,0.0154007,0.0001996,0.0021075
287,0.0471275,0.1465594,0.0015851,0.0033820,0.0088385,0.0181993,0.0238464,0.0145090,0.0182705,0.0018697,0.0014783,0.0016076,0.0645424,0.0917920,0.0062145,0.0049593,0.0055450,0.0003513,0.0002667,0.1108537,0.0643389,0.0915252,0.0225810,0.0557212,0.0116947,0.0035589,0.0057633,0.0006278,0.0004284,0.1106880,0.0221571,0.0552927,0.0032777,0.0009643,0.0017204,0.0420540,0.0105439,0.0177228,0.0065149,0.0380115,0.0147841,0.0019489,0.0059697,0.0017639,0.0006321,0.1093829,0.0061871,0.0373795,0.0041887,0.0006774,0.0019393,0.0591784,0.0043505,0.0171284,0.0032816,0.0248719,0.0240864,0.0014421,0.0062273,0.0055777,0.0010983,0.1083871,0.0020521,0.0237736,0.0085754,0.0005723,0.0022249,0.0876718,0.0027599,0.0161256,0.0020863,0.0169286,0.0620093,0.0010278,0.0065828,0.0108143,0.0019339,0.1034602,0.0005051,0.0149947,0.0998065,0.0019874,0.0138961,0.0161500,0.0003645,0.0027737
288,0.0341845,0.1102207,0.0006947,0.0012617,0.0039423,0.0088128,0.0122195,0.0037879,0.0073694,0.0010675,0.0006306,0.0007578,0.0096939,0.0373498,0.0044888,0.0015493,0.0024479,0.0002372,0.0001934,0.0830287,0.0095319,0.0371563,0.0046319,0.0182106,0.0071310,0.0012875,0.0026857,0.0006427,0.0002891,0.0830287,0.0044699,0.0179215,0.0025316,0.0005705,0.0009105,0.0165214,0.0027116,0.0068246,0.0033092,0.0119670,0.0082300,0.0010418,0.0027919,0.0041707,0.0004637,0.0829170,0.0031205,0.0115034,0.0045076,0.0004986,0.0011281,0.0207550,0.0019652,0.0063561,0.0019721,0.0083731,0.0092944,0.0008740,0.0028638,0.0055008,0.0007412,0.0815349,0.0009761,0.0076319,0.0064959,0.0003979,0.0012788,0.0319831,0.0015519,0.0058869,0.0013065,0.0062835,0.0176567,0.0006838,0.0029488,0.0079319,0.0011466,0.0815349,0.0003638,0.0051369,0.0686954,0.0011580,0.0053591,0.0086985,0.0002738,0.0015162
289,0.0576537,0.2249124,0.0010735,0.0022359,0.0068706,0.0135794,0.0204065,0.0095711,0.0138012,0.0012046,0.0009966,0.0010825,0.0313835,0.0545919,0.0048930,0.0033152,0.0040862,0.0003180,0.0002479,0.1042455,0.0310655,0.0543440,0.0135884,0.0325620,0.0090836,0.0023418,0.0043518,0.0005296,0.0003658,0.1039411,0.0133653,0.0321961,0.0024437,0.0008325,0.0012261,0.0372290,0.0064706,0.0128931,0.0056371,0.0216081,0.0140701,0.0017805,0.0045730,0.0013319,0.0005255,0.1038349,0.0052685,0.0210827,0.0035626,0.0005929,0.0013784,0.0557570,0.0038933,0.0121136,0.0033959,0.0159239,0.0242928,0.0012392,0.0047756,0.0049274,0.0007811,0.0995245,0.0029577,0.0151428,0.0067341,0.0005095,0.0015546,0.0703322,0.0027063,0.0113255,0.0018477,0.0117441,0.0410806,0.0009179,0.0050359,0.0082170,0.0012563,0.0983478,0.0014276,0.0104878,0.0892609,0.0016483,0.0099905,0.0129439,0.0003268,0.0019080
290,0.0814272,0.1673255,0.0009144,0.0017601,0.0046678,0.0093825,0.0120466,0.0044957,0.0090767,0.0011344,0.0007595,0.0009746,0.0097240,0.0462982,0.0038287,0.0019523,0.0030467,0.0003006,0.0002460,0.0805457,0.0095464,0.0460522,0.0071460,0.0230184,0.0071569,0.0017525,0.0031543,0.0005227,0.0003222,0.0803687,0.0068269,0.0226962,0.0018655,0.0007092,0.0010272,0.0248931,0.0043304,0.0089016,0.0044594,0.0157532,0.0089692,0.0013659,0.0032870,0.0008830,0.0004295,0.0800719,0.0042041,0.0153237,0.0026204,0.0005773,0.0011285,0.0364346,0.0030603,0.0083748,0.0027191,0.0113679,0.0132721,0.0010936,0.0033929,0.0019003,0.0006282,0.0800719,0.0024481,0.0107397,0.0035525,0.0004284,0.0012241,0.0524709,0.0020408,0.0079551,0.0015156,0.0083361,0.0264993,0.0007918,0.0035533,0.0044643,0.0009620,0.0782506,0.0011213,0.0073742,0.0717343,0.0013770,0.0070279,0.0102438,0.0003623,0.0014388
291,0.0239347,0.0683674,0.0006881,0.0011821,0.0025071,0.0041915,0.0046676,0.0034759,0.0041374,0.0007499,0.0006637,0.0006913,0.0075776,0.0098348,0.0019275,0.0016200,0.0017439,0.0001975,0.0001753,0.0125504,0.0074174,0.0096595,0.0048963,0.0074990,0.0025533,0.0013059,0.0017711,0.0003369,0.0002460,0.0124408,0.0046808,0.0072530,0.0009054,0.0005706,0.0007071,0.0064180,0.0030162,0.0040363,0.0034778,0.0061555,0.0031564,0.0010578,0.0017992,0.0005313,0.0003223,0.0124408,0.0031773,0.0058332,0.0011262,0.0005096,0.0007313,0.0071251,0.0021705,0.0039202,0.0022838,0.0050583,0.0044476,0.0009584,0.0018325,0.0009275,0.0004337,0.0120515,0.0019156,0.0046246,0.0014641,0.0004019,0.0007652,0.0083083,0.0018069,0.0037785,0.0012683,0.0040519,0.0059113,0.0006792,0.0018802,0.0020261,0.0006130,0.0112343,0.0009290,0.0034389,0.0099916,0.0012097,0.0034894,0.0030383,0.0003357,0.0008573
292,0.0095299,0.0828232,0.0009268,0.0017294,0.0042034,0.0071156,0.0079173,0.0060249,0.0070007,0.0010493,0.0008598,0.0009366,0.0129144,0.0168941,0.0032612,0.0023963,0.0027605,0.0003073,0.0002683,0.0239340,0.0126469,0.0166259,0.0085171,0.0129822,0.0042049,0.0018642,0.0028189,0.0004572,0.0003370,0.0239181,0.0081841,0.0126452,0.0014191,0.0007359,0.0009893,0.0100478,0.0041502,0.0068008,0.0051432,0.0103382,0.0049335,0.0016385,0.0028863,0.0007243,0.0004329,0.0238660,0.0047589,0.0099053,0.0015323,0.0006369,0.0010183,0.0146564,0.0034918,0.0065377,0.0032709,0.0084142,0.0080237,0.0012778,0.0029375,0.0012207,0.0005801,0.0237767,0.0028308,0.0078341,0.0026599,0.0004754,0.0010821,0.0161906,0.0025086,0.0062855,0.0017543,0.0066638,0.0118683,0.0008652,0.0030326,0.0041210,0.0008732,0.0207237,0.0013132,0.0057906,0.0185750,0.0016366,0.0057406,0.0054307,0.0003935,0.0012685
293,0.0257850,0.0825553,0.0006686,0.0011268,0.0022774,0.0036872,0.0040288,0.0030941,0.0036521,0.0007086,0.0006259,0.0006727,0.0072086,0.0086279,0.0017039,0.0014699,0.0016248,0.0002403,0.0001863,0.0103529,0.0070102,0.0084416,0.0045413,0.0067385,0.0020517,0.0014040,0.0016325,0.0003538,0.0002527,0.0102918,0.0043166,0.0064858,0.0007708,0.0005946,0.0006773,0.0052670,0.0029049,0.0035895,0.0036565,0.0056253,0.0027458,0.0012422,0.0016462,0.0004882,0.0003229,0.0102579,0.0033731,0.0053024,0.0010484,0.0005515,0.0006898,0.0065199,0.0024736,0.0035370,0.0023063,0.0046426,0.0035138,0.0010155,0.0016685,0.0007946,0.0004163,0.0101956,0.0019468,0.0042263,0.0012816,0.0004128,0.0007169,0.0084612,0.0019217,0.0034403,0.0013492,0.0037402,0.0054878,0.0006703,0.0017098,0.0020592,0.0005742,0.0093145,0.0010762,0.0031660,0.0096977,0.0011140,0.0031904,0.0033374,0.0002986,0.0007919
