OID_,vh_raw,vv_raw,roughness_p5,roughness_p25,roughness_p75,roughness_p95,zonal_0219_5m_p95_max,zonal_0219_5m_p95_min,zonal_0219_5m_p95_mean,zonal_0219_5m_p5_max,zonal_0219_5m_p5_min,zonal_0219_5m_p5_mean,zonal_0219_5m_max_min,zonal_0219_5m_max_mean,zonal_0219_5m_med_max,zonal_0219_5m_med_min,zonal_0219_5m_med_mean,zonal_0219_5m_min_max,zonal_0219_5m_min_mean,zonal_0219_5m_range_max,zonal_0219_5m_range_min,zonal_0219_5m_range_mean,zonal_0219_2m_max_min,zonal_0219_2m_max_mean,zonal_0219_2m_med_max,zonal_0219_2m_med_min,zonal_0219_2m_med_mean,zonal_0219_2m_min_max,zonal_0219_2m_min_mean,zonal_0219_2m_range_max,zonal_0219_2m_range_min,zonal_0219_2m_range_mean,zonal_0219_2m_p5_max,zonal_0219_2m_p5_min,zonal_0219_2m_p5_mean,zonal_0219_2m_p95_max,zonal_0219_2m_p95_min,zonal_0219_2m_p95_mean,zonal_0219_1m_max_min,zonal_0219_1m_max_mean,zonal_0219_1m_med_max,zonal_0219_1m_med_min,zonal_0219_1m_med_mean,zonal_0219_1m_min_max,zonal_0219_1m_min_mean,zonal_0219_1m_range_max,zonal_0219_1m_range_min,zonal_0219_1m_range_mean,zonal_0219_1m_p5_max,zonal_0219_1m_p5_min,zonal_0219_1m_p5_mean,zonal_0219_1m_p95_max,zonal_0219_1m_p95_min,zonal_0219_1m_p95_mean,zonal_0219_50cm_max_min,zonal_0219_50cm_max_mean,zonal_0219_50cm_med_max,zonal_0219_50cm_med_min,zonal_0219_50cm_med_mean,zonal_0219_50cm_min_max,zonal_0219_50cm_min_mean,zonal_0219_50cm_range_max,zonal_0219_50cm_range_min,zonal_0219_50cm_range_mean,zonal_0219_50cm_p5_max,zonal_0219_50cm_p5_min,zonal_0219_50cm_p5_mean,zonal_0219_50cm_p95_max,zonal_0219_50cm_p95_min,zonal_0219_50cm_p95_mean,zonal_0219_25cm_max_min,zonal_0219_25cm_max_mean,zonal_0219_25cm_med_max,zonal_0219_25cm_med_min,zonal_0219_25cm_med_mean,zonal_0219_25cm_min_max,zonal_0219_25cm_min_mean,zonal_0219_25cm_range_max,zonal_0219_25cm_range_min,zonal_0219_25cm_range_mean,zonal_0219_25cm_p95_max,zonal_0219_25cm_p95_min,zonal_0219_25cm_p95_mean,zonal_0219_25cm_p5_max,zonal_0219_25cm_p5_min,zonal_0219_25cm_p5_mean
1,0.0053706,0.0247410,0.0014295,0.0027608,0.0064687,0.0117276,0.0143785,0.0100796,0.0117780,0.0015470,0.0013628,0.0014404,0.0351371,0.0488613,0.0046172,0.0039927,0.0043012,0.0003741,0.0003189,0.0653397,0.0348495,0.0485424,0.0159494,0.0332614,0.0066236,0.0034438,0.0043599,0.0005783,0.0004344,0.0652404,0.0154413,0.0328271,0.0022624,0.0011933,0.0014792,0.0208369,0.0084364,0.0115757,0.0090201,0.0228726,0.0093276,0.0026858,0.0044484,0.0010262,0.0005926,0.0649864,0.0086541,0.0222799,0.0028837,0.0010358,0.0015354,0.0290909,0.0064166,0.0114416,0.0053331,0.0157984,0.0111876,0.0020934,0.0046043,0.0019701,0.0008570,0.0649864,0.0047686,0.0149415,0.0048940,0.0006398,0.0016906,0.0440669,0.0041617,0.0107448,0.0033534,0.0116657,0.0179392,0.0013830,0.0047656,0.0054745,0.0013017,0.0649864,0.0026031,0.0103640,0.0541990,0.0026370,0.0097692,0.0070189,0.0004623,0.0019386
2,0.0041798,0.0384940,0.0011541,0.0024249,0.0065984,0.0125832,0.0142142,0.0082374,0.0121292,0.0016071,0.0008005,0.0013156,0.0398632,0.0601307,0.0050079,0.0025123,0.0041645,0.0002789,0.0002069,0.0759316,0.0397765,0.0599238,0.0120058,0.0349696,0.0061498,0.0017055,0.0042593,0.0006077,0.0003791,0.0755721,0.0119191,0.0345905,0.0020560,0.0005980,0.0013938,0.0169379,0.0042952,0.0118467,0.0047178,0.0224018,0.0087579,0.0013414,0.0043941,0.0012715,0.0005388,0.0754366,0.0046311,0.0218630,0.0028310,0.0005220,0.0014762,0.0304780,0.0029779,0.0115774,0.0026899,0.0157835,0.0114391,0.0009210,0.0045449,0.0022562,0.0008047,0.0746373,0.0023884,0.0149788,0.0045801,0.0003995,0.0016256,0.0406396,0.0022023,0.0107865,0.0018486,0.0117801,0.0226085,0.0005819,0.0047348,0.0071315,0.0012705,0.0725971,0.0016337,0.0105096,0.0562784,0.0012945,0.0097245,0.0088689,0.0003180,0.0019124
3,0.0079459,0.0870447,0.0018948,0.0042665,0.0116295,0.0274794,0.0312965,0.0210543,0.0270837,0.0025163,0.0013348,0.0020523,0.1279632,0.1820513,0.0085562,0.0053586,0.0071741,0.0003319,0.0002189,0.2543273,0.1276827,0.1818324,0.0219999,0.0948275,0.0111351,0.0047630,0.0073776,0.0008407,0.0004658,0.2542534,0.0215009,0.0943617,0.0029660,0.0011055,0.0020433,0.0551150,0.0120162,0.0273524,0.0131901,0.0614369,0.0156874,0.0028953,0.0075789,0.0013264,0.0007379,0.2540173,0.0127518,0.0606990,0.0040152,0.0005869,0.0022679,0.0738434,0.0096682,0.0265917,0.0024096,0.0398106,0.0257325,0.0010343,0.0080132,0.0044078,0.0012011,0.2506675,0.0013807,0.0386095,0.0079567,0.0003064,0.0025872,0.1859697,0.0020274,0.0250378,0.0012288,0.0265263,0.0503158,0.0006346,0.0086453,0.0136142,0.0020783,0.2506675,0.0003094,0.0244481,0.2276811,0.0010905,0.0214241,0.0185052,0.0002235,0.0031877
4,0.0075672,0.0438050,0.0013215,0.0025622,0.0060413,0.0112120,0.0135865,0.0077488,0.0111306,0.0015170,0.0011089,0.0013578,0.0260061,0.0659768,0.0043788,0.0031510,0.0040288,0.0003633,0.0002901,0.0816106,0.0257216,0.0656867,0.0124009,0.0372011,0.0067039,0.0025538,0.0041246,0.0006363,0.0004253,0.0813750,0.0120535,0.0367758,0.0019039,0.0009817,0.0013957,0.0211210,0.0053847,0.0108016,0.0074471,0.0230640,0.0079508,0.0023109,0.0041906,0.0010504,0.0005570,0.0810686,0.0070998,0.0225070,0.0024288,0.0008505,0.0014475,0.0310764,0.0046314,0.0108537,0.0043936,0.0158711,0.0149176,0.0017726,0.0043055,0.0017256,0.0007722,0.0810686,0.0038477,0.0150989,0.0033064,0.0006766,0.0015484,0.0538230,0.0036926,0.0104923,0.0027674,0.0113401,0.0301868,0.0012347,0.0045018,0.0046899,0.0012068,0.0799568,0.0022215,0.0101334,0.0749300,0.0025008,0.0093586,0.0078876,0.0004867,0.0017968
5,0.0036481,0.0474458,0.0011258,0.0021562,0.0054563,0.0103954,0.0134642,0.0072427,0.0099221,0.0016273,0.0009635,0.0012081,0.0166579,0.0386204,0.0050310,0.0027524,0.0036065,0.0003762,0.0003093,0.0597369,0.0164130,0.0383111,0.0097866,0.0243341,0.0061450,0.0021374,0.0037161,0.0006765,0.0003996,0.0595145,0.0094941,0.0239345,0.0020620,0.0008315,0.0012846,0.0180645,0.0050175,0.0095447,0.0060227,0.0177836,0.0078271,0.0017546,0.0037986,0.0011431,0.0005195,0.0591208,0.0056658,0.0172641,0.0025392,0.0007473,0.0013384,0.0246360,0.0037010,0.0092338,0.0039819,0.0128492,0.0113655,0.0015564,0.0038879,0.0019648,0.0007293,0.0589981,0.0035401,0.0121199,0.0039582,0.0006545,0.0014242,0.0332312,0.0032928,0.0089559,0.0021429,0.0095661,0.0177832,0.0011056,0.0040403,0.0069377,0.0011051,0.0573467,0.0016745,0.0084610,0.0511953,0.0018631,0.0081077,0.0087496,0.0004754,0.0016370
6,0.0236369,0.1267635,0.0013596,0.0028099,0.0071887,0.0155565,0.0175090,0.0127701,0.0151980,0.0017771,0.0011321,0.0014135,0.0733306,0.1009464,0.0058402,0.0038634,0.0045862,0.0004012,0.0002959,0.1214576,0.0730959,0.1006505,0.0106733,0.0494738,0.0072312,0.0019687,0.0047153,0.0005952,0.0004131,0.1212520,0.0103744,0.0490607,0.0021418,0.0007054,0.0014987,0.0306838,0.0053145,0.0149014,0.0047881,0.0304059,0.0101809,0.0013572,0.0049368,0.0010867,0.0005789,0.1206204,0.0044298,0.0298271,0.0030043,0.0005872,0.0015939,0.0533578,0.0027676,0.0141525,0.0031760,0.0200624,0.0185261,0.0012009,0.0051518,0.0035579,0.0008850,0.1205972,0.0028169,0.0191774,0.0057562,0.0004316,0.0017973,0.0755934,0.0025265,0.0133738,0.0016917,0.0140523,0.0501193,0.0008632,0.0054756,0.0152497,0.0015199,0.1139600,0.0012016,0.0125323,0.1008156,0.0014959,0.0116261,0.0171893,0.0003099,0.0022321
7,0.0126458,0.0925157,0.0014273,0.0028590,0.0082266,0.0264881,0.0426335,0.0136337,0.0282057,0.0016135,0.0013250,0.0014489,0.1421909,0.1760599,0.0055545,0.0041510,0.0048262,0.0003606,0.0002959,0.2037842,0.1418398,0.1757640,0.0164086,0.0860078,0.0104612,0.0030869,0.0053917,0.0006863,0.0004234,0.2035295,0.0159849,0.0855844,0.0022695,0.0010546,0.0015484,0.0924754,0.0075852,0.0290123,0.0087314,0.0574685,0.0210395,0.0024717,0.0057524,0.0018667,0.0006131,0.2035295,0.0081117,0.0568554,0.0059080,0.0008975,0.0017203,0.1309664,0.0059251,0.0278946,0.0054738,0.0368417,0.0348003,0.0017515,0.0063091,0.0038375,0.0009335,0.2031903,0.0049812,0.0359082,0.0084547,0.0004074,0.0019800,0.1422781,0.0038909,0.0240174,0.0033442,0.0239520,0.0697202,0.0008472,0.0069128,0.0135573,0.0016157,0.2031855,0.0025118,0.0223363,0.1820278,0.0028644,0.0197783,0.0195027,0.0002237,0.0024590
8,0.0140109,0.1180760,0.0013927,0.0029486,0.0087977,0.0230023,0.0471613,0.0087685,0.0218316,0.0029102,0.0010620,0.0017239,0.0637354,0.1051906,0.0103257,0.0032091,0.0057606,0.0004413,0.0003223,0.1788967,0.0634248,0.1048683,0.0110292,0.0624244,0.0128981,0.0024361,0.0058985,0.0009952,0.0004571,0.1788967,0.0105333,0.0619672,0.0037884,0.0008460,0.0017896,0.0774106,0.0060180,0.0215332,0.0063773,0.0440845,0.0158237,0.0019103,0.0061009,0.0014528,0.0006667,0.1788967,0.0060833,0.0434178,0.0048019,0.0007321,0.0019471,0.0863871,0.0040253,0.0209190,0.0043137,0.0301017,0.0346293,0.0017629,0.0063245,0.0039994,0.0009889,0.1753386,0.0037426,0.0291128,0.0110044,0.0005823,0.0021219,0.1139554,0.0035140,0.0197231,0.0022062,0.0205671,0.0483501,0.0011827,0.0067809,0.0126821,0.0016188,0.1751591,0.0019122,0.0189483,0.1486643,0.0018798,0.0167788,0.0182657,0.0003224,0.0025004
9,0.0121042,0.0734038,0.0011596,0.0022161,0.0052765,0.0093386,0.0107526,0.0083307,0.0093601,0.0012232,0.0010702,0.0011622,0.0221310,0.0381978,0.0037278,0.0031945,0.0034903,0.0003430,0.0002873,0.0497084,0.0218902,0.0379105,0.0127948,0.0224472,0.0046476,0.0026504,0.0035476,0.0005219,0.0003706,0.0496317,0.0124241,0.0220765,0.0014521,0.0009463,0.0011899,0.0161726,0.0062918,0.0091672,0.0057349,0.0162828,0.0067211,0.0020242,0.0036289,0.0008985,0.0004903,0.0493210,0.0054169,0.0157925,0.0023067,0.0008322,0.0012573,0.0217351,0.0043401,0.0087943,0.0044407,0.0121531,0.0097766,0.0016765,0.0037229,0.0021348,0.0007059,0.0492781,0.0038813,0.0114472,0.0032758,0.0006449,0.0013643,0.0248552,0.0036540,0.0083659,0.0022425,0.0090603,0.0154421,0.0008884,0.0038705,0.0051906,0.0010912,0.0483966,0.0016816,0.0079691,0.0401534,0.0016841,0.0076347,0.0059298,0.0004178,0.0015958
10,0.0061988,0.0503967,0.0010216,0.0019040,0.0044944,0.0081702,0.0100671,0.0060438,0.0077895,0.0012838,0.0009091,0.0010621,0.0143448,0.0229053,0.0038068,0.0024475,0.0030256,0.0002700,0.0002116,0.0300858,0.0141393,0.0226937,0.0068011,0.0165170,0.0049858,0.0018988,0.0030711,0.0005359,0.0003427,0.0297155,0.0065955,0.0161743,0.0015288,0.0007663,0.0010781,0.0139245,0.0039951,0.0076737,0.0046898,0.0126435,0.0065475,0.0017429,0.0031495,0.0009543,0.0004524,0.0293401,0.0042640,0.0121911,0.0021765,0.0007060,0.0011291,0.0181668,0.0034405,0.0074007,0.0034079,0.0099163,0.0116697,0.0015207,0.0032236,0.0014330,0.0006150,0.0290678,0.0028227,0.0093013,0.0045310,0.0005804,0.0011902,0.0219929,0.0028261,0.0070853,0.0023521,0.0077560,0.0151841,0.0008812,0.0033203,0.0039365,0.0009359,0.0288128,0.0015536,0.0068201,0.0283034,0.0020655,0.0065251,0.0065369,0.0003927,0.0013758
11,0.0518249,0.1584449,0.0010587,0.0020826,0.0053747,0.0099793,0.0117071,0.0068886,0.0096355,0.0014781,0.0008452,0.0011461,0.0332714,0.0424087,0.0044502,0.0023911,0.0034663,0.0002848,0.0002620,0.0635754,0.0330118,0.0421467,0.0061403,0.0228757,0.0057994,0.0016113,0.0035948,0.0005420,0.0003722,0.0635641,0.0058807,0.0225035,0.0019038,0.0006673,0.0012142,0.0167498,0.0034227,0.0092486,0.0044607,0.0167774,0.0076338,0.0014572,0.0036730,0.0011265,0.0004844,0.0631131,0.0042010,0.0162930,0.0024879,0.0005664,0.0012813,0.0297408,0.0029336,0.0089983,0.0033658,0.0122829,0.0095708,0.0011831,0.0037531,0.0020233,0.0006900,0.0620300,0.0030453,0.0115929,0.0036461,0.0005192,0.0013658,0.0497368,0.0026871,0.0086771,0.0017618,0.0093263,0.0293501,0.0008234,0.0039061,0.0050546,0.0010652,0.0587943,0.0014491,0.0082611,0.0597001,0.0015261,0.0078645,0.0068057,0.0003701,0.0015690
12,0.0322534,0.1125420,0.0011472,0.0022041,0.0052329,0.0096974,0.0108197,0.0068259,0.0094823,0.0013163,0.0010434,0.0011731,0.0358559,0.0621186,0.0041685,0.0029597,0.0035078,0.0002816,0.0002341,0.1207212,0.0355743,0.0618845,0.0105760,0.0255224,0.0051862,0.0026173,0.0035810,0.0005214,0.0003331,0.1207212,0.0102518,0.0251892,0.0016200,0.0009225,0.0011903,0.0257185,0.0060076,0.0094975,0.0065026,0.0163647,0.0081442,0.0021631,0.0036868,0.0008522,0.0004751,0.1202647,0.0061235,0.0158897,0.0023546,0.0007046,0.0012705,0.0356501,0.0044918,0.0091352,0.0046287,0.0119169,0.0145117,0.0016556,0.0038245,0.0024269,0.0007062,0.1200770,0.0041219,0.0112107,0.0051923,0.0005204,0.0013939,0.0650377,0.0035095,0.0085330,0.0023044,0.0091285,0.0300927,0.0011778,0.0039700,0.0067446,0.0011006,0.1193445,0.0019626,0.0080279,0.1061041,0.0020452,0.0077985,0.0107225,0.0003878,0.0016232
13,0.0161384,0.0482296,0.0008557,0.0015586,0.0035799,0.0064965,0.0094527,0.0048447,0.0064099,0.0010063,0.0007779,0.0008737,0.0104784,0.0275417,0.0030297,0.0020154,0.0024247,0.0002508,0.0002106,0.0688862,0.0102276,0.0273311,0.0058850,0.0130223,0.0065137,0.0017618,0.0025540,0.0004807,0.0003203,0.0686010,0.0057361,0.0127020,0.0018666,0.0006731,0.0009302,0.0173370,0.0036926,0.0059485,0.0043982,0.0096964,0.0078299,0.0015171,0.0025887,0.0009221,0.0004095,0.0682724,0.0040516,0.0092869,0.0024086,0.0006146,0.0009585,0.0288203,0.0032469,0.0058383,0.0029413,0.0076189,0.0099635,0.0012306,0.0026441,0.0017746,0.0005492,0.0682724,0.0027265,0.0070697,0.0040448,0.0005184,0.0010366,0.0453498,0.0025106,0.0055436,0.0018843,0.0059351,0.0224632,0.0008829,0.0027249,0.0041307,0.0008316,0.0672556,0.0013987,0.0051036,0.0579221,0.0015753,0.0050820,0.0060598,0.0003302,0.0011934
14,0.0087148,0.0509634,0.0010167,0.0019360,0.0046709,0.0086437,0.0100853,0.0065160,0.0083915,0.0011893,0.0009202,0.0010505,0.0205813,0.0262461,0.0036675,0.0025724,0.0030944,0.0003380,0.0002733,0.0300812,0.0203476,0.0259728,0.0105517,0.0170430,0.0053164,0.0021606,0.0031701,0.0006097,0.0003509,0.0300650,0.0101942,0.0166922,0.0016647,0.0007941,0.0011062,0.0145720,0.0049031,0.0080717,0.0058119,0.0137043,0.0064277,0.0017528,0.0032393,0.0008800,0.0004580,0.0300622,0.0054471,0.0132463,0.0022144,0.0006519,0.0011433,0.0161274,0.0035940,0.0078010,0.0039666,0.0106399,0.0096372,0.0015337,0.0033189,0.0019821,0.0006363,0.0291500,0.0035340,0.0100036,0.0035594,0.0005643,0.0012264,0.0207449,0.0029979,0.0074811,0.0018849,0.0081442,0.0121402,0.0009575,0.0034258,0.0045038,0.0009701,0.0290962,0.0013061,0.0071741,0.0227845,0.0014969,0.0068476,0.0057967,0.0003547,0.0014157
15,0.0628827,0.1925146,0.0012637,0.0025659,0.0061741,0.0104647,0.0109868,0.0087434,0.0103221,0.0014176,0.0011196,0.0012767,0.0215018,0.0449974,0.0045035,0.0035413,0.0041188,0.0003382,0.0002950,0.1016750,0.0211699,0.0447024,0.0102509,0.0242469,0.0067093,0.0026129,0.0042318,0.0006307,0.0004118,0.1016369,0.0099513,0.0238351,0.0023812,0.0008605,0.0014010,0.0137742,0.0061536,0.0098403,0.0064978,0.0162679,0.0093743,0.0018414,0.0043433,0.0044046,0.0006221,0.1010413,0.0060322,0.0156458,0.0056624,0.0007657,0.0016039,0.0208185,0.0039537,0.0093052,0.0041166,0.0120631,0.0126362,0.0015362,0.0044313,0.0071493,0.0010550,0.1001776,0.0036260,0.0110082,0.0096010,0.0005393,0.0018635,0.0515765,0.0029811,0.0088128,0.0021787,0.0092801,0.0187873,0.0009628,0.0045559,0.0099498,0.0016468,0.1001776,0.0016240,0.0076333,0.0964909,0.0017525,0.0080180,0.0105672,0.0004289,0.0021977
16,0.0221239,0.1083517,0.0008274,0.0014953,0.0033443,0.0059343,0.0072665,0.0048121,0.0058707,0.0009021,0.0007652,0.0008374,0.0139517,0.0301914,0.0025547,0.0019578,0.0022617,0.0002597,0.0001963,0.0639405,0.0137811,0.0299951,0.0065421,0.0147933,0.0034176,0.0015669,0.0023256,0.0003894,0.0002645,0.0638574,0.0063364,0.0145288,0.0012102,0.0006644,0.0008694,0.0106012,0.0034647,0.0056958,0.0042522,0.0102292,0.0045038,0.0014323,0.0023595,0.0006899,0.0003606,0.0636071,0.0039947,0.0098686,0.0014768,0.0005906,0.0008960,0.0182249,0.0026551,0.0055903,0.0027582,0.0073530,0.0084182,0.0011601,0.0024316,0.0013132,0.0005122,0.0636071,0.0024277,0.0068408,0.0031267,0.0004254,0.0009544,0.0333555,0.0023449,0.0052699,0.0017034,0.0057187,0.0199451,0.0007730,0.0025085,0.0035552,0.0007685,0.0626237,0.0012747,0.0049502,0.0533499,0.0015577,0.0048242,0.0045559,0.0002863,0.0010972
17,0.0165636,0.0994752,0.0008498,0.0015821,0.0038939,0.0077319,0.0098306,0.0057082,0.0073942,0.0010420,0.0007377,0.0008771,0.0217086,0.0531724,0.0033411,0.0019587,0.0025234,0.0002775,0.0002141,0.1259768,0.0214895,0.0529584,0.0069705,0.0207538,0.0049065,0.0016394,0.0026473,0.0004137,0.0002876,0.1258589,0.0066935,0.0204662,0.0014313,0.0006391,0.0009244,0.0169346,0.0036901,0.0070566,0.0045055,0.0131264,0.0068651,0.0014099,0.0027776,0.0009758,0.0004070,0.1257093,0.0041982,0.0127194,0.0030165,0.0005292,0.0010034,0.0224858,0.0028311,0.0066571,0.0028311,0.0088374,0.0107376,0.0009400,0.0028641,0.0039905,0.0006001,0.1246891,0.0024716,0.0082373,0.0049022,0.0004582,0.0011054,0.0798274,0.0022438,0.0063020,0.0014099,0.0066453,0.0388087,0.0007795,0.0029875,0.0072652,0.0009354,0.1189890,0.0009638,0.0057099,0.1127267,0.0012667,0.0056504,0.0112942,0.0003285,0.0013203
18,0.0727276,0.3453006,0.0008352,0.0015563,0.0038129,0.0077603,0.0090459,0.0050418,0.0075765,0.0009359,0.0007684,0.0008455,0.0210406,0.0375548,0.0027046,0.0019801,0.0024295,0.0002648,0.0002009,0.0737068,0.0208811,0.0373539,0.0056150,0.0198328,0.0038537,0.0016664,0.0025069,0.0004137,0.0002954,0.0734982,0.0053586,0.0195374,0.0012176,0.0006848,0.0008792,0.0112928,0.0037533,0.0074066,0.0048022,0.0122936,0.0060940,0.0012820,0.0026212,0.0007082,0.0003842,0.0732634,0.0044490,0.0119093,0.0019839,0.0006141,0.0009205,0.0189065,0.0024251,0.0069345,0.0026499,0.0089263,0.0096220,0.0010656,0.0027535,0.0017028,0.0005464,0.0731950,0.0022284,0.0083799,0.0041560,0.0004417,0.0010245,0.0337728,0.0021373,0.0063902,0.0016620,0.0066500,0.0146719,0.0008270,0.0029058,0.0049069,0.0008449,0.0713520,0.0012225,0.0058050,0.0599799,0.0015181,0.0056393,0.0066956,0.0003217,0.0012171
19,0.0182589,0.3054061,0.0008064,0.0014928,0.0034879,0.0068615,0.0079650,0.0047724,0.0068909,0.0008833,0.0007233,0.0008209,0.0148387,0.0512280,0.0026037,0.0018781,0.0022917,0.0001728,0.0001555,0.1179310,0.0146863,0.0510725,0.0066689,0.0216594,0.0033801,0.0016405,0.0023662,0.0004852,0.0002613,0.1179105,0.0064092,0.0213981,0.0011422,0.0006568,0.0008482,0.0208211,0.0037993,0.0070726,0.0044130,0.0116378,0.0088364,0.0014558,0.0025419,0.0007425,0.0003646,0.1179105,0.0041338,0.0112731,0.0018717,0.0005705,0.0008980,0.0556132,0.0030846,0.0065546,0.0028767,0.0084166,0.0143049,0.0010532,0.0026411,0.0023717,0.0005239,0.1167496,0.0024469,0.0078927,0.0038020,0.0004771,0.0009975,0.0764604,0.0020747,0.0061044,0.0017543,0.0063119,0.0427498,0.0008199,0.0027685,0.0059872,0.0008402,0.1167496,0.0012545,0.0054716,0.1127148,0.0015921,0.0053903,0.0103748,0.0003544,0.0012032
20,0.0137088,0.1449435,0.0008651,0.0016022,0.0034308,0.0056252,0.0072100,0.0043139,0.0053802,0.0010379,0.0008074,0.0008865,0.0082029,0.0143620,0.0031210,0.0020586,0.0024498,0.0002358,0.0002213,0.0251120,0.0080230,0.0141406,0.0061838,0.0103797,0.0041317,0.0016342,0.0024601,0.0004325,0.0003021,0.0249521,0.0057512,0.0100776,0.0015665,0.0006390,0.0009188,0.0106821,0.0039639,0.0053559,0.0043691,0.0080381,0.0064624,0.0013429,0.0025147,0.0012622,0.0003978,0.0247563,0.0040146,0.0076403,0.0023170,0.0005296,0.0009891,0.0140973,0.0029198,0.0050922,0.0028841,0.0064983,0.0073518,0.0011486,0.0025554,0.0018139,0.0005816,0.0245573,0.0025269,0.0059167,0.0029907,0.0005029,0.0010754,0.0161195,0.0021926,0.0048912,0.0014224,0.0051685,0.0093725,0.0006631,0.0026053,0.0047689,0.0009398,0.0245573,0.0011115,0.0042288,0.0191158,0.0011148,0.0044859,0.0052295,0.0002911,0.0012735
21,0.0150434,0.0468490,0.0007783,0.0014897,0.0052050,0.0165218,0.0301235,0.0034951,0.0143654,0.0016702,0.0006225,0.0010272,0.0176447,0.1260313,0.0061412,0.0014964,0.0032790,0.0002963,0.0002606,0.2774695,0.0174369,0.1257707,0.0050202,0.0514645,0.0103021,0.0013147,0.0036744,0.0006370,0.0003520,0.2774695,0.0047829,0.0511125,0.0023294,0.0005633,0.0011304,0.0571308,0.0026964,0.0129901,0.0034262,0.0290360,0.0169224,0.0011745,0.0038693,0.0013766,0.0004843,0.2774695,0.0031962,0.0285517,0.0041278,0.0004886,0.0012505,0.1435732,0.0023172,0.0129619,0.0021912,0.0181556,0.0368930,0.0009638,0.0041090,0.0044149,0.0007285,0.2747858,0.0018350,0.0174270,0.0067127,0.0003993,0.0014235,0.2182693,0.0017889,0.0117926,0.0013917,0.0122635,0.0653002,0.0006884,0.0044310,0.0162955,0.0011987,0.2679859,0.0010088,0.0110648,0.2494418,0.0012896,0.0101356,0.0202046,0.0003348,0.0017551
22,0.0360099,0.0580475,0.0018508,0.0037808,0.0097492,0.0209518,0.0259338,0.0147995,0.0207931,0.0022192,0.0015616,0.0019260,0.0588803,0.0880495,0.0076997,0.0043919,0.0061868,0.0005736,0.0003709,0.1313905,0.0586256,0.0876786,0.0221830,0.0605374,0.0098061,0.0037872,0.0062973,0.0009328,0.0005131,0.1313905,0.0217743,0.0600243,0.0029683,0.0013166,0.0019761,0.0419837,0.0092165,0.0202299,0.0057895,0.0392739,0.0166721,0.0026490,0.0066302,0.0017356,0.0007218,0.1311983,0.0047126,0.0385521,0.0039167,0.0009567,0.0021382,0.0717957,0.0048327,0.0191386,0.0036774,0.0271481,0.0291390,0.0019708,0.0068968,0.0041782,0.0011571,0.1300579,0.0011086,0.0259910,0.0081469,0.0007154,0.0024116,0.1031070,0.0032780,0.0181138,0.0021493,0.0194124,0.0404192,0.0012147,0.0072639,0.0093541,0.0019151,0.1289641,0.0003665,0.0174973,0.1242927,0.0020444,0.0159225,0.0141166,0.0004885,0.0028587
23,0.0083805,0.0453020,0.0006997,0.0012122,0.0027028,0.0061796,0.0108937,0.0035947,0.0055563,0.0008909,0.0006479,0.0007263,0.0083877,0.0405046,0.0028706,0.0015866,0.0019305,0.0002729,0.0002056,0.0697351,0.0081909,0.0402990,0.0042047,0.0141640,0.0065158,0.0013251,0.0020787,0.0006068,0.0002865,0.0697351,0.0039714,0.0138775,0.0021319,0.0005640,0.0008089,0.0155438,0.0027203,0.0049824,0.0033103,0.0088859,0.0071752,0.0012416,0.0021236,0.0009672,0.0003659,0.0693251,0.0030347,0.0085201,0.0022436,0.0005403,0.0008334,0.0226796,0.0022331,0.0048593,0.0022960,0.0066042,0.0095361,0.0010143,0.0021605,0.0021886,0.0004806,0.0690308,0.0019580,0.0061235,0.0039057,0.0004325,0.0008781,0.0376307,0.0018285,0.0046998,0.0016230,0.0050966,0.0249717,0.0006898,0.0022409,0.0042227,0.0006914,0.0675127,0.0011142,0.0044052,0.0586856,0.0012632,0.0042863,0.0115102,0.0003267,0.0009869
24,0.0114937,0.0306708,0.0010102,0.0020744,0.0069764,0.0165139,0.0231835,0.0053014,0.0149833,0.0018982,0.0007542,0.0012320,0.0199754,0.0746174,0.0065906,0.0020015,0.0041803,0.0003796,0.0002752,0.1126139,0.0197673,0.0743422,0.0064999,0.0446344,0.0084317,0.0015385,0.0044563,0.0006616,0.0003799,0.1124935,0.0062918,0.0442545,0.0023969,0.0006600,0.0013768,0.0322715,0.0034614,0.0140975,0.0050283,0.0294297,0.0119885,0.0014783,0.0046404,0.0015618,0.0005544,0.1121404,0.0048202,0.0288753,0.0038417,0.0006098,0.0015038,0.0416106,0.0031407,0.0135385,0.0028250,0.0201086,0.0162963,0.0011399,0.0047917,0.0030248,0.0008148,0.1104999,0.0023940,0.0192938,0.0065992,0.0004050,0.0016568,0.0597398,0.0021774,0.0129598,0.0015861,0.0137541,0.0277156,0.0007341,0.0050809,0.0093630,0.0013209,0.1081229,0.0012032,0.0124332,0.0953180,0.0014567,0.0113436,0.0112706,0.0002774,0.0019785
