S1_pixel_ID,date,moran,z,p
2,302,0.361014,20.168912,0
3,302,0.731645,40.891537,0
4,302,0.347898,19.477401,0
5,302,0.553803,31.326188,0
6,302,0.531716,29.748451,0
7,302,0.423177,23.827748,0
8,302,0.643677,36.189804,0
9,302,0.377548,21.154734,0
10,302,0.605221,33.930631,0
11,302,0.631628,35.291682,0
12,302,0.302753,16.933587,0
13,302,0.436173,24.391927,0
14,302,0.539834,30.403421,0
15,302,0.276024,15.428331,0
16,302,0.530929,29.779406,0
18,302,0.545405,30.538996,0
19,302,0.374787,21.006453,0
20,302,0.529078,29.679535,0
21,302,0.593676,33.15611,0
22,302,0.524195,29.359318,0
23,302,0.407931,22.851088,0
24,302,0.367267,20.538129,0
25,302,0.534978,29.933534,0
26,302,0.575176,32.247123,0
27,302,0.517853,29.177083,0
29,302,0.46397,25.946383,0
30,302,0.688399,38.517024,0
31,302,0.448049,25.068568,0
32,302,0.612901,34.422278,0
34,302,0.6672,37.381311,0
35,302,0.686859,38.389489,0
36,302,0.600627,33.765269,0
37,302,0.445034,24.924007,0
38,302,0.679694,38.440201,0
39,302,0.558113,31.312186,0
40,302,0.455141,25.447266,0
41,302,0.38374,21.561131,0
42,302,0.452351,25.262857,0
43,302,0.268009,14.978939,0
44,302,0.54696,30.816909,0
45,302,0.685027,38.305189,0
46,302,0.609971,34.07864,0
47,302,0.416372,23.403884,0
48,302,0.417851,23.350288,0
49,302,0.268203,14.991342,0
50,302,0.638114,37.34385,0
51,302,0.389916,21.786242,0
53,302,0.686837,38.462368,0
54,302,0.433899,24.259023,0
55,302,0.489341,27.355202,0
56,302,0.327703,18.311339,0
57,302,0.378037,21.146956,0
58,302,0.509345,28.515517,0
59,302,0.572587,32.002039,0
60,302,0.309505,17.304532,0
61,302,0.313407,17.517859,0
62,302,0.362052,20.232899,0
63,302,0.670466,38.016018,0
64,302,0.429127,24.016727,0
65,302,0.533242,29.847178,0
66,302,0.438625,24.522393,0
67,302,0.459868,25.747775,0
69,302,0.477253,26.707857,0
70,302,0.398946,22.323683,0
71,302,0.313635,17.53637,0
72,302,0.588265,32.962418,0
73,302,0.397693,22.291812,0
74,302,0.285221,15.94836,0
75,302,0.66566,37.329699,0
76,302,0.57112,31.896454,0
77,302,0.414155,23.136843,0
78,302,0.640197,35.916539,0
79,302,0.32814,18.345847,0
80,302,0.746242,41.762308,0
81,302,0.283538,15.853761,0
82,302,0.395718,22.13879,0
83,302,0.58436,32.763744,0
84,302,0.185573,10.384994,0
85,302,0.459746,25.757613,0
86,302,0.431705,24.316933,0
87,302,0.622782,34.942589,0
88,302,0.352012,19.66875,0
90,302,0.489016,27.428431,0
91,302,0.494219,27.602237,0
93,302,0.732155,41.045599,0
94,302,0.399526,22.339895,0
95,302,0.380428,21.266186,0
96,302,0.400265,22.363925,0
97,302,0.496104,27.742327,0
98,302,0.510248,28.588927,0
99,302,0.632733,35.329241,0
100,302,0.430197,24.04407,0
101,302,0.442231,24.713631,0
102,302,0.456878,25.537015,0
104,302,0.38138,21.327438,0
105,302,0.511759,28.588007,0
106,302,0.517919,29.112132,0
107,302,0.540263,30.359007,0
108,302,0.346045,19.363018,0
109,302,0.246625,13.789091,0
110,302,0.74688,42.089959,0
111,302,0.27215,15.21464,0
112,302,0.306517,17.149134,0
115,302,0.402475,22.519033,0
116,302,0.533323,29.840111,0
117,302,0.643254,35.971229,0
118,302,0.682866,38.207264,0
119,302,0.480939,26.859585,0
120,302,0.418526,23.424294,0
122,302,0.495517,27.746031,0
123,302,0.436885,24.408433,0
124,302,0.447288,25.917577,0
125,302,0.455399,25.434699,0
126,302,0.361951,20.253275,0
127,302,0.570847,31.918082,0
