OID_,LABEL,CLASS_1,CLASS_2,CLASS_3,CLASS_4,CLASS_5,CLASS_6,CLASS_7,CLASS_8,CLASS_9,CLASS_10,CLASS_11,CLASS_12,CLASS_13,CLASS_14,CLASS_15,CLASS_16,CLASS_17,CLASS_18,CLASS_19,CLASS_20,CLASS_21,CLASS_22,CLASS_23,CLASS_24,CLASS_25,CLASS_26,CLASS_27,CLASS_28,CLASS_29,CLASS_30,CLASS_31,CLASS_32
1,OBJEC_1,0,0,1,0,2,5,22,89,516,1881,5295,10205,15400,19701,20056,16422,11099,6192,2819,1056,349,94,18,0,0,0,0,0,0,0,0,0
2,OBJEC_2,0,0,0,0,0,2,16,200,1249,4723,11725,20884,25542,24276,14495,5901,1540,262,68,6,0,0,0,0,0,0,0,0,0,0,0,0
3,OBJEC_3,0,0,0,0,0,3,36,371,2258,7663,16891,26165,26317,19166,8732,2680,577,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,OBJEC_4,0,0,0,0,1,5,36,361,2143,7507,16343,25058,25159,18647,9248,3950,1712,691,264,89,8,0,0,0,0,0,0,0,0,0,0,0
5,OBJEC_5,0,0,0,0,0,2,51,501,2451,7138,13387,18702,18591,19560,15976,9573,3440,1066,423,200,74,49,38,0,0,0,0,0,0,0,0,0
6,OBJEC_6,0,0,0,0,0,3,159,1207,6238,16776,27460,30842,19183,7576,1480,255,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,OBJEC_7,0,0,0,0,0,2,28,229,1313,5196,13160,23098,27430,24137,12328,3664,581,52,4,0,0,0,0,0,0,0,0,0,0,0,0,0
8,OBJEC_8,0,0,0,0,1,3,13,240,1447,5767,14058,23409,27304,23059,11657,3347,707,138,50,16,6,0,0,0,0,0,0,0,0,0,0,0
9,OBJEC_9,0,0,0,0,0,7,95,847,3879,8016,10511,11967,12503,15938,17672,13615,8107,4265,2057,1108,447,139,34,15,0,0,0,0,0,0,0,0
10,OBJEC_10,0,0,0,0,0,0,21,177,1157,4140,8736,13880,16789,20879,20104,14406,7062,2577,896,280,74,26,18,0,0,0,0,0,0,0,0,0
11,OBJEC_11,0,0,0,0,0,4,53,553,3064,9824,19720,27533,24657,16203,6772,2273,535,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,OBJEC_13,0,0,0,0,0,2,33,331,2081,6694,14616,23264,25981,22312,11496,3652,681,71,8,0,0,0,0,0,0,0,0,0,0,0,0,0
13,OBJEC_14,0,0,0,0,1,10,71,607,3309,9969,19155,27795,25765,17211,5649,1110,201,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,OBJEC_15,0,0,0,0,2,0,28,260,1530,5197,11799,19595,23514,21663,14714,7950,3262,994,267,79,26,9,0,0,0,0,0,0,0,0,0,0
15,OBJEC_16,0,0,0,0,0,2,26,276,1533,5111,11462,18570,20954,19273,14482,10129,5443,2270,996,301,56,5,0,0,0,0,0,0,0,0,0,0
16,OBJEC_17,0,0,0,0,0,1,16,195,1092,3982,9867,17728,22440,22485,16522,10289,4491,1606,441,66,1,0,0,0,0,0,0,0,0,0,0,0
17,OBJEC_18,0,0,0,0,0,4,10,70,514,2510,7054,13854,19789,23567,20747,13512,6708,1946,466,124,14,0,0,0,0,0,0,0,0,0,0,0
18,OBJEC_19,0,0,0,0,0,2,33,343,2059,7107,16172,25773,26541,20057,9491,3076,534,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,OBJEC_20,0,0,0,0,0,2,17,169,922,3149,7391,13844,18520,20115,18126,14217,8636,3627,1240,537,245,111,21,0,0,0,0,0,0,0,0,0
20,OBJEC_21,0,0,0,0,0,2,38,327,1857,6063,13383,22725,25479,22591,12707,4675,918,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,OBJEC_22,0,0,0,0,0,0,4,39,260,968,2709,5980,9807,14840,19756,20709,17939,10898,4719,1875,576,299,120,54,4,0,0,0,0,0,0,0
22,OBJEC_23,0,0,0,0,0,3,41,528,3040,9719,20556,29271,26401,15629,5022,924,80,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,OBJEC_24,0,0,0,0,0,0,4,15,116,643,2291,5888,11177,18057,23120,22940,14686,6972,2928,1147,519,340,251,89,37,2,0,0,0,0,0,0
24,OBJEC_25,0,0,0,0,0,0,2,53,255,1071,3092,6503,11486,17779,21783,21103,16567,8054,2646,571,128,62,45,22,0,0,0,0,0,0,0,0
25,OBJEC_26,0,0,0,0,0,3,39,534,3044,9183,17944,25019,22144,15715,8367,4735,2596,934,397,147,74,9,5,0,0,0,0,0,0,0,0,0
26,OBJEC_27,0,0,0,0,0,1,36,354,2244,7578,16334,26474,28216,20092,7586,1619,317,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27,OBJEC_28,0,0,0,0,0,5,34,298,1884,6458,14615,22564,24264,20875,11727,5730,2156,710,187,49,0,0,0,0,0,0,0,0,0,0,0,0
28,OBJEC_29,0,0,0,0,0,0,12,178,1061,4360,11274,20395,25506,24667,15152,6276,1612,357,39,0,0,0,0,0,0,0,0,0,0,0,0,0
29,OBJEC_30,0,0,0,0,0,0,6,82,521,2373,6402,13305,20203,26015,22357,13594,4897,1115,276,65,11,0,0,0,0,0,0,0,0,0,0,0
30,OBJEC_31,0,0,0,0,0,0,7,45,371,1635,5304,11549,18769,24477,23361,15584,7046,2322,764,244,54,23,1,0,0,0,0,0,0,0,0,0
31,OBJEC_33,0,0,0,0,0,2,37,287,1724,6352,14695,24753,26855,22521,10756,2824,391,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,OBJEC_34,0,0,0,0,0,0,3,21,192,939,3110,7429,13637,20849,24319,20768,12182,5023,1754,707,226,48,15,0,0,0,0,0,0,0,0,0
33,OBJEC_35,0,0,0,0,0,3,15,145,903,3483,9332,17533,23469,25137,18158,8930,2808,727,194,43,9,0,0,0,0,0,0,0,0,0,0,0
34,OBJEC_36,0,0,0,0,0,5,22,226,1320,5211,13073,22544,26414,24068,12850,4331,1014,131,12,1,0,0,0,0,0,0,0,0,0,0,0,0
35,OBJEC_37,0,0,0,0,2,5,39,394,2123,6626,13890,22092,23585,22423,14259,4538,767,139,7,0,0,0,0,0,0,0,0,0,0,0,0,0
36,OBJEC_38,0,0,0,0,0,0,5,56,326,1435,4229,9103,14558,19022,19547,17106,11726,6918,3739,1820,943,611,299,99,14,0,0,0,0,0,0,0
37,OBJEC_40,0,0,0,0,0,1,16,169,927,3304,8023,14690,20769,24042,18626,11062,5839,2612,857,234,45,3,3,0,0,0,0,0,0,0,0,0
38,OBJEC_41,0,0,0,0,0,2,42,347,1945,6918,15334,24539,26997,21821,9851,2772,502,105,40,7,0,0,0,0,0,0,0,0,0,0,0,0
39,OBJEC_42,0,0,0,0,0,1,19,214,1185,4688,11237,19669,23354,22672,15105,7977,3210,1235,453,138,40,23,2,0,0,0,0,0,0,0,0,0
40,OBJEC_43,0,0,0,0,1,1,45,371,2167,7367,15177,22749,22813,17759,11426,6713,3177,1104,465,163,58,0,0,0,0,0,0,0,0,0,0,0
41,OBJEC_44,0,0,0,0,0,17,243,2087,7988,14608,17286,16727,13761,13080,11570,8395,3446,1086,378,150,51,16,0,0,0,0,0,0,0,0,0,0
42,OBJEC_47,0,0,0,0,0,2,26,320,1793,5719,12125,20261,23306,21453,13996,7945,3258,621,62,2,0,0,0,0,0,0,0,0,0,0,0,0
43,OBJEC_48,0,0,0,0,0,2,27,336,1977,7092,15984,26590,27896,20843,8134,1734,234,21,10,9,0,0,0,0,0,0,0,0,0,0,0,0
44,OBJEC_49,0,0,0,0,1,3,26,324,1767,5686,11859,20625,23336,21491,13774,7019,3388,1165,299,80,40,6,0,0,0,0,0,0,0,0,0,0
45,OBJEC_50,0,0,0,0,0,0,2,39,270,1258,3677,7779,13025,18671,21229,19540,14024,6793,2580,1128,386,202,142,72,65,7,0,0,0,0,0,0
46,OBJEC_51,0,0,0,0,0,4,53,633,3608,10748,20654,28941,24007,14818,5638,1513,238,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0
47,OBJEC_53,0,0,0,0,0,1,15,96,528,2172,6675,13595,20892,25768,21847,12669,4903,1284,294,101,27,22,0,0,0,0,0,0,0,0,0,0
48,OBJEC_54,0,0,0,0,0,2,27,329,1990,7369,16565,26040,26315,19608,9000,2792,707,135,10,0,0,0,0,0,0,0,0,0,0,0,0,0
49,OBJEC_55,0,0,0,0,0,5,51,425,2599,8693,18112,27092,25280,18297,8182,2337,433,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,OBJEC_56,0,0,4,3,5,24,30,148,790,2941,7172,13930,18742,21405,18344,12821,6906,3651,2045,1156,564,190,18,0,0,0,0,0,0,0,0,0
51,OBJEC_57,0,0,0,0,0,0,17,161,907,3768,9741,18348,24019,25066,17514,8484,2431,547,183,33,3,0,0,0,0,0,0,0,0,0,0,0
52,OBJEC_58,0,0,0,0,0,0,12,108,753,3198,8532,16003,23420,25399,18281,9307,4159,1335,293,84,5,0,0,0,0,0,0,0,0,0,0,0
53,OBJEC_59,0,0,0,0,0,1,80,724,3773,10867,19951,26311,22082,16402,7589,2505,478,113,13,0,0,0,0,0,0,0,0,0,0,0,0,0
54,OBJEC_60,0,0,0,0,0,1,10,197,1143,4545,11827,21174,26129,24521,14523,5578,1096,129,16,0,0,0,0,0,0,0,0,0,0,0,0,0
55,OBJEC_61,0,0,0,0,0,0,4,65,496,2110,5667,11550,16830,22091,22137,16661,8279,3314,1205,485,200,95,29,4,0,0,0,0,0,0,0,0
56,OBJEC_62,0,0,0,0,0,0,9,84,545,2518,7022,14740,21100,25159,20419,11853,5580,1792,493,190,51,1,0,0,0,0,0,0,0,0,0,0
57,OBJEC_63,0,0,0,0,0,3,30,238,1370,5278,12373,20788,24037,22494,14133,6611,2352,786,334,58,4,0,0,0,0,0,0,0,0,0,0,0
58,OBJEC_64,0,0,0,0,0,0,1,25,204,835,2828,6328,11888,17905,21547,19840,14107,7633,4090,2126,973,376,171,12,0,0,0,0,0,0,0,0
59,OBJEC_66,0,0,0,0,0,6,24,249,1548,5590,13193,22250,26399,23211,12508,4712,1245,251,31,5,0,0,0,0,0,0,0,0,0,0,0,0
60,OBJEC_67,0,0,0,0,1,3,55,478,2471,8361,17772,27079,26141,18454,7892,2083,365,52,12,3,0,0,0,0,0,0,0,0,0,0,0,0
61,OBJEC_68,0,0,0,0,0,3,25,232,1323,5033,11801,20163,24039,22955,15088,7515,2383,535,108,15,4,0,0,0,0,0,0,0,0,0,0,0
62,OBJEC_69,0,0,0,0,0,1,10,114,831,3104,8437,15950,21793,23638,18293,11461,5317,1697,445,112,16,3,0,0,0,0,0,0,0,0,0,0
63,OBJEC_70,0,0,0,0,0,0,7,88,473,2220,6159,12849,19991,24717,22077,14215,6170,1936,553,98,3,0,0,0,0,0,0,0,0,0,0,0
64,OBJEC_71,0,0,0,0,0,3,22,245,1387,4262,9975,18379,23923,25421,16329,7734,2644,675,183,33,7,0,0,0,0,0,0,0,0,0,0,0
65,OBJEC_72,0,0,0,0,1,5,37,424,2188,7681,16821,26083,26333,19176,8524,3023,785,114,21,6,0,0,0,0,0,0,0,0,0,0,0,0
66,OBJEC_75,0,0,0,0,0,2,40,395,2133,6724,13897,23034,25308,22408,12558,3968,686,63,6,0,0,0,0,0,0,0,0,0,0,0,0,0
67,OBJEC_77,0,0,0,0,0,4,107,1012,4830,12368,20422,25789,19026,13013,6608,3413,1809,1126,688,336,174,98,55,11,0,0,0,0,0,0,0,0
68,OBJEC_78,0,0,0,0,6,20,334,2901,12348,25563,32308,25322,9035,2492,496,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,OBJEC_79,0,0,0,0,0,4,35,390,2067,6514,14033,23016,25108,22407,12047,4616,906,72,7,0,0,0,0,0,0,0,0,0,0,0,0,0
70,OBJEC_80,0,0,0,0,0,0,26,297,1699,5814,13398,21621,23922,20308,12562,6853,3461,1170,320,79,19,7,0,0,0,0,0,0,0,0,0,0
71,OBJEC_82,0,0,0,0,0,5,43,338,1958,6844,15485,24948,26285,20809,9934,3350,749,136,5,0,0,0,0,0,0,0,0,0,0,0,0,0
72,OBJEC_83,0,0,0,0,0,3,9,87,509,2310,6855,13799,20005,23426,20264,13586,6721,2567,804,192,58,23,4,0,0,0,0,0,0,0,0,0
73,OBJEC_84,0,0,0,0,0,0,2,29,238,1095,3498,8254,13969,20712,22765,17974,10749,5928,3224,1649,731,335,61,9,0,0,0,0,0,0,0,0
74,OBJEC_85,0,0,0,0,0,0,11,64,481,2122,6312,12751,19237,23150,20791,14564,7250,3077,1035,302,66,9,0,0,0,0,0,0,0,0,0,0
75,OBJEC_86,0,0,0,0,0,0,16,113,602,2394,6340,12642,20052,26465,22658,11763,5197,1669,814,326,137,30,4,0,0,0,0,0,0,0,0,0
76,OBJEC_87,0,0,0,0,0,2,26,327,1875,6535,14146,22262,23515,20233,12472,6284,2419,786,243,78,19,0,0,0,0,0,0,0,0,0,0,0
77,OBJEC_88,0,0,0,0,1,11,151,1166,5762,15530,26493,31711,19446,8748,2010,417,91,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0
78,OBJEC_89,0,0,0,0,0,1,12,84,535,2005,5562,11076,17272,22066,20367,16347,9300,3940,1384,502,262,139,25,10,0,0,0,0,0,0,0,0
79,OBJEC_90,0,0,0,0,0,4,70,671,3631,11586,22489,29938,24371,13422,4102,590,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,OBJEC_91,0,0,0,0,1,0,39,354,2134,7261,15963,24480,25296,19930,10657,4047,917,129,14,0,0,0,0,0,0,0,0,0,0,0,0,0
81,OBJEC_92,0,0,0,0,0,0,19,260,1567,5021,10646,16855,18696,18376,15310,11591,7218,3645,1808,478,62,3,1,0,0,0,0,0,0,0,0,0
82,OBJEC_93,0,0,0,0,0,1,22,227,1331,4652,11187,19722,24599,23948,15756,6986,2393,576,117,32,7,0,0,0,0,0,0,0,0,0,0,0
83,OBJEC_94,0,0,0,0,1,4,20,224,1450,5543,13211,22541,26297,23246,12831,4818,1139,213,18,0,0,0,0,0,0,0,0,0,0,0,0,0
84,OBJEC_95,0,0,0,0,1,1,7,60,381,1792,5741,12389,20176,26391,24056,14470,4529,773,103,19,0,0,0,0,0,0,0,0,0,0,0,0
85,OBJEC_96,0,0,0,0,2,9,84,706,3611,11580,22055,30356,24771,12987,3802,797,120,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0
86,OBJEC_97,0,0,0,0,0,2,92,949,4446,12851,23789,30901,21782,12113,3868,694,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,OBJEC_98,0,0,0,0,0,4,48,412,2400,8286,17421,26534,26865,18562,7394,2342,488,113,19,1,0,0,0,0,0,0,0,0,0,0,0,0
88,OBJEC_99,0,0,0,0,0,0,2,45,408,1835,5097,10844,17260,24512,24465,15802,5924,2206,1101,610,372,286,94,26,0,0,0,0,0,0,0,0
89,OBJEC_100,0,0,0,0,1,1,36,419,2296,8115,17750,26803,26578,18055,7652,2552,752,184,21,7,0,0,0,0,0,0,0,0,0,0,0,0
90,OBJEC_102,0,0,0,0,0,2,4,74,500,2224,6655,13415,19829,24086,21410,13997,6004,1849,579,150,67,41,3,0,0,0,0,0,0,0,0,0
91,OBJEC_103,0,0,0,0,0,1,14,236,1436,5334,13197,22618,26924,23202,12514,4377,1078,270,21,0,0,0,0,0,0,0,0,0,0,0,0,0
92,OBJEC_104,0,0,0,0,0,1,19,106,759,2712,6729,12666,18204,22067,20116,15181,8424,2925,952,229,68,26,15,23,0,0,0,0,0,0,0,0
93,OBJEC_106,0,0,0,0,0,7,101,980,5050,14326,24479,29760,20957,10605,3258,896,496,212,61,11,15,8,0,0,0,0,0,0,0,0,0,0
94,OBJEC_107,0,0,0,0,2,30,322,2661,10139,16738,18639,16671,11795,10296,9221,7162,4161,1809,638,400,148,39,18,0,0,0,0,0,0,0,0,0
95,OBJEC_108,0,0,0,0,0,6,31,351,1910,5507,10898,16090,16397,16843,15128,12531,8357,4402,2027,737,211,67,18,30,15,0,0,0,0,0,0,0
96,OBJEC_109,0,0,0,0,0,0,4,48,365,1669,5208,11060,16867,21707,21207,16891,9255,4281,1719,665,187,73,16,0,0,0,0,0,0,0,0,0
97,OBJEC_110,0,0,0,0,0,5,28,289,1607,5301,11906,20142,23736,20567,13611,7568,3599,1652,647,202,23,6,0,0,0,0,0,0,0,0,0,0
98,OBJEC_111,0,0,0,0,0,1,23,212,1081,3999,10632,19509,25634,24810,15971,6808,1768,342,74,23,2,0,0,0,0,0,0,0,0,0,0,0
99,OBJEC_112,0,0,0,0,0,3,21,163,930,3345,7615,14178,19147,23582,20130,12523,6237,2103,634,229,45,4,0,0,0,0,0,0,0,0,0,0
100,OBJEC_113,0,0,0,0,1,0,5,53,304,1588,4739,10611,18287,24676,24312,16519,7228,2176,581,115,27,0,0,0,0,0,0,0,0,0,0,0
101,OBJEC_115,0,0,0,0,0,3,29,292,1667,6227,14340,23167,25781,21069,11804,4529,1499,573,195,38,9,0,0,0,0,0,0,0,0,0,0,0
102,OBJEC_117,0,0,0,0,0,0,1,20,150,746,2643,6779,12878,20351,24595,22228,13105,5230,1777,533,136,39,11,0,0,0,0,0,0,0,0,0
103,OBJEC_118,0,0,0,0,0,1,19,216,1236,4560,11028,19233,23435,22816,15657,7992,3263,1270,375,76,20,24,1,0,0,0,0,0,0,0,0,0
104,OBJEC_119,0,0,0,0,0,1,14,106,723,2982,7884,15342,21364,24952,20226,11209,4172,1488,563,186,10,0,0,0,0,0,0,0,0,0,0,0
105,OBJEC_120,0,0,0,0,0,0,1,22,167,872,2941,6862,12553,20350,25165,22130,12887,4844,1556,444,78,17,0,0,0,0,0,0,0,0,0,0
106,OBJEC_121,0,0,0,0,1,3,41,358,2081,6454,14100,21016,21563,18828,12653,7901,3857,1346,491,165,28,3,0,0,0,0,0,0,0,0,0,0
107,OBJEC_122,0,0,0,0,0,2,22,219,1215,4675,12104,21118,25349,23653,14582,6080,1443,341,78,8,0,0,0,0,0,0,0,0,0,0,0,0
108,OBJEC_123,0,0,0,0,1,5,39,441,2469,8311,17677,26996,25499,17381,7814,2946,986,267,47,10,0,0,0,0,0,0,0,0,0,0,0,0
109,OBJEC_124,0,0,0,0,0,1,51,574,3172,9798,19797,27984,25767,16141,6097,1537,270,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0
110,OBJEC_125,0,0,0,0,1,5,52,424,2534,8075,17047,24828,24098,18303,9968,4379,1261,208,26,4,7,2,0,0,0,0,0,0,0,0,0,0
111,OBJEC_126,0,0,0,0,0,6,61,726,3897,11295,21807,29591,24199,13495,4045,1302,508,159,85,38,8,0,0,0,0,0,0,0,0,0,0,0
112,OBJEC_127,0,0,0,0,0,1,3,36,178,820,2690,6386,12308,19120,23827,22438,14006,6359,2184,579,186,82,19,0,0,0,0,0,0,0,0,0
113,OBJEC_128,0,0,0,0,0,1,12,91,557,2274,6556,13351,19414,24568,22097,13889,5902,1718,364,71,24,0,0,0,0,0,0,0,0,0,0,0
114,OBJEC_129,0,0,0,0,0,1,14,118,741,2519,5741,11233,17072,22830,21578,15233,8801,3756,1176,358,238,110,30,7,0,0,0,0,0,0,0,0
115,OBJEC_130,0,0,0,0,0,1,16,186,1061,3806,8931,16618,22661,26695,19564,8363,2371,513,95,8,0,0,0,0,0,0,0,0,0,0,0,0
