OID_,vh_raw,vv_raw,roughness_p5,roughness_p25,roughness_p75,roughness_p95,Point_ID,S1_pixel_ID,VV_GLCM_cor,VV_GLCM_mean,VV_GLCM_var,VH_GLCM_mean,VH_GLCM_cor,VH_GLCM_var
1,0.0034421,0.0630189,0.0008787,0.0014781,0.0032638,0.0054604,1,1566,1.0000000,62.0000000,1922.0000000,26.4638882,0.8462086,433.2527771
2,0.0045191,0.0635935,0.0008414,0.0014210,0.0031313,0.0052666,2,1089,1.0000000,62.0000000,1922.0000000,25.7833328,0.8454098,437.1055603
3,0.0028542,0.0521537,0.0008323,0.0013681,0.0029596,0.0049437,3,1124,1.0000000,62.0000000,1922.0000000,24.0499992,0.8249956,375.1333313
4,0.0067381,0.0500853,0.0007280,0.0011781,0.0022317,0.0040860,4,1749,1.0000000,62.0000000,1922.0000000,23.4750004,0.8182735,377.0472107
5,0.0040028,0.0426939,0.0007364,0.0012114,0.0023736,0.0043678,5,1434,1.0000000,62.0000000,1922.0000000,21.7472229,0.7924342,319.5639038
6,0.0058271,0.1298974,0.0007586,0.0012637,0.0026922,0.0050911,6,949,1.0000000,62.0000000,1922.0000000,24.2611103,0.8332887,414.3555603
7,0.0059955,0.1061748,0.0007976,0.0013743,0.0035633,0.0090014,7,2293,1.0000000,62.0000000,1922.0000000,21.7027779,0.7967478,331.4027710
8,0.0037351,0.0974467,0.0006966,0.0010960,0.0021522,0.0039916,8,558,1.0000000,62.0000000,1922.0000000,20.0305557,0.7608495,279.5194397
9,0.0040275,0.0871226,0.0007520,0.0012646,0.0034033,0.0081907,9,1409,0.9999956,61.9916649,1921.4916992,22.7083340,0.8303668,365.3472290
10,0.0040816,0.1199396,0.0007121,0.0011597,0.0025524,0.0054385,10,551,0.9999956,61.9916649,1921.4916992,20.2611103,0.7931768,289.8611145
11,0.0026506,0.1360184,0.0006982,0.0011198,0.0022292,0.0045493,11,2040,0.9999928,61.9861107,1921.1528320,18.7388897,0.7555955,244.2444458
12,0.0035627,0.0477667,0.0008264,0.0013515,0.0029269,0.0050471,12,1719,1.0000000,62.0000000,1922.0000000,23.1666660,0.8072674,351.0333252
13,0.0024463,0.0429990,0.0007520,0.0012126,0.0024191,0.0042422,13,1251,1.0000000,62.0000000,1922.0000000,21.0027771,0.7757519,300.5972290
14,0.0027600,0.0611076,0.0006523,0.0009971,0.0019599,0.0038008,14,1624,1.0000000,62.0000000,1922.0000000,19.3861103,0.7410644,265.0916748
15,0.0032332,0.0658027,0.0006464,0.0009747,0.0018736,0.0033229,15,1273,0.9999928,61.9861107,1921.1528320,18.2305565,0.7333816,233.9694519
16,0.0056557,0.0862146,0.0008206,0.0014432,0.0042473,0.0107573,16,1360,1.0000000,62.0000000,1922.0000000,24.6194439,0.8552864,445.0361023
17,0.0034161,0.0609043,0.0007547,0.0012325,0.0026912,0.0057116,17,2357,0.9999956,61.9916649,1921.4916992,21.0888882,0.8242255,319.2222290
18,0.0029441,0.0868314,0.0006995,0.0011047,0.0021901,0.0044156,18,2409,0.9999956,61.9916649,1921.4916992,18.8638897,0.7860805,254.0805511
