OID_,vh_raw,vv_raw,zonal_0304_10m_p5,zonal_0304_10m_p25,zonal_0304_10m_p75,zonal_0304_10m_p95,Point_ID,S1_pixel_ID,orig_S1_pixel_ID,VV_GLCM_cor,VV_GLCM_mean,VV_GLCM_var,VH_GLCM_mean,VH_GLCM_cor,VH_GLCM_var,zonal_0304_5m_p95_max,zonal_0304_5m_p95_min,zonal_0304_5m_p95_mean,zonal_0304_5m_p5_max,zonal_0304_5m_p5_min,zonal_0304_5m_p5_mean,zonal_0304_5m_range_max,zonal_0304_5m_range_min,zonal_0304_5m_range_mean,zonal_0304_5m_min_max,zonal_0304_5m_min_mean,zonal_0304_5m_med_max,zonal_0304_5m_med_min,zonal_0304_5m_med_mean,zonal_0304_5m_max_min,zonal_0304_5m_max_mean,zonal_0304_2m_max_min,zonal_0304_2m_max_mean,zonal_0304_2m_med_max,zonal_0304_2m_med_min,zonal_0304_2m_med_mean,zonal_0304_2m_min_max,zonal_0304_2m_min_mean,zonal_0304_2m_range_max,zonal_0304_2m_range_min,zonal_0304_2m_range_mean,zonal_0304_2m_p5_max,zonal_0304_2m_p5_min,zonal_0304_2m_p5_mean,zonal_0304_2m_p95_max,zonal_0304_2m_p95_min,zonal_0304_2m_p95_mean,zonal_0304_1m_p95_max,zonal_0304_1m_p95_min,zonal_0304_1m_p95_mean,zonal_0304_1m_p5_max,zonal_0304_1m_p5_min,zonal_0304_1m_p5_mean,zonal_0304_1m_range_max,zonal_0304_1m_range_min,zonal_0304_1m_range_mean,zonal_0304_1m_min_max,zonal_0304_1m_min_mean,zonal_0304_1m_med_max,zonal_0304_1m_med_min,zonal_0304_1m_med_mean,zonal_0304_1m_max_min,zonal_0304_1m_max_mean,zonal_0304_50cm_max_min,zonal_0304_50cm_max_mean,zonal_0304_50cm_med_max,zonal_0304_50cm_med_min,zonal_0304_50cm_med_mean,zonal_0304_50cm_min_max,zonal_0304_50cm_min_mean,zonal_0304_50cm_range_max,zonal_0304_50cm_range_min,zonal_0304_50cm_range_mean,zonal_0304_50cm_p5_max,zonal_0304_50cm_p5_min,zonal_0304_50cm_p5_mean,zonal_0304_50cm_p95_max,zonal_0304_50cm_p95_min,zonal_0304_50cm_p95_mean,zonal_0304_25cm_max_1_min,zonal_0304_25cm_max_1_mean,zonal_0304_25cm_med_1_max,zonal_0304_25cm_med_1_min,zonal_0304_25cm_med_1_mean,zonal_0304_25cm_min_1_max,zonal_0304_25cm_min_1_mean,zonal_0304_25cm_range_1_max,zonal_0304_25cm_range_1_min,zonal_0304_25cm_range_1_mean,zonal_0304_25cm_p5_1_max,zonal_0304_25cm_p5_1_min,zonal_0304_25cm_p5_1_mean,zonal_0304_25cm_p95_1_max,zonal_0304_25cm_p95_1_min,zonal_0304_25cm_p95_1_mean,zonal_0304_10m_range,zonal_0304_10m_min,zonal_0304_10m_med,zonal_0304_10m_max
399,0.0018548,0.0621332,0.0006782,0.0010449,0.0020029,0.0036613,399,1599,1658,0.9999464,61.8972206,1915.730591,24.2250004,0.8360556,350.847229,0.0043587,0.0025009,0.0035483,0.0007038,0.0006291,0.000681,0.0119535,0.0052153,0.0091582,0.000205,0.0001909,0.0015762,0.0012682,0.0014831,0.0054203,0.0093491,0.0048699,0.0069018,0.0018556,0.0011502,0.0014947,0.0003281,0.0002562,0.011839,0.0046571,0.0066456,0.0007582,0.0005983,0.0006855,0.0053895,0.0021028,0.0034978,0.0090382,0.0019009,0.0033926,0.001004,0.0005572,0.0006952,0.011839,0.0025021,0.0053455,0.0005716,0.0003153,0.0031403,0.0010627,0.0015169,0.0027955,0.0056608,0.0019888,0.0044924,0.0043639,0.000914,0.0015436,0.0009846,0.000416,0.011806,0.0014974,0.0040763,0.0016785,0.0004735,0.0007267,0.010118,0.0015804,0.0032183,0.0012844,0.0034768,0.0066252,0.0007951,0.001583,0.002355,0.000588,0.0110769,0.0008004,0.0028888,0.0027703,0.0003137,0.0008007,0.01135,0.0012039,0.0029364,0.0119535,0.0001631,0.0014694,0.0121166
400,0.0029582,0.0610402,0.0007821,0.0013411,0.0037849,0.0091637,400,2137,1835,0.9999449,61.8944435,1915.561157,25.5388889,0.8634546,379.3611145,0.0133209,0.0038301,0.0082231,0.0009909,0.0007088,0.0008164,0.0318461,0.0121527,0.0219612,0.0002652,0.0001672,0.0038045,0.0015606,0.0023634,0.0122294,0.0221284,0.0051841,0.0149769,0.0054973,0.0013523,0.0025194,0.0004873,0.000275,0.0316695,0.0049874,0.0147019,0.0013114,0.0006456,0.0008622,0.0153412,0.0027386,0.007613,0.0207585,0.0022753,0.0070388,0.0017711,0.0005818,0.0009084,0.0315691,0.0031197,0.0107494,0.0007557,0.0003739,0.0071087,0.001192,0.0026341,0.0034308,0.0111233,0.0022875,0.0085964,0.011916,0.0009721,0.0027765,0.0021022,0.0005515,0.031191,0.0018078,0.0080449,0.0071866,0.0005045,0.0010456,0.0255111,0.0018831,0.0063689,0.0013363,0.0063098,0.0170709,0.0008133,0.0029552,0.0097957,0.0009378,0.031191,0.0008996,0.0053719,0.0114505,0.0003905,0.0013275,0.0288181,0.0012089,0.0054466,0.0320346,0.0000767,0.0020539,0.0321113
401,0.0048675,0.0604937,0.0008429,0.0015635,0.0047676,0.0098315,401,671,604,0.9999493,61.9027786,1916.069458,26.4055557,0.8776937,402.1777649,0.0135419,0.0068194,0.0097418,0.0009975,0.0007704,0.0008606,0.0482279,0.0225262,0.0311338,0.0002476,0.000138,0.0034139,0.0020784,0.0027609,0.0227506,0.0312717,0.0065481,0.0184434,0.0054741,0.0012637,0.0029934,0.0004853,0.0002903,0.0479236,0.0063237,0.0181531,0.0013677,0.0006217,0.0009665,0.0182932,0.0028254,0.0088029,0.0286064,0.0019535,0.0083153,0.0025029,0.0005628,0.0010327,0.0475533,0.0036932,0.013019,0.0008521,0.0004151,0.0082865,0.0011107,0.0031488,0.0039489,0.0134341,0.0022746,0.0099132,0.0137925,0.0009663,0.0033052,0.0029288,0.0006469,0.0475533,0.0019125,0.0092664,0.0050459,0.0004878,0.0011955,0.0339765,0.0016687,0.0075092,0.0012288,0.0074017,0.0227743,0.0007823,0.0035233,0.0088872,0.001105,0.0439209,0.0009216,0.0062967,0.0123297,0.0004235,0.0015378,0.0434132,0.0011137,0.0064287,0.0482301,0.0000389,0.0026451,0.048269
402,0.0052624,0.0439984,0.0010747,0.0021741,0.0073025,0.0143554,402,283,2319,0.9999478,61.9000015,1915.900024,26.7472229,0.8700774,414.5416565,0.0185905,0.0090075,0.0129735,0.0017439,0.0008719,0.0013068,0.0387702,0.0295138,0.0348736,0.0003922,0.0002615,0.0069088,0.0024525,0.0044754,0.0297496,0.0351351,0.008727,0.0242913,0.0075544,0.0018479,0.0046286,0.0007795,0.0003941,0.0386963,0.0084144,0.0238972,0.0023775,0.000752,0.0013635,0.0216867,0.0046161,0.0123927,0.0285037,0.0030206,0.0118077,0.0035104,0.000642,0.0014675,0.0386784,0.0042134,0.0180488,0.0011069,0.0005421,0.0131574,0.0014817,0.0047656,0.0045786,0.0185909,0.0029119,0.0139829,0.0152196,0.0012266,0.0049973,0.0045522,0.000888,0.0375865,0.0025467,0.0130949,0.0064908,0.0006067,0.001752,0.034676,0.0024159,0.0108034,0.0015593,0.0105925,0.0281339,0.0009555,0.0052472,0.0107584,0.0017297,0.0365735,0.0012629,0.0088628,0.012289,0.0004499,0.002394,0.0380272,0.0014963,0.0092382,0.0389946,0.0001678,0.0041785,0.0391624
403,0.0058983,0.0522796,0.001304,0.0027723,0.0077067,0.0148844,403,145,1836,0.9999362,61.8777771,1914.544434,26.8666668,0.8742653,415.8666687,0.0171164,0.0110777,0.0147697,0.0014877,0.0011058,0.0013465,0.0701852,0.0295516,0.0499208,0.0003229,0.0002141,0.0053726,0.0037423,0.0047835,0.0297614,0.0501349,0.0130492,0.0309971,0.0066269,0.0025703,0.0048891,0.0005855,0.0003788,0.06984,0.0127135,0.0306183,0.0018453,0.0009616,0.0014017,0.0222494,0.0077103,0.0144546,0.0352908,0.0038461,0.0136493,0.002805,0.0008276,0.0015141,0.0694774,0.0050623,0.0219272,0.0011379,0.0005576,0.0111994,0.0022523,0.0050777,0.0054405,0.0224848,0.0032798,0.0163869,0.0162325,0.0014502,0.005345,0.0036332,0.0008698,0.0694268,0.0029016,0.015517,0.0060209,0.0006669,0.0017511,0.0549886,0.0026839,0.012391,0.0017808,0.0119984,0.0271904,0.0010183,0.0056955,0.0114531,0.0017748,0.069416,0.0012701,0.0102236,0.0152696,0.0004367,0.002481,0.0646221,0.0016384,0.010434,0.0701852,0.0001214,0.0047563,0.0703066
404,0.0040194,0.0731784,0.000892,0.0017628,0.0054145,0.0112867,404,2121,211,0.9999623,61.9277763,1917.594482,24.0305557,0.8589621,339.8416748,0.0130819,0.0062087,0.0105421,0.0013388,0.0007274,0.0010147,0.0724123,0.0234315,0.0436525,0.0002921,0.0002537,0.0044954,0.0018386,0.0033383,0.0237236,0.0439062,0.0047119,0.022486,0.0058016,0.0012256,0.0035332,0.000535,0.0003318,0.0723612,0.004411,0.0221543,0.0017717,0.0006185,0.0011099,0.0176047,0.0022571,0.0097556,0.0332385,0.0020507,0.0093314,0.0025157,0.0005665,0.0012002,0.0721403,0.0026134,0.0146294,0.0010058,0.0004655,0.0082164,0.0011691,0.003682,0.0029739,0.0150949,0.0021956,0.0111839,0.0143175,0.0009711,0.0038573,0.0030016,0.0007119,0.0709217,0.0016955,0.010472,0.0044636,0.0005237,0.0013638,0.0484421,0.00175,0.0084772,0.0015358,0.0084109,0.0314819,0.0008415,0.0040776,0.0084354,0.0012732,0.0681465,0.0010878,0.0071377,0.0094792,0.0003859,0.0017857,0.0678917,0.001383,0.0073135,0.0724712,0.0002096,0.0032216,0.0726808
405,0.0034791,0.062381,0.0008903,0.0017798,0.0057622,0.0108068,405,594,988,0.9998941,61.8805542,1914.797241,24.2333336,0.8613443,348.1444397,0.0127411,0.007973,0.0105234,0.0013595,0.0007115,0.0010134,0.0365721,0.0214454,0.0276953,0.0002919,0.0002376,0.0045945,0.0018356,0.0034494,0.0215953,0.027933,0.0044083,0.019943,0.0066935,0.0012036,0.003574,0.0005677,0.0003228,0.0365695,0.004168,0.0196202,0.0019921,0.0006079,0.0011276,0.0165087,0.0021649,0.0099646,0.0208136,0.0019984,0.0091449,0.00248,0.0005881,0.0012224,0.0361883,0.0034346,0.0139326,0.0011729,0.0004804,0.0077437,0.0010949,0.0037974,0.0036776,0.014413,0.0021546,0.0110327,0.0114348,0.0010243,0.0039296,0.002581,0.0007188,0.035949,0.0018208,0.0103139,0.0052387,0.000496,0.0013848,0.0255411,0.0017338,0.0083814,0.0012821,0.0083046,0.016951,0.0007692,0.0041223,0.008162,0.0013159,0.0355503,0.0005859,0.0069887,0.0099,0.000418,0.0018331,0.0334217,0.0011881,0.0072541,0.0366906,0.0001499,0.0034076,0.0368405
406,0.0025701,0.0289681,0.0007672,0.0013344,0.003619,0.0078752,406,274,1334,0.999795,61.8027763,1910.16394,24.2166672,0.8572332,360.4166565,0.0106185,0.004949,0.0073608,0.00093,0.0007032,0.0007984,0.0360614,0.0153215,0.0253479,0.0003072,0.0002395,0.003041,0.0016673,0.0021924,0.0155457,0.0255873,0.0049408,0.0142888,0.004694,0.001198,0.0023752,0.0005329,0.0003017,0.0360614,0.0047128,0.0139871,0.001489,0.0006127,0.0008694,0.0133327,0.0023712,0.0068011,0.0243087,0.0018872,0.0064477,0.0020724,0.0005759,0.0009345,0.0358763,0.0030354,0.0099102,0.0010725,0.000402,0.0060936,0.0010406,0.0024809,0.0033671,0.0103122,0.0019799,0.0077489,0.0090303,0.0008749,0.0025982,0.0027682,0.0005669,0.0352767,0.0015855,0.0071821,0.0041758,0.0004137,0.0010158,0.0305049,0.0015862,0.0057951,0.0013456,0.0058869,0.0200915,0.0007825,0.0027406,0.00516,0.0009028,0.033022,0.0010264,0.0049841,0.0077601,0.0003453,0.0012462,0.0347494,0.0011916,0.0050963,0.0361826,0.0001859,0.0020376,0.0363686
407,0.0035971,0.0269404,0.0007522,0.001311,0.0040264,0.0087577,407,800,921,0.9997555,61.7777786,1908.688843,24.5972214,0.8586397,383.3583374,0.0108774,0.0041241,0.0075641,0.0011094,0.0006511,0.0008485,0.0284676,0.0168479,0.023426,0.0001869,0.0001225,0.0038226,0.001434,0.0025133,0.0168974,0.0235485,0.0051377,0.0137746,0.0055779,0.001131,0.0026166,0.0004821,0.0002799,0.028228,0.0048588,0.0134947,0.0014783,0.0005883,0.0008965,0.0169716,0.0022242,0.007263,0.0206654,0.0018952,0.0066377,0.0025052,0.0005455,0.0009574,0.0280861,0.0026387,0.0099702,0.0008117,0.0004009,0.0063813,0.0010369,0.0027005,0.0029866,0.0103711,0.0018744,0.0078543,0.0105829,0.0008809,0.0028443,0.0027986,0.0005948,0.0272927,0.0016331,0.0072594,0.0042083,0.0004774,0.0010985,0.0249421,0.0014404,0.0060251,0.0012588,0.0060167,0.0169048,0.000736,0.0029615,0.0082256,0.0010265,0.0269346,0.0009083,0.0049902,0.0098179,0.0003082,0.0014143,0.0277161,0.0010438,0.0052458,0.0285641,0.0000494,0.0020484,0.0286135
408,0.0039393,0.0410463,0.0007725,0.0013552,0.0040691,0.0100551,408,484,1353,0.9996939,61.7277794,1905.705566,25.7277775,0.8466215,434.0388794,0.0139816,0.0041875,0.0086343,0.0010978,0.000687,0.0008602,0.0390954,0.0091587,0.0246518,0.0003278,0.0002377,0.0038276,0.0015463,0.0025923,0.0093332,0.0248895,0.0050444,0.0170908,0.0059194,0.0012131,0.0025596,0.0005174,0.0002921,0.0390941,0.0048411,0.0167986,0.0014274,0.0006363,0.0008914,0.0216155,0.0022353,0.0083748,0.024449,0.0018725,0.0075051,0.0019496,0.0005801,0.0009628,0.0389492,0.0026648,0.0115833,0.0009744,0.0003957,0.0087839,0.0010468,0.002813,0.0029143,0.0119789,0.0017158,0.0088839,0.0124698,0.0009187,0.002991,0.0028138,0.0005827,0.0386227,0.0014519,0.0083012,0.0047147,0.0005086,0.0010833,0.0306831,0.001449,0.0066431,0.0014521,0.0065756,0.0214709,0.0007422,0.0031516,0.0095434,0.0010426,0.0339169,0.0009699,0.005533,0.0139855,0.0003311,0.0014365,0.03723,0.0012361,0.0056944,0.0392487,0.0001745,0.0020664,0.0394232
409,0.0063653,0.070463,0.0011441,0.002465,0.007692,0.0156548,409,1338,2059,0.9999594,61.9222221,1917.255615,24.7861118,0.8722214,357.0194397,0.0194794,0.0120008,0.0152244,0.0015888,0.0008525,0.0013072,0.0983093,0.0605116,0.0756522,0.0003104,0.0002867,0.0060856,0.0025083,0.0046937,0.0608132,0.0759389,0.0090791,0.0385862,0.0077258,0.0016225,0.0048824,0.0006287,0.0004092,0.0981744,0.008832,0.038177,0.0021213,0.0007119,0.0014102,0.0292561,0.0043539,0.0146373,0.0418072,0.0024688,0.0144822,0.0026809,0.0006399,0.0014956,0.0981744,0.0038182,0.0252965,0.0011246,0.0005663,0.0099753,0.0013096,0.0049873,0.0040653,0.0258628,0.0026994,0.0177683,0.0128349,0.0010935,0.0052162,0.0030166,0.0008587,0.0978089,0.0022381,0.0169095,0.0050492,0.0005782,0.0016958,0.0595466,0.0020627,0.0131467,0.001626,0.0127748,0.0271408,0.0008204,0.00564,0.0099963,0.0015827,0.0955093,0.0013062,0.0111921,0.0107805,0.0003935,0.002244,0.0855767,0.0014955,0.0110516,0.09835,0.0002471,0.0045994,0.0985971
410,0.0060837,0.0929165,0.0008086,0.0014626,0.0042481,0.0087988,410,1411,541,0.9998897,61.8722229,1914.28894,24.8138885,0.8741012,357.319458,0.0108944,0.0046829,0.0079549,0.0011983,0.0006789,0.0009068,0.0429786,0.0255083,0.0312929,0.0002731,0.0002134,0.0038466,0.001539,0.0026673,0.0256992,0.0315064,0.0052189,0.0166434,0.005098,0.0013195,0.0027272,0.0005798,0.0003011,0.0429268,0.004968,0.0163423,0.001572,0.0006406,0.0009444,0.01469,0.0027845,0.0078158,0.0231104,0.0019634,0.0074218,0.0020884,0.0005921,0.0010004,0.0427157,0.0034635,0.0117845,0.001,0.0004181,0.007139,0.001152,0.0028323,0.0036731,0.0122026,0.001854,0.0092489,0.0095689,0.000915,0.0029262,0.0023986,0.0006161,0.0424669,0.0016462,0.0086328,0.0039078,0.0004697,0.0011348,0.0365866,0.001523,0.0068421,0.0014492,0.0067378,0.0169028,0.0007843,0.0031434,0.0060668,0.001007,0.0417505,0.0010065,0.0057307,0.0073109,0.0003693,0.0014009,0.0387942,0.0012153,0.005824,0.0430697,0.000182,0.002371,0.0432516
411,0.0050434,0.0830778,0.0006722,0.001043,0.0020939,0.0043153,411,429,1104,0.9997905,61.794445,1909.655518,24.5305557,0.8665256,358.3083191,0.0048451,0.0026694,0.0041007,0.0007347,0.0006294,0.0006783,0.0193659,0.0084538,0.0143186,0.0002244,0.0001006,0.0017846,0.0012756,0.0015167,0.0084941,0.0144192,0.0049539,0.00857,0.0023493,0.0012339,0.0015546,0.0003453,0.0002387,0.0191815,0.0047096,0.0083313,0.0008543,0.000612,0.0006935,0.0106798,0.0022519,0.0040235,0.0147915,0.0017696,0.003789,0.0016988,0.000542,0.0007184,0.0187904,0.0020953,0.0058752,0.0006238,0.0003201,0.0044474,0.0010246,0.0015986,0.0023087,0.0061952,0.0020469,0.0048802,0.0062482,0.0008996,0.0016473,0.0014672,0.0004304,0.0186725,0.0016233,0.0044498,0.0027378,0.0004594,0.000754,0.016625,0.0015,0.0035401,0.0013532,0.003704,0.0122043,0.0007209,0.0017274,0.0040578,0.0006325,0.0179615,0.000807,0.0030715,0.0061448,0.0003395,0.000857,0.0179092,0.0011369,0.003164,0.0193738,0.0000404,0.0014908,0.0194142
412,0.0056929,0.0605436,0.0007175,0.0011702,0.0030625,0.0069337,412,2351,1151,0.9997511,61.7694435,1908.180542,24.4916668,0.8622876,364.9916687,0.0079845,0.0026655,0.0065366,0.0008803,0.0006447,0.0007459,0.0698049,0.0053688,0.0351621,0.0001586,0.000091,0.0027522,0.001304,0.0019199,0.0054177,0.0352531,0.0050845,0.0159465,0.0041103,0.0012116,0.0021115,0.0004377,0.0002379,0.0695467,0.0048915,0.0157086,0.0011529,0.0006061,0.0007994,0.022187,0.0022986,0.0066798,0.0356947,0.0019407,0.0059991,0.0015141,0.0005857,0.0008383,0.0693529,0.0024421,0.0093221,0.0007249,0.0003535,0.0076546,0.0010911,0.0022233,0.0027314,0.0096755,0.0020022,0.0072261,0.0125177,0.000954,0.0023455,0.0025848,0.000521,0.0693529,0.0014866,0.0067051,0.0040243,0.0005028,0.0009441,0.0534563,0.0017126,0.0053548,0.0014287,0.0053562,0.0244647,0.0007166,0.0024862,0.0124262,0.0008531,0.0685648,0.0009594,0.0045032,0.0140843,0.0003514,0.0011713,0.0639373,0.0011287,0.0046232,0.0698259,0.0000489,0.0017568,0.0698748
413,0.0053876,0.0494096,0.0008906,0.0017726,0.0057882,0.0112161,413,1460,243,0.9996895,61.7194443,1905.197266,25.1499996,0.8414958,398.1666565,0.0135421,0.0061152,0.0102462,0.0014158,0.0007189,0.0010653,0.0390883,0.0299206,0.0343853,0.0002922,0.0002325,0.0050099,0.0017548,0.0035557,0.0300693,0.0346178,0.0054923,0.0198434,0.0065659,0.0013458,0.0037353,0.0005004,0.0003268,0.0390152,0.0052429,0.0195166,0.0017435,0.0006383,0.0011558,0.0157849,0.0028316,0.0095621,0.0201862,0.0020574,0.0090999,0.002267,0.0005824,0.0012276,0.0385002,0.0027845,0.0143581,0.0010034,0.0004768,0.009415,0.0011463,0.0038183,0.0029332,0.014835,0.002011,0.0111514,0.0119008,0.0009828,0.0039724,0.0025649,0.0007324,0.0382469,0.0016261,0.010419,0.004237,0.0005098,0.0013899,0.0270521,0.0016406,0.0084463,0.0013624,0.0084204,0.0164209,0.0008219,0.00415,0.0112434,0.0013039,0.0366526,0.0010372,0.0071165,0.0115581,0.0003592,0.0018193,0.0340523,0.0012821,0.0073623,0.0391769,0.0001487,0.0033307,0.0393256
414,0.0073631,0.061738,0.0011553,0.0023889,0.0074069,0.0192758,414,1429,1754,0.9999667,61.9361115,1918.102783,25.4333324,0.8706602,377.6444397,0.0268823,0.0097815,0.0191991,0.0015572,0.0009969,0.001238,0.2026179,0.0287262,0.1389115,0.0003688,0.0002608,0.0053816,0.0033049,0.00443,0.0289733,0.1391723,0.0080967,0.0622284,0.0082479,0.0018861,0.0046369,0.0009213,0.000424,0.2026179,0.007841,0.0618044,0.0022945,0.0007574,0.001387,0.0474408,0.0050898,0.0194964,0.1029364,0.0026569,0.0190328,0.0038576,0.0006895,0.0015089,0.2026161,0.0046309,0.038652,0.0018785,0.0006063,0.0136415,0.0013746,0.0050329,0.0046961,0.0392583,0.002494,0.0238065,0.0207072,0.001057,0.0053904,0.0059883,0.0009802,0.2015632,0.0020151,0.0228263,0.0096964,0.0005987,0.001882,0.1527819,0.0020617,0.0165475,0.0017048,0.015306,0.0574824,0.00084,0.0059983,0.0128364,0.0018516,0.200475,0.0011453,0.0134545,0.0141452,0.0004656,0.0025387,0.198906,0.001544,0.0130924,0.2029216,0.0000652,0.0043419,0.2029867
415,0.0096281,0.1291619,0.0007716,0.0013551,0.0041222,0.0084402,415,184,781,0.9999232,61.9027786,1916.119385,25.3611107,0.8775051,373.1222229,0.0118608,0.0043378,0.0081166,0.000945,0.0006466,0.0008266,0.0287285,0.0123924,0.0213295,0.0003096,0.000239,0.0029949,0.0014051,0.0023691,0.0126037,0.0215685,0.0052038,0.0147689,0.0063551,0.0011403,0.0026452,0.0007064,0.0003254,0.0282679,0.0049035,0.0144436,0.0017427,0.0005891,0.0009183,0.0171557,0.0021156,0.0071149,0.0199333,0.0019699,0.0066917,0.002143,0.0005131,0.0009673,0.0282679,0.0028706,0.0102576,0.0008324,0.0004188,0.008003,0.0010226,0.0027649,0.0031669,0.0106763,0.001772,0.0080744,0.0131188,0.0009067,0.0028882,0.0030869,0.000598,0.0282679,0.0014073,0.0074764,0.0045698,0.0004412,0.0010867,0.0230871,0.0015129,0.0061641,0.0013274,0.0061795,0.0170249,0.0007551,0.0030195,0.0088112,0.0010253,0.0241377,0.0009659,0.0051542,0.0110304,0.00037,0.0014097,0.0245991,0.0012104,0.0053813,0.0287856,0.0001887,0.0021707,0.0289743
416,0.0096458,0.1458587,0.0008155,0.0015298,0.0045508,0.0107358,416,848,1288,0.9998533,61.8472214,1912.80835,24.9527779,0.8750634,367.1860962,0.0157495,0.0053256,0.01019,0.0011519,0.0006886,0.0009076,0.0932594,0.0156431,0.0427123,0.0002931,0.0001915,0.0040143,0.0016832,0.0027514,0.0157408,0.0429038,0.0045906,0.0237265,0.0052417,0.0011595,0.0029137,0.0005534,0.0003078,0.0930189,0.0043032,0.0234187,0.0016394,0.000611,0.0009896,0.0228833,0.0022893,0.0096134,0.0416095,0.0018491,0.0090829,0.0028223,0.0005687,0.0010537,0.0930189,0.002514,0.0148894,0.0009925,0.0004297,0.0099721,0.0009838,0.0030589,0.0026535,0.0153191,0.0020266,0.0106191,0.0146142,0.0009066,0.0032798,0.0036174,0.0006634,0.0922007,0.0016832,0.0099557,0.0050085,0.0004914,0.00122,0.059725,0.0017019,0.0078643,0.0012305,0.0077518,0.0378773,0.0007037,0.0035075,0.0101684,0.0011445,0.0922007,0.0009297,0.0066073,0.0109783,0.0003735,0.0015692,0.0869805,0.0010287,0.0066757,0.0934548,0.0000977,0.0024861,0.0935525
417,0.0084775,0.1050532,0.0007518,0.001297,0.0036241,0.0075536,417,1203,858,0.9998271,61.830555,1911.824951,24.6361103,0.8725703,362.2694397,0.0097012,0.0046482,0.0068769,0.0009659,0.0006571,0.0008132,0.0251487,0.0142482,0.0197712,0.0002034,0.0001339,0.0031198,0.0014201,0.0022185,0.0143701,0.0199051,0.0046919,0.0130855,0.0042205,0.0011563,0.0023063,0.0005178,0.0002871,0.024922,0.0044766,0.0127984,0.0012417,0.0006084,0.0008618,0.0133691,0.0021683,0.0065595,0.0156108,0.0019638,0.0061403,0.0015358,0.0005453,0.0009104,0.0247735,0.002858,0.0094734,0.0006869,0.0003866,0.005736,0.0010689,0.0024191,0.0031862,0.00986,0.0021064,0.007415,0.0088578,0.000955,0.0025408,0.0019265,0.0005555,0.0241958,0.0016424,0.0068595,0.003222,0.0004851,0.0010003,0.0194282,0.0016659,0.0055811,0.0014008,0.0056427,0.0123321,0.0007688,0.0026879,0.0081292,0.0008806,0.0214054,0.0009556,0.0047621,0.0088146,0.0003692,0.0012129,0.0209485,0.0012744,0.0048871,0.0253032,0.0000275,0.0019852,0.0253307
418,0.0064267,0.0453918,0.0007163,0.0011582,0.0024867,0.0052374,418,2259,2131,0.9997804,61.7916679,1909.502808,24.8999996,0.8466218,379.8888855,0.0079321,0.003868,0.0052189,0.0007667,0.0006699,0.0007212,0.0222247,0.014138,0.0187185,0.0001869,0.0001016,0.0020895,0.0014501,0.001723,0.0141825,0.0188201,0.0054065,0.0105425,0.0027933,0.0013573,0.0017719,0.000354,0.000232,0.0220313,0.0051369,0.0103105,0.0009707,0.0006215,0.0007432,0.0096105,0.0028993,0.0050341,0.0141885,0.0021054,0.0047111,0.0014488,0.0005489,0.0007713,0.0218674,0.0025696,0.0073439,0.0006111,0.0003311,0.0046229,0.0011254,0.0018499,0.0028471,0.0076751,0.0020496,0.0057774,0.0079214,0.0009584,0.0019648,0.001677,0.0004623,0.0218014,0.0017436,0.0053151,0.0029624,0.000491,0.0008286,0.0201123,0.0015248,0.0042836,0.0013346,0.0043724,0.011948,0.0007793,0.0020499,0.0055927,0.0007154,0.0214546,0.0010075,0.003657,0.0068662,0.0003494,0.0009711,0.0214715,0.0012596,0.0037549,0.0222731,0.0000445,0.0016888,0.0223175
419,0.0060163,0.0366473,0.0009076,0.0017336,0.0058094,0.0148722,419,715,2337,0.9999565,61.9166679,1916.916626,26.0277786,0.8679586,396.7611084,0.0210713,0.009151,0.0145469,0.0010222,0.0008266,0.0009247,0.1332307,0.0239912,0.0738485,0.0002834,0.0002274,0.004347,0.0023465,0.0032457,0.0242746,0.0740759,0.0082019,0.0394214,0.0092962,0.0016141,0.003609,0.0006306,0.0003272,0.1332307,0.0079114,0.0390942,0.0019954,0.0007062,0.0010879,0.0359442,0.0039671,0.0132936,0.0744923,0.0024489,0.0127448,0.0037283,0.0006278,0.0012104,0.1332307,0.0037546,0.0236461,0.0015569,0.0004769,0.0116992,0.0012526,0.0038668,0.0040226,0.0241231,0.0024832,0.015231,0.018851,0.0010853,0.0041893,0.0047135,0.0007499,0.1329415,0.002056,0.014481,0.0060292,0.0005211,0.0014136,0.090404,0.0019895,0.0111004,0.0015675,0.0106578,0.0448644,0.000831,0.0045711,0.0140924,0.001414,0.1327883,0.0010702,0.0092439,0.0163079,0.0003676,0.0019735,0.1302807,0.0011866,0.0091457,0.1332467,0.0001973,0.00314,0.133444
