OID_,vh_raw,vv_raw,roughness_p5,roughness_p25,roughness_p75,roughness_p95,Point_ID,S1_pixel_ID,VV_GLCM_cor,VV_GLCM_mean,VV_GLCM_var,VH_GLCM_mean,VH_GLCM_cor,VH_GLCM_var
34,0.0196000,0.1187830,0.0008703,0.0015945,0.0033768,0.0053961,34,215,1.0000000,62.0000000,1922.0000000,57.4638901,0.9756196,1700.9361572
35,0.0143556,0.0742306,0.0007525,0.0013434,0.0029842,0.0052350,35,1575,1.0000000,62.0000000,1922.0000000,57.7611122,0.9787356,1712.8277588
36,0.0049745,0.0518519,0.0005336,0.0008864,0.0019208,0.0035808,36,1398,1.0000000,62.0000000,1922.0000000,57.0472221,0.9735880,1681.7916260
37,0.0111217,0.1423245,0.0010691,0.0025012,0.0069986,0.0149009,37,812,1.0000000,62.0000000,1922.0000000,57.8277779,0.9766412,1719.7944336
38,0.0084699,0.0888794,0.0005316,0.0008682,0.0018265,0.0041817,38,1355,1.0000000,62.0000000,1922.0000000,56.9249992,0.9730405,1675.0416260
39,0.0141600,0.1557166,0.0006520,0.0011965,0.0037239,0.0092566,39,634,1.0000000,62.0000000,1922.0000000,57.6305542,0.9756138,1709.4139404
40,0.0110993,0.0762917,0.0006976,0.0012770,0.0031405,0.0062189,40,1590,1.0000000,62.0000000,1922.0000000,57.1333351,0.9748140,1684.5777588
41,0.0132929,0.1166211,0.0007710,0.0016143,0.0044830,0.0080507,41,267,1.0000000,62.0000000,1922.0000000,57.8333321,0.9781096,1717.9000244
42,0.0275273,0.1558447,0.0009883,0.0021381,0.0061260,0.0120203,42,1441,1.0000000,62.0000000,1922.0000000,58.4749985,0.9809285,1749.1250000
43,0.0129470,0.0613966,0.0006936,0.0012155,0.0026160,0.0045807,43,126,1.0000000,62.0000000,1922.0000000,57.8583336,0.9780459,1718.3582764
44,0.0102304,0.0776325,0.0006077,0.0010501,0.0023627,0.0049886,44,584,1.0000000,62.0000000,1922.0000000,58.3055573,0.9807976,1739.3721924
45,0.0203593,0.0909810,0.0009143,0.0020062,0.0056420,0.0089977,45,536,1.0000000,62.0000000,1922.0000000,58.7444458,0.9828346,1760.9666748
46,0.0138487,0.1561252,0.0017097,0.0035208,0.0084833,0.0156981,46,1227,1.0000000,62.0000000,1922.0000000,54.5694427,0.9685729,1545.1082764
47,0.0095654,0.0487356,0.0024139,0.0049896,0.0118988,0.0230751,47,857,0.9999855,61.9722214,1920.3055420,51.3499985,0.9537380,1394.1110840
48,0.0064245,0.0800385,0.0014757,0.0029898,0.0073364,0.0143149,48,357,0.9999855,61.9722214,1920.3055420,51.8972206,0.9545482,1422.6916504
49,0.0093480,0.1048818,0.0013386,0.0026522,0.0063557,0.0115424,49,1530,0.9999855,61.9722214,1920.3055420,52.7777786,0.9591231,1462.2500000
50,0.0384770,0.1434371,0.0017871,0.0038421,0.0106486,0.0243011,50,1283,1.0000000,62.0000000,1922.0000000,59.1777763,0.9866957,1778.8778076
51,0.0253899,0.1395611,0.0014970,0.0031074,0.0084002,0.0200694,51,365,1.0000000,62.0000000,1922.0000000,59.8666649,0.9896162,1814.7833252
52,0.0229739,0.1416502,0.0013580,0.0026926,0.0063855,0.0120152,52,906,1.0000000,62.0000000,1922.0000000,57.3305550,0.9796037,1684.5361328
53,0.0305069,0.1304912,0.0012941,0.0027061,0.0073067,0.0180040,53,516,1.0000000,62.0000000,1922.0000000,58.2222214,0.9815924,1731.4721680
54,0.0192630,0.1449925,0.0016128,0.0034636,0.0098278,0.0240734,54,64,1.0000000,62.0000000,1922.0000000,59.0999985,0.9852521,1776.5278320
