OID_,LABEL,CLASS_1,CLASS_2,CLASS_3,CLASS_4,CLASS_5,CLASS_6,CLASS_7,CLASS_8,CLASS_9,CLASS_10,CLASS_11,CLASS_12,CLASS_13,CLASS_14,CLASS_15,CLASS_16,CLASS_17,CLASS_18,CLASS_19,CLASS_20,CLASS_21,CLASS_22,CLASS_23,CLASS_24,CLASS_25,CLASS_26,CLASS_27,CLASS_28
781,OBJEC_830,675,5703,7392,42752,23501,12105,7772,4358,2314,1372,738,462,727,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
782,OBJEC_831,1309,10882,12588,55550,19274,6319,2640,927,360,191,92,59,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
783,OBJEC_832,929,8607,10856,52758,20412,8426,4557,1879,754,463,248,145,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
784,OBJEC_833,1900,14297,15703,57953,15104,3551,1112,381,151,63,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
785,OBJEC_835,769,6742,8879,48863,22640,10249,6415,2997,1423,714,269,178,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
786,OBJEC_837,798,7439,9345,49604,22256,9006,5271,2708,1380,812,429,330,694,134,16,2,0,0,0,0,0,0,0,0,0,0,0,0
787,OBJEC_838,874,8535,10767,48052,17086,8130,6306,3727,2117,1287,768,622,1459,127,32,3,0,0,0,0,0,0,0,0,0,0,0,0
788,OBJEC_839,1620,14680,16675,62118,12041,1965,717,227,88,36,15,11,18,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
789,OBJEC_840,1228,10463,13214,56382,17792,5964,2830,1053,465,241,111,50,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
790,OBJEC_841,966,8768,11480,57121,20054,6482,2910,1159,533,298,148,99,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
791,OBJEC_842,1502,14097,15608,59331,14328,3218,1413,339,44,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
792,OBJEC_844,1054,8779,10054,46699,19223,8856,5553,3080,1948,1390,837,615,1726,66,12,0,0,0,0,0,0,0,0,0,0,0,0,0
