S1_pixel_ID,date,moran,z,p
268,219,0.575245,32.619931,0
269,219,0.461348,25.850002,0
270,219,0.526894,29.45362,0
271,219,0.534931,29.880024,0
272,219,0.581797,32.521572,0
273,219,0.64017,36.489826,0
274,219,0.575374,32.293767,0
275,219,0.542589,30.303862,0
276,219,0.511493,28.612324,0
277,219,0.603217,34.021609,0
278,219,0.557773,35.031767,0
279,219,0.735095,41.091359,0
280,219,0.573866,32.035657,0
281,219,0.440305,24.62902,0
284,219,0.542416,30.524776,0
285,219,0.654114,36.667763,0
287,219,0.50536,28.272188,0
288,219,0.486407,27.203022,0
289,219,0.520585,29.135984,0
291,219,0.700359,39.104726,0
293,219,0.788369,44.16145,0
294,219,0.617262,34.495173,0
295,219,0.589494,33.077401,0
296,219,0.577802,32.364304,0
297,219,0.636059,35.704407,0
298,219,0.445476,24.884675,0
299,219,0.443276,24.780609,0
300,219,0.35027,19.566843,0
301,219,0.654723,37.017901,0
302,219,0.586808,33.003667,0
303,219,0.58479,32.659254,0
304,219,0.60693,33.969906,0
305,219,0.534092,29.836136,0
306,219,0.696125,39.14315,0
308,219,0.598699,33.470428,0
310,219,0.682393,38.135231,0
311,219,0.57557,32.3181,0
312,219,0.39144,21.884483,0
313,219,0.539972,30.182774,0
314,219,0.606188,33.889603,0
316,219,0.638451,35.727039,0
317,219,0.603295,33.755048,0
318,219,0.617512,34.629202,0
319,219,0.579107,32.48707,0
320,219,0.575808,32.202161,0
321,219,0.543681,30.373202,0
322,219,0.556125,31.088875,0
323,219,0.557124,31.533642,0
324,219,0.690309,38.577053,0
325,219,0.594205,33.261702,0
326,219,0.580799,32.58338,0
327,219,0.490165,27.563054,0
328,219,0.72045,40.386042,0
329,219,0.572957,32.098381,0
330,219,0.50295,28.220429,0
331,219,0.58509,33.776474,0
332,219,0.614901,34.50513,0
333,219,0.580152,32.404411,0
334,219,0.556009,31.148805,0
335,219,0.618723,34.557156,0
336,219,0.627759,35.072972,0
337,219,0.612826,34.229949,0
338,219,0.645261,36.064992,0
339,219,0.616334,34.716926,0
341,219,0.609213,34.103098,0
342,219,0.701263,39.465635,0
343,219,0.693839,39.451374,0
344,219,0.568537,31.755762,0
345,219,0.571905,31.986258,0
346,219,0.393069,21.957069,0
348,219,0.58756,33.100396,0
349,219,0.637522,35.601104,0
350,219,0.541567,30.308644,0
351,219,0.47867,26.740278,0
352,219,0.618195,34.59808,0
353,219,0.60756,34.207594,0
354,219,0.505386,28.235328,0
355,219,0.379938,21.22304,0
356,219,0.492421,27.594993,0
357,219,0.534159,29.868245,0
358,219,0.652707,36.568282,0
359,219,0.443752,24.777386,0
360,219,0.527236,29.480422,0
361,219,0.401734,22.438652,0
363,219,0.531347,29.81316,0
365,219,0.631374,35.397176,0
366,219,0.674162,37.694837,0
367,219,0.603137,33.917261,0
368,219,0.482832,27.081646,0
371,219,0.680172,38.008657,0
372,219,0.656092,37.135683,0
373,219,0.500373,27.951171,0
374,219,0.585152,32.807885,0
375,219,0.482014,26.9183,0
377,219,0.638778,35.690884,0
378,219,0.594014,33.202,0
379,219,0.583469,32.606314,0
380,219,0.673379,37.874672,0
381,219,0.375963,22.385374,0
382,219,0.475753,26.700631,0
383,219,0.703403,40.364304,0
384,219,0.479567,26.801652,0
385,219,0.691318,38.748159,0
386,219,0.368473,20.582055,0
387,219,0.676915,39.444293,0
388,219,0.536009,29.955693,0
391,219,0.630268,35.716708,0
392,219,0.473932,26.509959,0
393,219,0.610623,34.18369,0
394,219,0.501342,28.299088,0
395,219,0.63358,35.440656,0
396,219,0.649562,36.334864,0
397,219,0.545692,30.611508,0
398,219,0.595366,33.350334,0
399,219,0.692171,38.922647,0
400,219,0.549024,30.737313,0
402,219,0.636787,35.617217,0
403,219,0.527302,29.492779,0
404,219,0.369279,26.001728,0
405,219,0.486066,27.174557,0
406,219,0.602386,33.640499,0
407,219,0.6714,37.501416,0
408,219,0.508868,28.493208,0
409,219,0.359448,21.706612,0
410,219,0.709237,39.750202,0
411,219,0.691093,38.701833,0
413,219,0.528433,29.515475,0
414,219,0.547084,30.837967,0
415,219,0.521542,29.167277,0
416,219,0.596384,33.352868,0
417,219,0.771527,43.11234,0
419,219,0.57196,32.092491,0
420,219,0.625078,34.934182,0
421,219,0.560241,31.308005,0
422,219,0.565543,31.599248,0
423,219,0.719263,40.730161,0
424,219,0.604492,33.800979,0
425,219,0.581719,32.503481,0
426,219,0.517014,29.272125,0
428,219,0.521837,29.165691,0
429,219,0.71808,40.436676,0
430,219,0.443575,24.790717,0
431,219,0.629865,35.20227,0
432,219,0.521406,29.160143,0
433,219,0.645532,36.276712,0
434,219,0.693176,38.724906,0
436,219,0.670427,37.45849,0
438,219,0.627314,35.079519,0
439,219,0.56688,31.80858,0
440,219,0.509281,28.474994,0
441,219,0.635549,35.699694,0
442,219,0.66354,37.056308,0
443,219,0.450017,25.188641,0
444,219,0.608493,34.007612,0
445,219,0.528857,29.661861,0
446,219,0.65721,36.770909,0
448,219,0.551152,30.866926,0
449,219,0.470466,26.294767,0
450,219,0.56711,31.870319,0
452,219,0.57974,32.421459,0
453,219,0.563645,31.533113,0
454,219,0.649522,36.331395,0
455,219,0.598122,33.536809,0
456,219,0.726356,40.640735,0
457,219,0.573941,32.142351,0
458,219,0.656671,36.869079,0
459,219,0.521588,29.342793,0
460,219,0.708261,39.697704,0
461,219,0.456433,25.541304,0
462,219,0.670588,37.551281,0
463,219,0.593478,33.210407,0
464,219,0.661296,36.990352,0
465,219,0.629681,35.200075,0
466,219,0.579562,32.386961,0
467,219,0.60545,33.844426,0
469,219,0.460176,25.703303,0
470,219,0.366143,20.476586,0
471,219,0.496446,27.800159,0
472,219,0.567953,31.730599,0
475,219,0.677205,37.892344,0
476,219,0.476051,26.616701,0
477,219,0.59455,33.245104,0
478,219,0.600926,33.68637,0
479,219,0.428114,23.977568,0
480,219,0.471559,26.386782,0
481,219,0.737618,41.290833,0
482,219,0.401324,22.456357,0
483,219,0.593705,33.469515,0
485,219,0.527705,29.496448,0
