OID_,LABEL,CLASS_1,CLASS_2,CLASS_3,CLASS_4,CLASS_5,CLASS_6,CLASS_7,CLASS_8,CLASS_9,CLASS_10,CLASS_11,CLASS_12,CLASS_13,CLASS_14,CLASS_15,CLASS_16,CLASS_17,CLASS_18,CLASS_19,CLASS_20,CLASS_21,CLASS_22,CLASS_23,CLASS_24,CLASS_25,CLASS_26,CLASS_27,CLASS_28,CLASS_29,CLASS_30,CLASS_31,CLASS_32
37,OBJEC_41,0,0,0,1,0,4,36,353,2719,12405,26034,34128,20890,10149,3059,385,49,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,OBJEC_42,0,0,0,0,0,0,1,16,122,741,2311,5528,8584,14741,21144,23468,19421,9371,3053,810,194,50,6,0,0,0,0,0,0,0,0,0
39,OBJEC_43,0,2,1,0,4,10,86,874,6134,23855,35805,31239,9961,2051,190,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,OBJEC_44,0,0,0,1,2,11,103,777,5758,21883,33010,30797,10882,4447,1782,359,64,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41,OBJEC_45,0,1,0,0,0,1,36,317,2329,9594,18125,25902,18448,13425,9977,6402,3768,1575,312,12,0,0,0,0,0,0,0,0,0,0,0,0
42,OBJEC_46,0,0,0,0,1,0,7,128,904,4458,10203,18014,19385,20304,18015,11229,5658,1730,176,12,0,0,0,0,0,0,0,0,0,0,0,0
43,OBJEC_47,0,0,0,1,0,5,57,518,3442,13869,26474,34249,19364,8348,2535,562,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,OBJEC_48,0,0,0,0,2,3,35,324,2325,10629,22677,32102,22948,12934,4734,956,181,40,2,0,0,0,0,0,0,0,0,0,0,0,0,0
45,OBJEC_49,1,0,2,3,1,9,119,1030,7745,28993,37955,27013,5981,941,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,OBJEC_50,0,0,1,4,4,6,55,475,3386,14090,26798,31313,18774,9357,3568,1215,365,182,165,97,28,9,0,0,0,0,0,0,0,0,0,0
47,OBJEC_51,0,0,0,1,1,8,36,315,2028,9000,19950,29027,24271,16359,6968,1505,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,OBJEC_53,1,1,1,0,3,4,60,358,2206,10315,20378,26354,21935,14987,7257,3607,1974,744,39,0,0,0,0,0,0,0,0,0,0,0,0,0
49,OBJEC_54,1,0,0,1,3,7,60,449,3398,13587,26307,32990,20426,9757,2875,353,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,OBJEC_55,0,1,1,1,0,9,121,837,5988,23158,33372,29773,12381,3730,803,47,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,OBJEC_56,0,1,1,0,0,3,50,440,3112,14207,27289,33936,20772,8367,1653,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,OBJEC_57,0,0,0,0,0,1,40,387,2793,12313,24031,32517,21636,11435,4131,545,62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,OBJEC_58,0,0,1,0,2,6,81,744,4934,19073,29881,30680,15146,6717,2441,490,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,OBJEC_59,0,0,0,0,0,1,24,184,1399,6246,12418,20690,18335,18783,16970,9016,4288,1552,255,52,11,0,0,0,0,0,0,0,0,0,0,0
55,OBJEC_60,0,0,0,1,2,5,99,738,5190,21158,34210,32787,11744,3130,472,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,OBJEC_61,0,1,3,2,0,5,63,630,4484,18544,32211,33659,16044,4110,450,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,OBJEC_62,0,0,0,2,2,5,57,514,3682,15873,27974,36466,17239,6244,1466,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,OBJEC_63,0,0,0,0,0,2,41,453,3010,13341,24484,34866,19610,9577,3774,678,253,132,3,0,0,0,0,0,0,0,0,0,0,0,0,0
59,OBJEC_64,0,1,5,2,1,11,96,793,5174,19933,31885,30913,14003,5342,1488,208,34,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,OBJEC_65,0,0,0,1,1,2,58,505,3984,15569,26192,35518,16785,7779,2963,511,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,OBJEC_66,0,0,0,0,4,3,74,510,3751,15326,26610,32549,17453,8791,3976,501,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,OBJEC_67,0,0,1,0,2,5,52,300,2443,11219,23504,30437,20661,12486,5912,2216,599,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,OBJEC_69,0,0,0,0,0,6,38,295,2322,10210,22038,33644,22279,13278,5062,639,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,OBJEC_70,0,1,1,4,1,8,69,600,4350,17836,30890,33631,16654,4993,779,74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,OBJEC_71,0,1,2,3,3,5,109,802,5599,21882,34981,31864,12034,2597,336,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,OBJEC_72,0,0,1,1,3,4,66,609,4353,17538,28581,33922,14940,6579,2568,660,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,OBJEC_73,0,0,0,0,1,4,44,366,2676,11899,24037,32948,21802,11667,3856,509,79,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,OBJEC_74,0,0,2,2,0,6,82,663,4399,17565,30458,34409,16452,5286,881,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,OBJEC_75,0,0,0,1,1,4,32,263,2249,10086,20183,28036,19884,13370,8440,3636,2197,1168,270,72,0,0,0,0,0,0,0,0,0,0,0,0
70,OBJEC_76,0,0,0,1,1,5,74,528,3473,14367,25094,27018,18518,11994,6746,2117,273,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,OBJEC_77,0,0,2,5,2,13,114,895,6238,23493,34493,31257,9749,2721,575,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,OBJEC_78,0,1,0,2,0,7,59,544,3808,15827,28500,32748,17325,7452,2833,688,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,OBJEC_79,1,0,3,3,2,5,85,576,4044,17421,31526,33780,16669,4952,806,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,OBJEC_80,0,0,0,0,3,4,66,475,3282,12383,21019,25727,15881,11867,10027,5586,2340,1020,212,0,0,0,0,0,0,0,0,0,0,0,0,0
75,OBJEC_81,0,0,0,2,2,2,65,514,3570,15491,29746,33629,19286,6896,987,31,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,OBJEC_82,0,1,0,0,2,8,73,597,4231,17369,29118,34754,15860,6101,1925,173,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,OBJEC_83,0,2,2,2,1,3,76,574,3895,16451,29223,32975,16068,6933,2771,524,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,OBJEC_84,1,1,1,3,2,4,142,1194,7920,28926,38424,27280,5747,549,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,OBJEC_85,0,0,1,1,2,9,72,613,4338,18240,30723,33293,15172,5950,1560,232,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,OBJEC_86,0,0,1,1,1,3,67,623,4212,17813,30200,33541,15316,5827,1770,409,101,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,OBJEC_87,1,0,0,1,5,8,46,445,3184,13440,24424,32366,19240,10547,4544,1177,436,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,OBJEC_88,0,0,1,1,2,7,56,323,2437,11457,25931,33993,21977,10523,2655,189,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,OBJEC_90,0,0,2,0,2,6,51,599,4153,16515,27173,32194,17618,8068,3083,592,162,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,OBJEC_91,0,1,0,2,0,5,39,396,2974,12431,21980,28440,19428,14081,8040,2121,275,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,OBJEC_93,0,1,1,1,0,8,62,459,3329,13700,24338,28611,17938,10446,6085,3118,1312,390,82,11,0,0,0,0,0,0,0,0,0,0,0,0
86,OBJEC_94,0,1,4,0,2,10,136,981,6874,24730,34696,29996,9910,2212,333,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,OBJEC_95,0,1,0,1,0,1,39,286,2054,9721,21520,31539,23972,14680,5594,736,79,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,OBJEC_96,0,0,3,0,1,10,124,868,6408,24271,34824,30871,9839,2584,415,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,OBJEC_97,0,0,1,2,1,3,37,267,1994,9353,20840,28658,23935,15907,6681,1847,325,31,7,3,0,0,0,0,0,0,0,0,0,0,0,0
90,OBJEC_98,0,1,2,2,2,8,82,632,4704,18789,31179,32871,13941,5369,2117,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,OBJEC_99,0,0,0,0,3,1,26,191,1404,5944,12489,20345,19139,19143,16605,9651,4244,658,49,0,0,0,0,0,0,0,0,0,0,0,0,0
92,OBJEC_100,0,1,0,1,3,12,99,643,4658,19005,33061,32132,14828,4668,761,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,OBJEC_101,0,0,0,1,0,7,53,493,3582,14341,25789,31872,19037,10462,3744,485,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,OBJEC_102,0,0,0,2,0,9,79,487,3399,14010,27034,31284,20306,9719,2951,549,57,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,OBJEC_104,0,0,1,0,2,4,48,417,3377,14189,25752,37512,18384,8033,2386,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,OBJEC_105,0,0,0,1,0,2,38,305,2240,9754,20778,28959,22800,15285,6878,2145,371,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,OBJEC_106,0,1,0,1,1,4,72,511,3861,14884,25774,28987,17340,10846,5758,1689,391,79,25,0,0,0,0,0,0,0,0,0,0,0,0,0
98,OBJEC_107,0,0,2,0,1,7,67,593,4240,16966,28827,31331,16208,7188,2984,1041,383,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,OBJEC_108,0,1,1,2,2,6,88,598,4555,18087,30992,33593,15664,5356,1173,102,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,OBJEC_109,0,0,0,1,1,3,51,384,3023,13674,27080,36630,20287,7552,1190,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,OBJEC_110,0,0,0,2,4,5,67,771,5202,20302,32702,31302,11374,4365,2143,1130,458,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,OBJEC_111,0,0,1,4,1,10,76,544,4058,17351,29703,35659,16104,5234,1129,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,OBJEC_112,0,0,4,2,1,7,82,825,5782,23375,35348,31288,10583,2478,444,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,OBJEC_115,0,3,1,5,1,12,139,1094,7230,26363,36014,27440,9307,2122,419,67,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,OBJEC_116,0,0,0,1,0,2,17,108,865,4134,8839,15632,16487,18548,19275,13455,7677,2999,951,313,155,66,28,9,0,0,0,0,0,0,0,0
106,OBJEC_117,0,0,0,0,1,4,41,323,2530,10485,18899,30473,20216,13722,8942,3204,921,129,2,0,0,0,0,0,0,0,0,0,0,0,0,0
107,OBJEC_118,0,0,1,1,0,6,66,524,3635,15553,27227,31089,17089,8553,4611,1540,299,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,OBJEC_119,0,0,1,3,1,3,90,726,5025,19105,30880,33946,13937,4847,1312,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,OBJEC_120,0,0,1,0,2,2,31,247,1933,8888,19150,31035,24415,15786,7028,1548,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,OBJEC_122,0,1,2,1,2,6,67,636,5069,19480,29086,30456,13640,6642,3309,1030,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,OBJEC_123,0,1,2,0,1,5,79,697,5554,21436,32220,32046,12446,4217,839,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,OBJEC_124,0,0,0,1,1,5,41,339,2466,11059,21824,30638,21014,12609,5063,2028,906,618,416,261,214,174,101,54,58,2,0,0,0,0,0,0
113,OBJEC_125,0,0,1,1,3,5,83,694,5852,22587,34231,31347,10843,3432,798,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,OBJEC_126,0,1,1,3,0,9,89,792,5995,21893,32081,33757,11406,2927,561,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,OBJEC_127,1,2,2,1,3,8,74,645,4480,17466,27351,29985,15606,8772,4476,1213,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,OBJEC_128,0,0,0,0,1,8,57,347,3075,13007,24802,32321,20509,11609,4135,341,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,OBJEC_129,0,0,1,1,0,3,57,547,4113,16549,28381,32388,17186,7538,2375,639,290,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,OBJEC_130,0,1,6,6,6,13,178,1275,8148,28880,37723,26471,6275,847,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,OBJEC_131,0,0,0,0,0,3,42,250,1935,8361,16735,22481,18733,16798,13615,7552,2814,752,121,27,5,0,0,0,0,0,0,0,0,0,0,0
120,OBJEC_132,0,2,0,2,0,11,107,892,5862,23135,35877,30731,11065,2276,260,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,OBJEC_133,0,1,1,0,1,0,63,417,3151,12873,23537,30735,19709,11418,5704,1506,350,80,15,0,0,0,0,0,0,0,0,0,0,0,0,0
122,OBJEC_134,0,0,0,0,0,3,15,190,1335,5984,13116,20315,19238,19021,17359,9456,3409,443,8,0,0,0,0,0,0,0,0,0,0,0,0,0
123,OBJEC_135,0,1,1,1,0,2,46,408,3255,14223,26545,35370,18835,7630,2817,895,194,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,OBJEC_136,0,0,0,4,3,8,77,476,3519,14908,29359,34791,18731,6838,1397,106,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,OBJEC_137,0,0,0,2,2,5,75,738,4473,18334,31534,32183,16055,5482,1056,255,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,OBJEC_138,0,0,0,2,1,4,55,477,3839,15228,25980,33343,17461,8724,4110,654,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,OBJEC_139,0,2,4,0,2,8,101,788,5405,19158,25596,24465,13088,9650,7630,3384,596,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,OBJEC_140,0,0,1,2,2,5,75,555,3812,15242,25455,30417,17871,10270,4408,1466,300,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,OBJEC_141,0,0,0,0,1,4,30,241,1844,8793,19072,29739,24006,15946,7664,1959,260,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,OBJEC_142,0,1,1,2,1,6,91,702,5242,19646,30484,32199,13740,5706,1862,207,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,OBJEC_143,0,0,1,4,0,2,94,792,6172,22837,33673,31414,10673,3075,925,223,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,OBJEC_144,0,1,1,0,0,4,55,468,3602,15091,26203,35168,17389,8323,3434,448,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,OBJEC_145,0,0,0,0,1,2,6,42,308,1684,4812,10043,14155,19426,22344,18241,11592,5191,1334,278,95,7,0,0,0,0,0,0,0,0,0,0
134,OBJEC_146,0,0,3,0,0,3,118,1032,7363,26403,33982,27164,9148,3253,1150,219,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,OBJEC_147,0,0,2,0,3,11,56,651,4843,19377,31003,33475,13476,5435,1771,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,OBJEC_148,0,0,0,0,1,2,23,262,1983,9162,19099,30050,24317,16078,7149,1554,207,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,OBJEC_149,1,0,0,1,1,2,42,424,2948,13006,25199,34070,19858,10527,3298,181,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,OBJEC_150,0,1,0,0,4,7,107,776,5459,21894,35197,32015,11778,2365,264,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,OBJEC_151,0,0,0,2,1,7,60,390,2831,11411,21034,28329,19672,13743,8057,3096,902,207,103,39,8,0,0,0,0,0,0,0,0,0,0,0
140,OBJEC_152,0,0,1,3,3,4,84,795,5681,20883,30159,32260,12936,5020,1799,241,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,OBJEC_153,0,0,1,0,0,5,35,360,2764,11763,22433,32873,21602,12562,4693,754,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,OBJEC_154,0,1,1,0,1,7,75,587,4084,16180,27189,32386,17317,8137,3194,362,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,OBJEC_155,0,1,0,1,1,0,28,329,2143,9280,18593,25705,19480,14693,10163,5443,2993,1129,219,23,0,0,0,0,0,0,0,0,0,0,0,0
144,OBJEC_156,0,0,2,0,1,5,76,576,4006,16085,27509,31046,16820,8279,3966,1535,313,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,OBJEC_157,0,1,0,0,0,5,39,288,2200,10846,23217,31660,23418,13314,4288,598,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,OBJEC_158,0,0,2,2,0,4,57,559,3942,16234,28644,32481,17226,7434,2732,716,184,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,OBJEC_159,0,0,0,1,0,5,39,333,2379,9263,16823,24261,19625,16969,13002,5521,1396,219,56,0,0,0,0,0,0,0,0,0,0,0,0,0
148,OBJEC_160,0,0,3,2,1,3,80,696,4766,18577,28289,29234,14580,7995,4263,1447,265,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,OBJEC_161,0,0,0,0,0,0,1,15,159,871,2828,6404,9582,15446,21457,23227,18562,7975,2189,741,393,216,100,48,10,0,0,0,0,0,0,0
150,OBJEC_162,0,0,0,0,1,0,22,159,1349,6187,13606,22517,22271,20411,14751,6420,1734,371,72,21,0,0,0,0,0,0,0,0,0,0,0,0
151,OBJEC_163,1,0,1,2,2,5,61,613,3924,14613,24426,26269,16449,11612,7557,3432,1063,185,9,0,0,0,0,0,0,0,0,0,0,0,0,0
152,OBJEC_164,0,1,6,0,2,6,86,696,4632,18341,30909,31819,16112,6263,1296,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,OBJEC_165,0,1,1,4,3,6,49,447,3575,15322,28295,35098,18543,6987,1478,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,OBJEC_166,0,1,0,2,0,14,129,1076,7338,26331,36668,28798,7917,1558,298,64,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,OBJEC_167,0,0,0,0,2,7,99,778,5378,20010,30148,30118,14717,6186,1949,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
