S1_pixel_ID,date,moran,z,p
1,218,0.595374,33.320187,0
2,218,0.607223,33.988191,0
3,218,0.577542,32.252885,0
4,218,0.740216,41.615541,0
5,218,0.739956,42.180551,0
6,218,0.550698,30.808178,0
7,218,0.543265,30.377336,0
8,218,0.544184,30.895108,0
9,218,0.689735,38.834546,0
10,218,0.560843,31.75078,0
11,218,0.673714,37.627371,0
13,218,0.573527,32.055011,0
14,218,0.530463,29.677013,0
15,218,0.688687,38.931483,0
16,218,0.702912,39.34404,0
17,218,0.699004,39.066707,0
18,218,0.642242,35.918364,0
19,218,0.581353,32.466264,0
20,218,0.718267,40.354302,0
21,218,0.617323,34.473531,0
22,218,0.58213,32.827602,0
23,218,0.553093,30.918095,0
24,218,0.693006,39.258609,0
25,218,0.56511,32.13377,0
26,218,0.647296,36.641954,0
27,218,0.584729,32.749534,0
28,218,0.681378,38.169306,0
29,218,0.618687,34.578947,0
30,218,0.529292,29.65616,0
31,218,0.556243,31.295587,0
33,218,0.575861,32.164661,0
34,218,0.621025,34.867378,0
35,218,0.609152,34.159988,0
36,218,0.60346,33.770795,0
37,218,0.660743,36.913268,0
38,218,0.688878,38.641294,0
40,218,0.669397,37.676426,0
41,218,0.512165,28.904577,0
42,218,0.678944,38.461872,0
43,218,0.754259,42.315371,0
44,218,0.688581,38.733847,0
47,218,0.722916,40.392799,0
48,218,0.459111,26.061253,0
49,218,0.652202,36.803105,0
50,218,0.594799,33.877363,0
51,218,0.646197,36.135145,0
53,218,0.635934,36.067436,0
54,218,0.627265,35.095879,0
55,218,0.602283,33.650419,0
56,218,0.720672,40.354039,0
57,218,0.561614,31.483832,0
58,218,0.653582,36.58071,0
59,218,0.705042,39.436515,0
60,218,0.55324,30.911854,0
61,218,0.615069,34.686656,0
62,218,0.58114,32.566514,0
63,218,0.703853,39.434264,0
64,218,0.646698,36.202258,0
66,218,0.614145,34.368763,0
67,218,0.592258,33.213279,0
68,218,0.542605,30.376294,0
69,218,0.657837,36.86035,0
70,218,0.610454,34.117562,0
71,218,0.725766,40.773727,0
72,218,0.644103,36.175921,0
75,218,0.532662,29.780051,0
77,218,0.78284,44.419788,0
78,218,0.504518,28.201852,0
79,218,0.612987,34.254284,0
80,218,0.728462,40.897528,0
82,218,0.645255,36.064155,0
83,218,0.646548,36.424378,0
84,218,0.693613,38.860204,0
85,218,0.517593,28.967252,0
86,218,0.682298,38.484522,0
87,218,0.675031,37.950615,0
88,218,0.608204,34.275897,0
89,218,0.608175,34.564156,0
90,218,0.471,26.295037,0
91,218,0.632449,35.361698,0
92,218,0.713398,39.943668,0
93,218,0.65059,36.597398,0
94,218,0.605952,33.880817,0
95,218,0.455067,25.471995,0
96,218,0.621499,34.811853,0
97,218,0.550571,30.753942,0
98,218,0.646021,36.244559,0
99,218,0.765631,43.203722,0
100,218,0.606678,34.020531,0
102,218,0.62117,35.104928,0
103,218,0.627067,35.067917,0
104,218,0.62614,36.130542,0
106,218,0.625457,37.508757,0
107,218,0.691077,39.021313,0
108,218,0.646971,37.176201,0
109,218,0.610999,34.277539,0
110,218,0.741874,41.559405,0
111,218,0.511449,28.723852,0
