OID_,vh_raw,vv_raw,zonal_0304_10m_p5,zonal_0304_10m_p25,zonal_0304_10m_p75,zonal_0304_10m_p95,Point_ID,S1_pixel_ID,VV_GLCM_cor,VV_GLCM_mean,VV_GLCM_var,VH_GLCM_mean,VH_GLCM_cor,VH_GLCM_var,zonal_0304_5m_p95_max,zonal_0304_5m_p95_min,zonal_0304_5m_p95_mean,zonal_0304_5m_p5_max,zonal_0304_5m_p5_min,zonal_0304_5m_p5_mean,zonal_0304_5m_range_max,zonal_0304_5m_range_min,zonal_0304_5m_range_mean,zonal_0304_5m_min_max,zonal_0304_5m_min_mean,zonal_0304_5m_med_max,zonal_0304_5m_med_min,zonal_0304_5m_med_mean,zonal_0304_5m_max_min,zonal_0304_5m_max_mean,zonal_0304_2m_max_min,zonal_0304_2m_max_mean,zonal_0304_2m_med_max,zonal_0304_2m_med_min,zonal_0304_2m_med_mean,zonal_0304_2m_min_max,zonal_0304_2m_min_mean,zonal_0304_2m_range_max,zonal_0304_2m_range_min,zonal_0304_2m_range_mean,zonal_0304_2m_p5_max,zonal_0304_2m_p5_min,zonal_0304_2m_p5_mean,zonal_0304_2m_p95_max,zonal_0304_2m_p95_min,zonal_0304_2m_p95_mean,zonal_0304_1m_p95_max,zonal_0304_1m_p95_min,zonal_0304_1m_p95_mean,zonal_0304_1m_p5_max,zonal_0304_1m_p5_min,zonal_0304_1m_p5_mean,zonal_0304_1m_range_max,zonal_0304_1m_range_min,zonal_0304_1m_range_mean,zonal_0304_1m_min_max,zonal_0304_1m_min_mean,zonal_0304_1m_med_max,zonal_0304_1m_med_min,zonal_0304_1m_med_mean,zonal_0304_1m_max_min,zonal_0304_1m_max_mean,zonal_0304_50cm_max_min,zonal_0304_50cm_max_mean,zonal_0304_50cm_med_max,zonal_0304_50cm_med_min,zonal_0304_50cm_med_mean,zonal_0304_50cm_min_max,zonal_0304_50cm_min_mean,zonal_0304_50cm_range_max,zonal_0304_50cm_range_min,zonal_0304_50cm_range_mean,zonal_0304_50cm_p5_max,zonal_0304_50cm_p5_min,zonal_0304_50cm_p5_mean,zonal_0304_50cm_p95_max,zonal_0304_50cm_p95_min,zonal_0304_50cm_p95_mean,zonal_0304_25cm_max_1_min,zonal_0304_25cm_max_1_mean,zonal_0304_25cm_med_1_max,zonal_0304_25cm_med_1_min,zonal_0304_25cm_med_1_mean,zonal_0304_25cm_min_1_max,zonal_0304_25cm_min_1_mean,zonal_0304_25cm_range_1_max,zonal_0304_25cm_range_1_min,zonal_0304_25cm_range_1_mean,zonal_0304_25cm_p5_1_max,zonal_0304_25cm_p5_1_min,zonal_0304_25cm_p5_1_mean,zonal_0304_25cm_p95_1_max,zonal_0304_25cm_p95_1_min,zonal_0304_25cm_p95_1_mean,zonal_0304_10m_range,zonal_0304_10m_min,zonal_0304_10m_med,zonal_0304_10m_max
568,0.0087954,0.0299881,0.0007209,0.0011579,0.0024298,0.0050091,568,1470,0.9999434,61.8916664,1915.3917236,24.7944450,0.8669822,360.3944397,0.0062208,0.0032167,0.0047615,0.0008081,0.0006732,0.0007360,0.0172762,0.0081929,0.0126559,0.0002404,0.0001337,0.0020487,0.0014357,0.0017053,0.0082423,0.0127895,0.0039964,0.0088961,0.0031307,0.0011990,0.0018037,0.0004335,0.0002497,0.0170013,0.0037726,0.0086464,0.0010747,0.0006064,0.0007573,0.0082644,0.0023162,0.0044079,0.0113829,0.0020441,0.0043531,0.0012347,0.0005818,0.0007719,0.0169947,0.0028660,0.0067134,0.0006514,0.0003341,0.0041861,0.0011546,0.0018302,0.0030999,0.0070475,0.0021316,0.0055783,0.0065900,0.0009877,0.0018832,0.0013335,0.0004663,0.0166374,0.0017587,0.0051120,0.0020436,0.0004768,0.0008246,0.0141384,0.0015751,0.0041091,0.0013070,0.0043421,0.0085150,0.0007901,0.0019539,0.0045446,0.0006996,0.0166374,0.0009726,0.0036425,0.0054366,0.0003436,0.0009453,0.0164322,0.0011420,0.0036933,0.0173853,0.0000494,0.0016737,0.0174347
569,0.0055948,0.0220632,0.0008089,0.0014214,0.0041613,0.0083221,569,131,0.9999464,61.8972206,1915.7305908,25.7583332,0.8849485,385.2138977,0.0102455,0.0044233,0.0079345,0.0010784,0.0007012,0.0008589,0.0462884,0.0124518,0.0272667,0.0002218,0.0002013,0.0034973,0.0015519,0.0024668,0.0126736,0.0274680,0.0047985,0.0164325,0.0051524,0.0013079,0.0026590,0.0005266,0.0002916,0.0461612,0.0045767,0.0161408,0.0014358,0.0006289,0.0009244,0.0143188,0.0025367,0.0074194,0.0189154,0.0022296,0.0069967,0.0015913,0.0006056,0.0009776,0.0460367,0.0032331,0.0110331,0.0007101,0.0003833,0.0055853,0.0012112,0.0027561,0.0035821,0.0114164,0.0022154,0.0085084,0.0086046,0.0010276,0.0028705,0.0016418,0.0005644,0.0459236,0.0018084,0.0079440,0.0031159,0.0005302,0.0010855,0.0337294,0.0017926,0.0064283,0.0014732,0.0064743,0.0199728,0.0007842,0.0030428,0.0063857,0.0009581,0.0451357,0.0009126,0.0055163,0.0072490,0.0003823,0.0013520,0.0437259,0.0013160,0.0055924,0.0462904,0.0001927,0.0022768,0.0464831
570,0.0089312,0.0794317,0.0009099,0.0017616,0.0048361,0.0088723,570,2271,0.9999551,61.9138870,1916.7471924,22.5166664,0.8079625,318.7166748,0.0109121,0.0066492,0.0085892,0.0011479,0.0007400,0.0009948,0.0250776,0.0165946,0.0222089,0.0002591,0.0001885,0.0038466,0.0019117,0.0030637,0.0167103,0.0223975,0.0050229,0.0152614,0.0045140,0.0012268,0.0031679,0.0004812,0.0003159,0.0250776,0.0047796,0.0149455,0.0013459,0.0006109,0.0010440,0.0148509,0.0021894,0.0082674,0.0172444,0.0019850,0.0078421,0.0018081,0.0005751,0.0010832,0.0248185,0.0025945,0.0117515,0.0008112,0.0004347,0.0071190,0.0010864,0.0032266,0.0028880,0.0121863,0.0021222,0.0092268,0.0091551,0.0010189,0.0033535,0.0022846,0.0006588,0.0244034,0.0017939,0.0085680,0.0037575,0.0004859,0.0012389,0.0212127,0.0017155,0.0071541,0.0013084,0.0071475,0.0155061,0.0007531,0.0035040,0.0100554,0.0011862,0.0234359,0.0009904,0.0059612,0.0109534,0.0004219,0.0016285,0.0234464,0.0011709,0.0062292,0.0251484,0.0001157,0.0029724,0.0252641
571,0.0083939,0.0427730,0.0006856,0.0010655,0.0020663,0.0038330,571,2341,0.9999507,61.9055557,1916.2388916,23.2833328,0.8129121,334.4833374,0.0046085,0.0033323,0.0037632,0.0007047,0.0006643,0.0006854,0.0110173,0.0062422,0.0087359,0.0001867,0.0001193,0.0016868,0.0014125,0.0015098,0.0063393,0.0088553,0.0044367,0.0068939,0.0021584,0.0011893,0.0015450,0.0003237,0.0002152,0.0107585,0.0042441,0.0066787,0.0008819,0.0006144,0.0007068,0.0059631,0.0022257,0.0035097,0.0083307,0.0019436,0.0033768,0.0010422,0.0005642,0.0007212,0.0105947,0.0027662,0.0052094,0.0005527,0.0002992,0.0034992,0.0011133,0.0015679,0.0030153,0.0055087,0.0020987,0.0044067,0.0057571,0.0009727,0.0016044,0.0009926,0.0004204,0.0102023,0.0016556,0.0039863,0.0018606,0.0004514,0.0007507,0.0092419,0.0017148,0.0032217,0.0013059,0.0035039,0.0073455,0.0007498,0.0016422,0.0036855,0.0006137,0.0086998,0.0008962,0.0028902,0.0047924,0.0003335,0.0008368,0.0098813,0.0012453,0.0029841,0.0110173,0.0000333,0.0014987,0.0110505
572,0.0049674,0.0290735,0.0006732,0.0010372,0.0020153,0.0035437,572,1457,0.9999507,61.9055557,1916.2388916,23.9444447,0.8289818,346.1944580,0.0043499,0.0029962,0.0034741,0.0006821,0.0006631,0.0006738,0.0117796,0.0058648,0.0079697,0.0001972,0.0001346,0.0015675,0.0014086,0.0014646,0.0059142,0.0081042,0.0042391,0.0065200,0.0016985,0.0011698,0.0014728,0.0003087,0.0002249,0.0117626,0.0039432,0.0062951,0.0007359,0.0006027,0.0006799,0.0049410,0.0023127,0.0034296,0.0064022,0.0018833,0.0033085,0.0009460,0.0005743,0.0006925,0.0117626,0.0025972,0.0050781,0.0004918,0.0002931,0.0024913,0.0010033,0.0014946,0.0029054,0.0053712,0.0016480,0.0042871,0.0038920,0.0008563,0.0015348,0.0010278,0.0004048,0.0113716,0.0013398,0.0038823,0.0016735,0.0004917,0.0007220,0.0088119,0.0013230,0.0031387,0.0011384,0.0033600,0.0056538,0.0007037,0.0015806,0.0020576,0.0005835,0.0113716,0.0008363,0.0027765,0.0026220,0.0003473,0.0008031,0.0108652,0.0009427,0.0028716,0.0118997,0.0000494,0.0014567,0.0119492
573,0.0074891,0.0232748,0.0006511,0.0009980,0.0019519,0.0035623,573,2131,0.9999434,61.8916664,1915.3917236,24.7166672,0.8529707,360.2833252,0.0047369,0.0027218,0.0034885,0.0006987,0.0005835,0.0006577,0.0167155,0.0069849,0.0097187,0.0002282,0.0001178,0.0016418,0.0012123,0.0014393,0.0070274,0.0098366,0.0041330,0.0068298,0.0021664,0.0010941,0.0014549,0.0003708,0.0002095,0.0165882,0.0040744,0.0066203,0.0008367,0.0005464,0.0006667,0.0079777,0.0022096,0.0033691,0.0105902,0.0016546,0.0032777,0.0010659,0.0005084,0.0006786,0.0164498,0.0022957,0.0051972,0.0005666,0.0002953,0.0029741,0.0009534,0.0014786,0.0025112,0.0054925,0.0016126,0.0042552,0.0051926,0.0007736,0.0015171,0.0009752,0.0004022,0.0164498,0.0013108,0.0038530,0.0014650,0.0004361,0.0007076,0.0137203,0.0012828,0.0030808,0.0011558,0.0032849,0.0094925,0.0006765,0.0015653,0.0037602,0.0005857,0.0158443,0.0007267,0.0026991,0.0046292,0.0003222,0.0007973,0.0150602,0.0010185,0.0028026,0.0167643,0.0000425,0.0014237,0.0168068
574,0.0035369,0.0220319,0.0007597,0.0012395,0.0027939,0.0067364,574,747,0.9999464,61.8972206,1915.7305908,25.4666672,0.8708851,379.3777771,0.0123918,0.0042989,0.0070815,0.0007906,0.0007430,0.0007599,0.0306122,0.0102545,0.0204266,0.0002116,0.0001455,0.0019292,0.0016785,0.0018151,0.0104599,0.0205721,0.0052778,0.0130029,0.0033616,0.0013364,0.0019367,0.0003312,0.0002560,0.0304294,0.0049829,0.0127469,0.0009395,0.0006504,0.0007803,0.0178447,0.0027787,0.0065230,0.0206764,0.0021683,0.0058139,0.0015387,0.0005855,0.0008249,0.0304294,0.0030782,0.0089996,0.0008689,0.0003524,0.0058589,0.0011925,0.0020841,0.0033892,0.0093520,0.0019538,0.0067871,0.0125359,0.0009113,0.0022877,0.0018332,0.0004918,0.0304294,0.0016769,0.0062953,0.0041502,0.0004895,0.0009005,0.0251893,0.0016123,0.0051350,0.0015146,0.0051572,0.0180823,0.0007959,0.0023919,0.0123923,0.0008134,0.0283682,0.0010837,0.0043438,0.0129255,0.0004014,0.0011249,0.0285078,0.0012635,0.0044480,0.0306376,0.0000699,0.0018065,0.0307075
575,0.0070219,0.0487958,0.0007217,0.0012074,0.0030465,0.0066566,575,1643,0.9999667,61.9361115,1918.1027832,23.5305557,0.8148112,344.8583374,0.0091232,0.0040888,0.0064769,0.0007656,0.0006874,0.0007262,0.0289984,0.0147969,0.0196006,0.0001926,0.0000937,0.0022426,0.0015903,0.0018770,0.0148508,0.0196942,0.0047629,0.0117131,0.0045201,0.0011709,0.0020723,0.0003942,0.0002372,0.0289135,0.0045704,0.0114759,0.0012215,0.0006129,0.0007854,0.0142306,0.0024759,0.0058743,0.0171844,0.0018211,0.0054878,0.0027460,0.0005489,0.0008469,0.0289135,0.0024294,0.0083577,0.0010061,0.0003457,0.0060743,0.0009804,0.0021552,0.0027098,0.0087034,0.0018585,0.0064578,0.0093247,0.0008847,0.0022883,0.0026160,0.0005177,0.0283208,0.0014884,0.0059402,0.0044466,0.0004533,0.0009334,0.0235822,0.0015271,0.0049121,0.0011366,0.0049396,0.0198152,0.0007264,0.0023976,0.0072841,0.0008487,0.0252805,0.0008282,0.0040909,0.0094899,0.0003332,0.0011651,0.0285538,0.0010175,0.0042713,0.0291370,0.0000539,0.0018304,0.0291909
576,0.0084141,0.0591784,0.0007052,0.0011346,0.0023008,0.0043679,576,996,0.9999609,61.9249992,1917.4250488,24.0805550,0.8108015,355.4027710,0.0051812,0.0036683,0.0042147,0.0007788,0.0006517,0.0007146,0.0192762,0.0080820,0.0117717,0.0002123,0.0001700,0.0019818,0.0013991,0.0016696,0.0081309,0.0119417,0.0045339,0.0076144,0.0026546,0.0011739,0.0017055,0.0003447,0.0002580,0.0191903,0.0042624,0.0073564,0.0009988,0.0005839,0.0007335,0.0067616,0.0021982,0.0040047,0.0106583,0.0020571,0.0038607,0.0012613,0.0005636,0.0007519,0.0191438,0.0032829,0.0058571,0.0006419,0.0003284,0.0036567,0.0010114,0.0017296,0.0036198,0.0061855,0.0020809,0.0049174,0.0056750,0.0009012,0.0017621,0.0016784,0.0004626,0.0187937,0.0015954,0.0044548,0.0020405,0.0005107,0.0008082,0.0150962,0.0017125,0.0036405,0.0011926,0.0038351,0.0092009,0.0006961,0.0018262,0.0032655,0.0006857,0.0182738,0.0007724,0.0031494,0.0037177,0.0003602,0.0009309,0.0167510,0.0010409,0.0032958,0.0194396,0.0000489,0.0016526,0.0194884
577,0.0063579,0.0465932,0.0007268,0.0011740,0.0023743,0.0047211,577,734,0.9999609,61.9249992,1917.4250488,24.4444447,0.8219704,360.3333435,0.0059283,0.0037364,0.0047311,0.0007568,0.0007031,0.0007280,0.0161980,0.0080218,0.0124743,0.0001942,0.0001616,0.0017735,0.0015753,0.0016891,0.0081408,0.0126359,0.0042433,0.0085241,0.0025493,0.0012250,0.0017503,0.0003629,0.0002473,0.0160853,0.0039957,0.0082767,0.0008807,0.0006003,0.0007513,0.0084194,0.0024057,0.0043600,0.0102003,0.0018720,0.0041558,0.0011892,0.0005576,0.0007772,0.0159493,0.0023590,0.0063986,0.0005342,0.0003412,0.0043034,0.0010808,0.0018073,0.0026549,0.0067398,0.0020187,0.0053018,0.0057976,0.0009055,0.0018454,0.0009315,0.0004588,0.0158417,0.0015997,0.0048430,0.0017623,0.0004582,0.0008172,0.0130501,0.0016261,0.0039400,0.0013263,0.0041072,0.0103480,0.0007489,0.0019193,0.0041365,0.0006964,0.0148732,0.0008850,0.0034108,0.0050902,0.0003503,0.0009488,0.0145157,0.0011286,0.0035168,0.0162572,0.0001189,0.0016872,0.0163761
578,0.0055091,0.0481215,0.0006165,0.0009236,0.0017565,0.0029368,578,563,0.9999507,61.9055557,1916.2388916,24.9555550,0.8408275,368.1889038,0.0036735,0.0022527,0.0028698,0.0006912,0.0005832,0.0006236,0.0100364,0.0052666,0.0073763,0.0001319,0.0000725,0.0014920,0.0011592,0.0012885,0.0053047,0.0074488,0.0036574,0.0055902,0.0018834,0.0010111,0.0013152,0.0003086,0.0001861,0.0098144,0.0036073,0.0054041,0.0008359,0.0005458,0.0006370,0.0049455,0.0018449,0.0027825,0.0057456,0.0015152,0.0027408,0.0009379,0.0004866,0.0006450,0.0096373,0.0020029,0.0042046,0.0005413,0.0002789,0.0022939,0.0009189,0.0013266,0.0022450,0.0044835,0.0016779,0.0036059,0.0038494,0.0008303,0.0013462,0.0008500,0.0003829,0.0096373,0.0013916,0.0032230,0.0012736,0.0004331,0.0006659,0.0078419,0.0013441,0.0026302,0.0011008,0.0028430,0.0052063,0.0006923,0.0013799,0.0019208,0.0005350,0.0091588,0.0006099,0.0023080,0.0022973,0.0003186,0.0007270,0.0085594,0.0010078,0.0024352,0.0100898,0.0000333,0.0012713,0.0101230
579,0.0038206,0.0505548,0.0007082,0.0011480,0.0024190,0.0047810,579,1882,0.9999507,61.9055557,1916.2388916,25.4305553,0.8567355,379.9305420,0.0081687,0.0032801,0.0050478,0.0007744,0.0006583,0.0007180,0.0608862,0.0065041,0.0248509,0.0002154,0.0001394,0.0020188,0.0014400,0.0017026,0.0067009,0.0249904,0.0051084,0.0113984,0.0032088,0.0011842,0.0017694,0.0003450,0.0002505,0.0607004,0.0048230,0.0111479,0.0010081,0.0005862,0.0007433,0.0166054,0.0023260,0.0049852,0.0247480,0.0018505,0.0046358,0.0017725,0.0005251,0.0007770,0.0604690,0.0030202,0.0074396,0.0007018,0.0003345,0.0049409,0.0010094,0.0018265,0.0033492,0.0077742,0.0020169,0.0057913,0.0116608,0.0008864,0.0019169,0.0029171,0.0004843,0.0591500,0.0016516,0.0053070,0.0040887,0.0004012,0.0008445,0.0401458,0.0016829,0.0042162,0.0014383,0.0043709,0.0199217,0.0007692,0.0020163,0.0069834,0.0007175,0.0560687,0.0009044,0.0036535,0.0084636,0.0003699,0.0009736,0.0504749,0.0012167,0.0037348,0.0609041,0.0000638,0.0016632,0.0609680
580,0.0057516,0.0345245,0.0013679,0.0029093,0.0076054,0.0136136,580,793,0.9999318,61.8694458,1914.0361328,26.6722221,0.8864141,407.8166809,0.0151160,0.0121330,0.0136213,0.0015720,0.0011632,0.0013976,0.0549203,0.0347877,0.0401342,0.0003086,0.0002873,0.0052279,0.0041514,0.0048435,0.0350605,0.0404215,0.0133639,0.0272401,0.0070447,0.0020210,0.0049661,0.0005994,0.0003979,0.0548507,0.0130804,0.0268421,0.0019576,0.0008409,0.0014719,0.0199198,0.0052498,0.0134424,0.0264673,0.0036578,0.0127171,0.0037957,0.0006924,0.0015739,0.0546036,0.0061077,0.0193956,0.0010222,0.0005758,0.0103371,0.0014883,0.0051473,0.0064163,0.0199714,0.0030126,0.0153887,0.0161624,0.0012723,0.0053462,0.0042161,0.0009178,0.0528904,0.0026242,0.0144708,0.0065571,0.0005691,0.0018462,0.0381962,0.0022657,0.0116880,0.0021435,0.0114857,0.0224295,0.0010023,0.0055993,0.0082630,0.0017469,0.0528904,0.0014396,0.0097387,0.0105718,0.0004653,0.0024548,0.0473227,0.0017905,0.0100456,0.0549320,0.0002729,0.0048642,0.0552049
581,0.0035076,0.0279142,0.0012663,0.0028116,0.0080449,0.0153340,581,997,0.9999303,61.8666649,1913.8666992,26.3555565,0.8836939,401.6222229,0.0159126,0.0142751,0.0153187,0.0014822,0.0010205,0.0013382,0.0548217,0.0386915,0.0480739,0.0003600,0.0002880,0.0055001,0.0038609,0.0049555,0.0389346,0.0483619,0.0061560,0.0315011,0.0079698,0.0016534,0.0051184,0.0006686,0.0003993,0.0547639,0.0059051,0.0311018,0.0020609,0.0007827,0.0014132,0.0218069,0.0031851,0.0147996,0.0338258,0.0030443,0.0141046,0.0039636,0.0007229,0.0015739,0.0544627,0.0038236,0.0226152,0.0011641,0.0005846,0.0117504,0.0014763,0.0052434,0.0042033,0.0231998,0.0033771,0.0165511,0.0153720,0.0013184,0.0055566,0.0059655,0.0009607,0.0544627,0.0029667,0.0155904,0.0078940,0.0006301,0.0018905,0.0389821,0.0024370,0.0126367,0.0018867,0.0122682,0.0241915,0.0009700,0.0059073,0.0099567,0.0018207,0.0521194,0.0014607,0.0104475,0.0114985,0.0004892,0.0025522,0.0495781,0.0014330,0.0107086,0.0549392,0.0002425,0.0049702,0.0551817
582,0.0029467,0.0351198,0.0010390,0.0021264,0.0067271,0.0134973,582,2411,0.9999332,61.8722229,1914.2055664,25.9388885,0.8715315,392.2277832,0.0180308,0.0101538,0.0136830,0.0013556,0.0008840,0.0011218,0.1565366,0.0306156,0.0725648,0.0002756,0.0002705,0.0047303,0.0030256,0.0038935,0.0308913,0.0728354,0.0067042,0.0351584,0.0058276,0.0016400,0.0041877,0.0005541,0.0003697,0.1564923,0.0064362,0.0347887,0.0017083,0.0007176,0.0011838,0.0275125,0.0035327,0.0133339,0.0648513,0.0030830,0.0133594,0.0027818,0.0006461,0.0012903,0.1562656,0.0038054,0.0244689,0.0009851,0.0004902,0.0087151,0.0015350,0.0042613,0.0041255,0.0249591,0.0032078,0.0160519,0.0140291,0.0012134,0.0046209,0.0033538,0.0007953,0.1558738,0.0027434,0.0152566,0.0062620,0.0005650,0.0015483,0.1438227,0.0023056,0.0118224,0.0016720,0.0111982,0.0271553,0.0008443,0.0049167,0.0116365,0.0015850,0.1557889,0.0012622,0.0096132,0.0123218,0.0004116,0.0021783,0.1529984,0.0015439,0.0096451,0.1565367,0.0002654,0.0039620,0.1568021
583,0.0053555,0.0426865,0.0008670,0.0017413,0.0059636,0.0135464,583,905,0.9999376,61.8805542,1914.7138672,25.6444435,0.8561310,386.6944580,0.0172807,0.0055748,0.0118870,0.0014783,0.0006833,0.0010676,0.0593895,0.0362995,0.0434526,0.0003560,0.0002232,0.0053167,0.0016014,0.0036090,0.0365045,0.0436758,0.0038825,0.0274833,0.0064216,0.0011331,0.0036907,0.0006746,0.0003361,0.0590260,0.0036126,0.0271472,0.0016965,0.0005805,0.0011020,0.0224020,0.0021429,0.0116654,0.0309813,0.0020141,0.0109367,0.0030999,0.0005380,0.0012092,0.0588219,0.0026603,0.0182209,0.0009092,0.0004518,0.0080904,0.0010478,0.0038750,0.0029832,0.0186727,0.0019363,0.0128721,0.0128978,0.0009016,0.0041525,0.0039053,0.0007399,0.0577999,0.0015718,0.0121322,0.0055969,0.0004757,0.0014555,0.0408066,0.0015107,0.0096371,0.0013401,0.0093837,0.0236723,0.0007625,0.0044406,0.0114796,0.0014026,0.0569049,0.0010050,0.0079811,0.0143469,0.0003726,0.0019578,0.0520967,0.0011241,0.0081581,0.0593895,0.0001223,0.0032544,0.0595119
584,0.0052580,0.0499187,0.0007093,0.0011527,0.0032317,0.0070354,584,1669,0.9999594,61.9222221,1917.2556152,24.8472214,0.8153456,387.2250061,0.0092287,0.0030590,0.0060934,0.0008905,0.0006415,0.0007514,0.0241373,0.0120837,0.0185239,0.0000867,0.0000648,0.0029838,0.0013043,0.0020494,0.0121704,0.0185887,0.0040384,0.0118162,0.0045592,0.0011416,0.0022409,0.0005001,0.0002585,0.0237850,0.0038593,0.0115577,0.0013574,0.0005951,0.0008401,0.0124519,0.0020891,0.0055157,0.0157650,0.0018600,0.0052364,0.0019791,0.0005607,0.0008874,0.0234234,0.0024650,0.0082663,0.0007656,0.0003647,0.0067976,0.0010595,0.0023068,0.0026818,0.0086310,0.0018138,0.0065153,0.0089053,0.0009245,0.0023768,0.0028589,0.0005325,0.0228173,0.0015151,0.0059828,0.0043067,0.0004719,0.0009685,0.0205623,0.0014916,0.0048825,0.0012963,0.0050213,0.0133208,0.0007714,0.0024605,0.0070108,0.0008685,0.0218271,0.0008910,0.0041528,0.0082674,0.0003672,0.0011845,0.0230180,0.0011768,0.0043534,0.0241490,0.0000389,0.0017685,0.0241879
585,0.0052276,0.0663721,0.0007829,0.0013523,0.0030090,0.0054428,585,1181,0.9999536,61.9111099,1916.5777588,25.1416664,0.8045865,391.9750061,0.0065668,0.0042139,0.0055160,0.0008600,0.0007230,0.0007928,0.0180935,0.0122424,0.0152007,0.0002243,0.0001997,0.0022226,0.0017674,0.0019878,0.0124262,0.0154004,0.0052578,0.0102239,0.0031934,0.0014726,0.0020754,0.0004268,0.0002777,0.0180000,0.0050046,0.0099462,0.0010756,0.0006396,0.0008240,0.0096398,0.0031010,0.0052385,0.0123083,0.0021131,0.0049630,0.0018226,0.0005943,0.0008709,0.0176305,0.0030722,0.0075431,0.0006374,0.0003678,0.0050142,0.0011598,0.0021206,0.0033826,0.0079109,0.0019704,0.0061507,0.0077729,0.0009477,0.0022044,0.0016745,0.0005266,0.0172852,0.0016168,0.0056242,0.0030316,0.0004875,0.0009469,0.0152055,0.0015234,0.0046201,0.0015023,0.0048299,0.0097548,0.0007620,0.0022883,0.0045745,0.0008291,0.0172852,0.0009949,0.0040008,0.0054045,0.0003296,0.0011201,0.0163688,0.0013065,0.0041474,0.0180935,0.0001703,0.0019603,0.0182637
586,0.0053820,0.0716180,0.0006821,0.0010821,0.0022040,0.0042272,586,998,0.9999536,61.9111099,1916.5777588,25.2055550,0.8100372,389.5499878,0.0047386,0.0035611,0.0041776,0.0006958,0.0006685,0.0006821,0.0164555,0.0095259,0.0121160,0.0000880,0.0000670,0.0016355,0.0014805,0.0015538,0.0096139,0.0121830,0.0043113,0.0079218,0.0019849,0.0011876,0.0015779,0.0003333,0.0002043,0.0164446,0.0041048,0.0077175,0.0008086,0.0006079,0.0006937,0.0064193,0.0022798,0.0039788,0.0077561,0.0019308,0.0037938,0.0010676,0.0005306,0.0007136,0.0162750,0.0022555,0.0058777,0.0005468,0.0003008,0.0032285,0.0010772,0.0016293,0.0026033,0.0061785,0.0020680,0.0047803,0.0053315,0.0008900,0.0016830,0.0009885,0.0004193,0.0161166,0.0017298,0.0043609,0.0016046,0.0004311,0.0007547,0.0119888,0.0016612,0.0035218,0.0012777,0.0036644,0.0066554,0.0007400,0.0017538,0.0024040,0.0006250,0.0147639,0.0008489,0.0030394,0.0034016,0.0003564,0.0008648,0.0142670,0.0011422,0.0031528,0.0164860,0.0000494,0.0015491,0.0165355
587,0.0050063,0.0950479,0.0006613,0.0010105,0.0018995,0.0032415,587,364,0.9999434,61.8916664,1915.3917236,25.3999996,0.8233570,388.5111084,0.0038489,0.0029129,0.0032574,0.0006712,0.0006547,0.0006622,0.0103548,0.0068026,0.0082187,0.0001887,0.0000828,0.0014416,0.0013405,0.0013998,0.0069913,0.0083016,0.0043634,0.0065353,0.0017161,0.0011457,0.0014115,0.0003216,0.0002145,0.0100841,0.0040997,0.0063207,0.0007221,0.0005757,0.0006675,0.0049597,0.0021698,0.0031775,0.0067175,0.0020078,0.0030913,0.0008290,0.0005697,0.0006741,0.0099688,0.0023828,0.0050798,0.0004444,0.0002886,0.0022309,0.0010886,0.0014284,0.0027063,0.0053684,0.0020939,0.0041479,0.0041537,0.0009737,0.0014556,0.0008713,0.0004031,0.0098525,0.0016355,0.0037448,0.0014702,0.0004397,0.0007019,0.0081833,0.0015966,0.0029412,0.0013706,0.0032097,0.0053516,0.0006467,0.0014883,0.0020434,0.0005645,0.0092194,0.0009066,0.0026452,0.0026433,0.0003609,0.0007698,0.0096749,0.0011664,0.0027208,0.0103626,0.0000404,0.0013993,0.0104030
588,0.0049258,0.0959031,0.0007080,0.0011295,0.0023725,0.0051624,588,1138,0.9999434,61.8916664,1915.3917236,25.5666676,0.8368648,390.4055481,0.0076179,0.0032305,0.0047386,0.0007990,0.0006574,0.0007177,0.0219748,0.0077290,0.0127273,0.0002523,0.0001721,0.0022446,0.0013945,0.0017055,0.0079295,0.0128995,0.0046821,0.0084477,0.0046375,0.0012875,0.0018584,0.0004603,0.0002617,0.0215627,0.0044377,0.0081860,0.0015453,0.0006245,0.0007650,0.0113520,0.0024454,0.0042636,0.0136248,0.0020605,0.0040351,0.0018648,0.0005741,0.0008041,0.0215627,0.0026993,0.0061324,0.0008521,0.0003570,0.0058366,0.0010635,0.0019067,0.0030311,0.0064894,0.0021028,0.0051561,0.0092732,0.0009938,0.0019359,0.0024711,0.0005080,0.0209771,0.0016805,0.0046481,0.0040487,0.0005021,0.0008763,0.0168992,0.0016902,0.0038093,0.0013513,0.0040369,0.0122047,0.0007464,0.0019894,0.0051568,0.0007473,0.0195977,0.0008169,0.0032896,0.0075582,0.0003257,0.0010075,0.0189316,0.0012188,0.0034607,0.0219748,0.0000483,0.0016245,0.0220230
