S1_pixel_ID,date,moran,z,p
831,302,0.520747,29.103367,0
832,302,0.650532,36.36457,0
833,302,0.56818,31.746734,0
835,302,0.52801,29.474729,0
837,302,0.705141,39.778094,0
838,302,0.768222,43.167448,0
839,302,0.445993,26.026023,0
840,302,0.639132,35.760199,0
841,302,0.620285,34.727032,0
842,302,0.456324,25.476705,0
844,302,0.779208,43.652993,0
845,302,0.497138,27.762174,0
846,302,0.585911,32.758247,0
847,302,0.569775,31.869493,0
848,302,0.710158,39.920033,0
849,302,0.553358,30.927838,0
850,302,0.77105,43.492908,0
851,302,0.406632,22.712081,0
852,302,0.418854,23.383454,0
853,302,0.436301,24.358715,0
854,302,0.348691,19.469844,0
855,302,0.390679,21.815176,0
856,302,0.615665,35.060418,0
857,302,0.686137,38.548464,0
858,302,0.355705,19.862999,0
859,302,0.711938,40.168586,0
860,302,0.374895,20.938336,0
861,302,0.381861,21.321614,0
862,302,0.703816,39.496212,0
863,302,0.559841,31.276685,0
864,302,0.379438,21.19983,0
865,302,0.363237,20.279788,0
866,302,0.532864,29.893639,0
867,302,0.631244,36.897271,0
868,302,0.368217,20.56203,0
870,302,0.503232,28.137551,0
871,302,0.471494,26.343988,0
872,302,0.761569,42.79135,0
873,302,0.509378,28.479957,0
874,302,0.68626,39.451961,0
875,302,0.709856,39.690692,0
876,302,0.570482,31.867632,0
877,302,0.588334,33.415208,0
878,302,0.434248,24.24158,0
879,302,0.480545,26.856339,0
880,302,0.440177,24.585742,0
881,302,0.600034,33.530669,0
882,302,0.563504,31.462472,0
883,302,0.550412,30.748307,0
884,302,0.42627,23.806027,0
885,302,0.707406,39.492479,0
886,302,0.752067,42.024502,0
887,302,0.694068,38.869139,0
889,302,0.299814,16.747756,0
890,302,0.718961,40.198184,0
891,302,0.463996,25.90692,0
892,302,0.410936,22.94674,0
893,302,0.554995,31.113788,0
894,302,0.641894,35.903249,0
895,302,0.724823,40.468388,0
896,302,0.667486,38.074277,0
897,302,0.658216,36.898994,0
898,302,0.5392,30.165711,0
899,302,0.3487,19.479052,0
900,302,0.643859,35.99366,0
902,302,0.555706,31.026576,0
903,302,0.498094,27.82136,0
904,302,0.705002,39.418444,0
905,302,0.68863,38.489316,0
906,302,0.457884,25.565783,0
907,302,0.329502,18.409888,0
908,302,0.489204,27.390653,0
909,302,0.454165,25.365659,0
910,302,0.631832,35.294178,0
911,302,0.684047,38.311336,0
912,302,0.568212,31.732972,0
913,302,0.517912,28.924306,0
914,302,0.561633,31.431469,0
915,302,0.54418,30.414902,0
916,302,0.80218,44.904418,0
917,302,0.673172,37.622423,0
919,302,0.638489,35.834363,0
920,302,0.754325,42.250868,0
921,302,0.657634,36.778973,0
922,302,0.468337,26.148049,0
923,302,0.367443,20.522156,0
924,302,0.478273,26.697958,0
925,302,0.744432,41.678565,0
926,302,0.623601,34.852347,0
927,302,0.735012,42.828124,0
928,302,0.464719,25.990343,0
929,302,0.62206,34.760383,0
930,302,0.273317,15.268674,0
931,302,0.642128,35.917699,0
932,302,0.317292,17.724709,0
933,302,0.63742,35.667622,0
934,302,0.452168,25.270724,0
935,302,0.631967,35.310072,0
936,302,0.73685,41.176132,0
937,302,0.355061,19.831221,0
938,302,0.692407,38.837139,0
939,302,0.452988,25.293874,0
942,302,0.566731,31.659038,0
943,302,0.71264,39.832699,0
944,302,0.695013,40.016685,0
945,302,0.407283,22.742551,0
946,302,0.611788,34.168541,0
947,302,0.511912,28.583379,0
948,302,0.672063,39.279752,0
949,302,0.651534,36.4106,0
950,302,0.76838,42.95761,0
952,302,0.617135,34.476663,0
953,302,0.421634,23.53609,0
954,302,0.546111,30.512902,0
955,302,0.533589,29.87341,0
956,302,0.49566,27.669565,0
957,302,0.740663,41.432539,0
958,302,0.643688,36.088918,0
959,302,0.648955,36.659297,0
960,302,0.61944,34.650801,0
961,302,0.653874,36.563573,0
962,302,0.69739,39.652129,0
963,302,0.717512,40.074365,0
964,302,0.652695,36.540116,0
966,302,0.500695,27.95763,0
967,302,0.417,23.29778,0
968,302,0.645199,36.265504,0
969,302,0.424747,23.723784,0
970,302,0.427379,23.857882,0
971,302,0.342505,19.133739,0
972,302,0.705704,39.49117,0
973,302,0.626867,35.850526,0
974,302,0.696945,39.017905,0
975,302,0.383605,21.419436,0
976,302,0.459383,25.640389,0
977,302,0.708999,39.755073,0
978,302,0.575944,32.239354,0
979,302,0.755352,42.208232,0
980,302,0.621527,35.480741,0
981,302,0.680486,38.112503,0
982,302,0.600469,33.569987,0
984,302,0.530306,29.613743,0
985,302,0.3327,18.594429,0
986,302,0.522747,29.192606,0
987,302,0.385559,21.539324,0
988,302,0.363187,20.283399,0
989,302,0.428602,23.942776,0
990,302,0.490841,27.400312,0
991,302,0.444585,24.826241,0
992,302,0.768839,43.029263,0
993,302,0.571194,31.88546,0
994,302,0.590947,32.985939,0
995,302,0.527866,29.478737,0
996,302,0.578737,32.389046,0
997,302,0.580596,32.438267,0
998,302,0.597379,33.39063,0
999,302,0.633038,35.427672,0
1000,302,0.69035,39.021353,0
1001,302,0.731675,40.995152,0
1002,302,0.783883,43.986907,0
1003,302,0.563665,31.466619,0
1004,302,0.6165,34.494458,0
1005,302,0.744318,41.768651,0
1006,302,0.593284,34.742163,0
1007,302,0.649852,38.611807,0
1008,302,0.750062,42.054725,0
1009,302,0.462537,25.855771,0
1010,302,0.4207,23.48445,0
1011,302,0.61226,34.342658,0
1012,302,0.627118,35.010674,0
1013,302,0.562769,31.449168,0
1014,302,0.540251,30.175397,0
1015,302,0.600531,33.711951,0
1016,302,0.596791,33.383691,0
1017,302,0.674281,38.015463,0
1018,302,0.36419,20.345981,0
1019,302,0.608357,34.008767,0
1020,302,0.628389,35.149694,0
1021,302,0.239841,13.416623,0
1022,302,0.578804,32.368394,0
1023,302,0.290221,16.217922,0
1024,302,0.606551,33.85922,0
1025,302,0.283292,15.832833,0
1026,302,0.311558,17.411367,0
1027,302,0.391076,21.836567,0
1028,302,0.487762,27.285224,0
1029,302,0.432962,24.234559,0
1030,302,0.496366,27.713426,0
1031,302,0.503285,28.101764,0
1032,302,0.564321,31.522131,0
1033,302,0.467129,26.097044,0
1034,302,0.661239,36.928825,0
1035,302,0.606417,33.90351,0
1036,302,0.531937,29.705426,0
1037,302,0.474978,26.543895,0
1038,302,0.680608,38.165703,0
1039,302,0.368701,20.589889,0
1040,302,0.639918,35.777308,0
1041,302,0.585569,32.71933,0
1042,302,0.65689,37.478915,0
1043,302,0.666299,37.230431,0
1044,302,0.496236,27.716271,0
1045,302,0.578679,32.342572,0
1046,302,0.574938,32.115739,0
1047,302,0.604255,34.378665,0
1048,302,0.384373,21.460671,0
1049,302,0.512134,28.627153,0
1050,302,0.664738,37.125679,0
1051,302,0.801498,44.879744,0
1052,302,0.538213,30.070939,0
1053,302,0.704965,39.474624,0
1054,302,0.531193,29.720215,0
1055,302,0.567903,31.717688,0
1056,302,0.327681,18.300808,0
1057,302,0.769753,43.124549,0
1058,302,0.519455,29.00905,0
1059,302,0.46704,26.083176,0
1061,302,0.490368,27.377361,0
1062,302,0.636367,35.590344,0
1063,302,0.404278,22.573927,0
1064,302,0.450343,25.170474,0
1065,302,0.619271,34.577688,0
1066,302,0.780052,43.973532,0
1067,302,0.420799,23.493558,0
1068,302,0.425672,23.80102,0
1069,302,0.582392,32.58715,0
1070,302,0.404709,22.614221,0
1071,302,0.699954,39.127813,0
1072,302,0.43716,24.447758,0
1073,302,0.685433,38.405142,0
1074,302,0.62179,34.990593,0
1076,302,0.641641,35.82273,0
1077,302,0.629168,35.800042,0
1078,302,0.572194,32.165972,0
1079,302,0.701796,39.401271,0
1080,302,0.697558,39.043969,0
1081,302,0.726241,40.568138,0
1082,302,0.349302,19.504409,0
1083,302,0.420799,23.492649,0
1084,302,0.661497,37.043377,0
1085,302,0.732066,41.187508,0
1086,302,0.609181,34.075641,0
1087,302,0.749959,42.00898,0
1088,302,0.609494,34.02832,0
1089,302,0.493227,27.540844,0
1090,302,0.574043,32.101348,0
1091,302,0.596911,33.357931,0
1092,302,0.481043,26.860585,0
1093,302,0.418648,23.3728,0
1094,302,0.600049,33.540381,0
1095,302,0.359252,20.06072,0
1097,302,0.710232,39.727284,0
1098,302,0.67625,38.788883,0
1099,302,0.437021,24.399431,0
1100,302,0.565815,31.589764,0
1101,302,0.666089,37.190731,0
1102,302,0.6899,39.171365,0
1103,302,0.610763,34.12928,0
1104,302,0.479644,26.77061,0
1105,302,0.544355,30.413932,0
1106,302,0.421857,23.554141,0
1107,302,0.60954,34.216629,0
1108,302,0.77607,43.391946,0
1109,302,0.56882,31.760169,0
1110,302,0.383973,21.449366,0
1111,302,0.484976,27.082357,0
1112,302,0.473196,26.411484,0
1113,302,0.337766,18.877219,0
1114,302,0.726045,41.190442,0
1116,302,0.35774,19.978933,0
1117,302,0.609475,34.107076,0
1118,302,0.539992,30.199441,0
1119,302,0.352492,19.684249,0
