,std_dev
0,0.0
1,0.0049564415
2,0.0050586797
3,0.0048844335
4,0.004579315
5,0.0043382216
6,0.0041082995
7,0.0034887528
8,0.0030283506
9,0.0025190292
10,0.0026410932
11,0.0026915765
12,0.0029777617
13,0.0030079752
14,0.002497785
15,0.0021447963
16,0.001792859
17,0.0019533336
18,0.0019081724
19,0.0019194259
20,0.0022993481
21,0.002392384
22,0.0020862871
23,0.002036291
24,0.001978839
25,0.0021155032
26,0.0021065006
27,0.0031569656
28,0.003096181
29,0.002090677
30,0.0019015874
31,0.0017174443
32,0.0017724185
33,0.0014939399
34,0.0010254087
35,0.0012696697
36,0.0016257952
37,0.001993828
38,0.0025653038
39,0.0025926025
40,0.0026652806
41,0.0024799875
42,0.0013792966
43,0.002844117
44,0.0023341957
45,0.0010482577
46,0.003063684
47,0.0052002035
48,0.0046862373
49,0.0030432104
50,0.0018185826
51,0.0013471013
52,0.0015402499
53,0.001119677
54,0.0009813489
55,0.0035518336
56,0.004277696
57,0.0024034893
58,0.0030262934
59,0.0066215587
60,0.008084221
61,0.0076268725
62,0.009619571
63,0.010767733
64,0.007892416
65,0.006808926
66,0.0066959704
67,0.0043606847
68,0.002303041
69,0.0030543318
70,0.0024722416
71,0.0017496948
72,0.002053172
73,0.002527173
74,0.0025675264
75,0.0029483933
76,0.0039039247
77,0.0039173653
78,0.0029749942
79,0.0022325465
80,0.0035714856
81,0.00391634
82,0.004615317
83,0.005155546
84,0.005530785
85,0.005322923
86,0.0052212547
87,0.0054521514
88,0.0041819033
89,0.0031690102
90,0.0025388694
91,0.0023073463
92,0.0013246175
93,0.0018865751
94,0.0020224517
95,0.0016286032
96,0.0026447272
97,0.0035743855
98,0.002403126
99,0.0019892247
100,0.0032387297
101,0.0037796933
102,0.0035957443
103,0.0030467277
104,0.0015703955
105,0.0014761054
106,0.0019410775
107,0.0018507062
108,0.0019074554
109,0.0018811835
110,0.0022363628
111,0.0022862866
112,0.0031769443
113,0.0042282613
114,0.0044594253
115,0.0039195563
116,0.0036464036
117,0.0035064435
118,0.003741695
119,0.0033860677
120,0.0023144998
121,0.0021103518
122,0.002662943
123,0.0027756111
124,0.0033267485
125,0.0028413222
126,0.0024845484
127,0.0008487166
128,0.0006466559
129,0.0007806254
130,0.0008239393
131,0.0009424387
132,0.0011943597
133,0.0017743879
134,0.0034257255
135,0.005562357
136,0.0074596754
137,0.007337094
138,0.005025432
139,0.0035578264
140,0.0023155431
141,0.0021172774
142,0.002306009
143,0.0023729992
144,0.0026321742
145,0.003972417
146,0.0048475363
147,0.006492978
148,0.0069286874
149,0.00559219
150,0.00441711
151,0.0034184286
152,0.006159686
153,0.006433462
154,0.003999659
155,0.0031539311
156,0.00299574
157,0.0035741087
158,0.0039387927
159,0.0038534787
160,0.0046865167
161,0.005473728
162,0.005290659
163,0.0038481883
164,0.00291336
165,0.0051234607
166,0.0063324436
167,0.004993618
168,0.003163771
169,0.0019815434
170,0.0018569545
171,0.0021972258
172,0.0029966044
173,0.0037114867
174,0.004396041
175,0.0044868104
176,0.004074925
177,0.0033242542
178,0.0032043275
179,0.0039427215
180,0.0026708767
181,0.0012563971
182,0.0019351009
183,0.0026373218
184,0.002141768
185,0.0012599363
186,0.0019418121
187,0.003626764
188,0.004264702
189,0.007237682
190,0.009370931
191,0.0071224268
192,0.0060660453
193,0.0076270406
194,0.007469711
195,0.006600004
196,0.00620841
197,0.0041830097
198,0.0012911496
199,0.00066673226
200,0.0022012356
201,0.0035046586
202,0.002901859
203,0.0020103708
204,0.0017927941
205,0.0016780333
206,0.0021865105
207,0.0033881557
208,0.0050262655
209,0.008000351
210,0.008040553
211,0.0045525115
212,0.00090516906
213,0.0010345639
214,0.0018264235
215,0.0031922339
216,0.0032848066
217,0.0026623853
218,0.004072725
219,0.005546255
220,0.004905149
221,0.0035343124
222,0.0032435965
223,0.0029082107
224,0.0036695087
225,0.00447063
226,0.0050559924
227,0.00374858
228,0.0023016126
229,0.0016157933
230,0.0011079971
231,0.0009727403
232,0.001401817
233,0.0014163165
234,0.0013760645
235,0.0019804416
236,0.0023387175
237,0.002214549
238,0.0019306891
239,0.0024392
240,0.0055534234
241,0.0073642354
242,0.0056687016
243,0.0037309455
244,0.0032503637
245,0.0026209608
246,0.0020577596
247,0.0026674746
248,0.0028218965
249,0.003099638
250,0.0033859645
251,0.0019142028
252,0.0010186313
253,0.00091259804
254,0.0014570545
255,0.002609119
256,0.0032985024
257,0.002736316
258,0.0030294366
259,0.0038692013
260,0.003566038
261,0.0026014221
262,0.0019452263
263,0.0027422977
264,0.0038149871
265,0.0038404663
266,0.0039061978
267,0.004024916
268,0.0042444672
269,0.0040154615
270,0.003564879
271,0.0031669065
272,0.0023367505
273,0.0015837748
274,0.0025495538
275,0.0027876433
276,0.00271229
277,0.002039647
278,0.0011064464
279,0.002082112
280,0.002490714
281,0.0026646801
282,0.002708564
