,std_dev
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0028659524
337,0.002455634
338,0.002570585
339,0.0032359518
340,0.003008459
341,0.0030567986
342,0.0036012197
343,0.0036051534
344,0.0031060819
345,0.0024308334
346,0.0021906195
347,0.003859878
348,0.006364333
349,0.007900053
350,0.0055178246
351,0.0034357274
352,0.0067728013
353,0.008607462
354,0.0074026794
355,0.006079871
356,0.0036156892
357,0.0050495006
358,0.004764482
359,0.000839892
360,0.0021431132
361,0.0029736832
362,0.0042218342
363,0.006274619
364,0.0063763303
365,0.0064590205
366,0.007561211
367,0.0059251324
368,0.0034812451
369,0.005268703
370,0.011190462
371,0.016985964
372,0.01746286
373,0.014890242
374,0.014337918
375,0.0128484145
376,0.011974145
377,0.022413211
378,0.024878148
379,0.014126322
380,0.004484598
381,0.0038554268
382,0.0022760544
383,0.0024851107
384,0.0030516433
385,0.002608695
386,0.0033675805
387,0.0034611647
388,0.0033989188
389,0.002307359
390,0.0012504528
391,0.003156855
392,0.0057517895
393,0.0058494774
394,0.006489723
395,0.007108422
396,0.0059750774
397,0.0077758767
398,0.007634699
399,0.003969324
400,0.00282922
401,0.0031810915
402,0.004023361
403,0.004055366
404,0.0046639754
405,0.005222492
406,0.0042814636
407,0.003882245
408,0.0063944384
409,0.005014956
410,0.004477116
411,0.0061479337
412,0.0078438595
413,0.005196777
414,0.002135958
415,0.0043426873
416,0.0064803343
417,0.007394076
418,0.006901908
419,0.0053419713
420,0.004123093
421,0.0056177424
422,0.0073650097
423,0.0076131304
424,0.0069447607
425,0.00378674
426,0.0029475936
427,0.0035710048
428,0.0038218927
429,0.0049719014
430,0.0067650364
431,0.007965863
432,0.007695866
433,0.0072936653
434,0.006620675
435,0.0058231726
436,0.005613819
437,0.0056523313
438,0.0051447693
439,0.004195175
440,0.0031664928
441,0.002084738
442,0.0015181345
443,0.0018945801
444,0.0025325797
445,0.0029024007
446,0.0035776005
447,0.0033814488
448,0.0015842892
449,0.0019448074
450,0.0039158794
451,0.0047616772
452,0.0067694318
453,0.0071024215
454,0.004850705
455,0.0042862874
456,0.0050892006
457,0.006155054
458,0.007245226
459,0.006874042
460,0.0065388987
461,0.0059346096
462,0.0051187156
463,0.004482469
464,0.0043739593
465,0.005916737
466,0.0073762396
467,0.006885477
468,0.005776777
469,0.008204962
470,0.008571318
471,0.0068834308
472,0.0064667435
473,0.007605217
474,0.006892832
475,0.0064848056
476,0.0076000793
477,0.008285899
478,0.007183961
479,0.0065161865
480,0.0060694986
481,0.0062566525
482,0.0065893503
483,0.006776526
484,0.006876658
485,0.006612102
486,0.006868019
487,0.007079046
488,0.0068267267
489,0.005980681
490,0.0053934692
491,0.0047309813
492,0.00498645
493,0.0059134453
494,0.007832349
495,0.010694534
496,0.011696939
497,0.009360272
498,0.0068900995
499,0.004736951
500,0.005382336
501,0.0044545736
