,std_dev
0,0.0
1,0.0042210002
2,0.0058846823
3,0.0069184015
4,0.005152847
5,0.0031491753
6,0.002521766
7,0.002119503
8,0.003330176
9,0.0054983166
10,0.005708592
11,0.0033234048
12,0.0022197606
13,0.003847636
14,0.0048261937
15,0.004194037
16,0.003769693
17,0.003352153
18,0.002480058
19,0.0015506076
20,0.0021299268
21,0.0037258405
22,0.0047327527
23,0.005627603
24,0.0058898185
25,0.004668298
26,0.0037123805
27,0.0026702117
28,0.0028013804
29,0.0016375851
30,0.002659071
31,0.004723033
32,0.008083084
33,0.010530994
34,0.0095742885
35,0.0062685125
36,0.0034858487
37,0.0028163732
38,0.0028784866
39,0.0024719357
40,0.0022752103
41,0.0012254384
42,0.0020214585
43,0.001932693
44,0.0016319237
45,0.0025274607
46,0.0037410648
47,0.004578584
48,0.0053528836
49,0.0046314574
50,0.0026948939
51,0.00261165
52,0.0023698944
53,0.0021147465
54,0.001578787
55,0.0019723424
56,0.002128437
57,0.0014922831
58,0.0018779318
59,0.003406907
60,0.0029818052
61,0.006135129
62,0.0062498525
63,0.0026819247
64,0.0013995728
65,0.003312493
66,0.0041825296
67,0.0026380832
68,0.0016402488
69,0.0023897914
70,0.0029319217
71,0.0024069017
72,0.001775929
73,0.0015708959
74,0.0011079183
75,0.00073902804
76,0.0010986594
77,0.0020292469
78,0.0031103424
79,0.0029489854
80,0.0019481416
81,0.0015861436
82,0.0018561864
83,0.0025040226
84,0.00315094
85,0.0029773412
86,0.0036777323
87,0.003389727
88,0.001842558
89,0.0013182084
90,0.0018139677
91,0.0032491996
92,0.003913775
93,0.003461358
94,0.00316664
95,0.0025544234
96,0.0019645654
97,0.0015659414
98,0.0016347213
99,0.0016407811
100,0.0014622188
101,0.0017125909
102,0.0018493533
103,0.0021303368
104,0.0017451312
105,0.0012276452
106,0.0021743642
107,0.0038038327
108,0.0042293346
109,0.0029849464
110,0.0019311865
111,0.0019200019
112,0.0020982223
113,0.0031836887
114,0.0045932755
115,0.0042164815
116,0.0025788934
117,0.0019341832
118,0.0015864371
119,0.0018667243
120,0.0032021196
121,0.0044054454
122,0.0044211405
123,0.0030235706
124,0.0014035805
125,0.0017671232
126,0.0034373873
127,0.004172874
128,0.0046396316
129,0.0055602742
130,0.0058797393
131,0.0048383716
132,0.003422028
133,0.003864068
134,0.004063424
135,0.003410203
136,0.0036321366
137,0.003507962
138,0.0021418906
139,0.0013353184
140,0.0010661515
141,0.0017390334
142,0.002081175
143,0.002430486
144,0.0025825247
145,0.0017633477
146,0.0014171792
147,0.0009183522
148,0.00089090946
149,0.002222355
150,0.0029502385
151,0.003722652
152,0.0032961634
153,0.0020099364
154,0.0020730062
155,0.002197888
156,0.002405438
157,0.0038453662
158,0.0054514892
159,0.0067654666
160,0.0044557103
161,0.0019343788
162,0.0028564518
163,0.0027025938
164,0.0030258703
165,0.004164203
166,0.004267397
167,0.0036839708
168,0.003494371
169,0.0030930303
170,0.0033254183
171,0.004773746
172,0.0038681407
173,0.0042933295
174,0.0042832782
175,0.0022327942
176,0.003323186
177,0.002476429
178,0.001265629
179,0.002542558
180,0.0024091376
181,0.0012962788
182,0.0015400609
183,0.0018233135
184,0.003743748
185,0.003944825
186,0.0015777913
187,0.0017373088
188,0.0015801138
189,0.0011265958
190,0.002879063
191,0.0027621463
192,0.0009884116
193,0.0020199749
194,0.0033386687
195,0.003828626
196,0.004140857
197,0.004398119
198,0.004299805
199,0.0037829797
200,0.0038439052
201,0.004272345
202,0.005039254
203,0.0049661966
204,0.0043344763
205,0.0023827052
