,std_dev
0,0.0
1,0.0025737986
2,0.0024535828
3,0.0027999983
4,0.0022517962
5,0.0025378605
6,0.00297149
7,0.002819647
8,0.0021454883
9,0.0023188214
10,0.0027955147
11,0.0041542877
12,0.005686438
13,0.0057256003
14,0.004800896
15,0.0039778347
16,0.0043327305
17,0.0050729853
18,0.0042251903
19,0.004438026
20,0.0050491723
21,0.004040519
22,0.003473956
23,0.0043395297
24,0.0042875228
25,0.004806343
26,0.005597839
27,0.005393782
28,0.004746704
29,0.0037477415
30,0.0032674926
31,0.0028251638
32,0.0028834266
33,0.001820582
34,0.0014256357
35,0.0019076843
36,0.0028554327
37,0.0049094013
38,0.0072995406
39,0.0067023784
40,0.004356117
41,0.0037846565
42,0.0037986953
43,0.0031510415
44,0.0026309467
45,0.002474395
46,0.0034011016
47,0.006330099
48,0.0065770335
49,0.0059168106
50,0.0052764253
51,0.0030994222
52,0.0014984139
53,0.0012014055
54,0.0028499747
55,0.0048251683
56,0.0073358524
57,0.0064509497
58,0.0054266825
59,0.0055355765
60,0.005095402
61,0.004042384
62,0.0044197114
63,0.0041742134
64,0.0051484
65,0.008247813
66,0.011824309
67,0.015152296
68,0.016661964
69,0.013891137
70,0.009882225
71,0.007921402
72,0.012810882
73,0.013461409
74,0.0052940026
75,0.0011566525
76,0.0020540506
77,0.0023601602
78,0.0030349458
79,0.0035490382
80,0.0037456055
81,0.0034990902
82,0.0025631133
83,0.0025576572
84,0.002405668
85,0.002607501
86,0.0036224925
87,0.004297029
88,0.003960905
89,0.0030437459
90,0.0024026174
91,0.0021094827
92,0.0023277907
93,0.0027798126
94,0.0031969803
95,0.0030833422
96,0.002668042
97,0.0029756692
98,0.002889124
99,0.0034738386
100,0.0039206105
101,0.0034428355
102,0.0026217047
103,0.001901021
104,0.002572249
105,0.0025245573
106,0.0023246002
107,0.0028276043
108,0.0028902218
109,0.0019459294
110,0.0013723794
111,0.0016999517
112,0.0017943843
113,0.0015602811
114,0.0017576774
115,0.002299095
116,0.0019910673
117,0.0019089197
118,0.0021400827
119,0.0014622984
120,0.0013677485
121,0.0016243266
122,0.0016389531
123,0.001972726
124,0.002163764
125,0.0020581838
126,0.002107067
127,0.0019657058
128,0.0018041219
129,0.0025394768
130,0.0038300091
131,0.0066295136
132,0.008799467
133,0.009360052
134,0.008062336
135,0.005728695
136,0.0024455988
137,0.00072903646
138,0.0007311492
139,0.0013732486
140,0.0013870399
141,0.0013807729
142,0.0009129169
143,0.00072342594
144,0.0008604658
145,0.0012093975
146,0.0018196546
147,0.0026487848
148,0.0046317903
149,0.0050921794
150,0.0037581797
151,0.0032071057
152,0.002552121
153,0.0020914285
154,0.0019545848
155,0.0014774456
156,0.0017110098
157,0.0035621102
158,0.0045921095
159,0.0045169755
160,0.005998291
161,0.0064236284
162,0.0071039703
163,0.0088504
164,0.01019832
165,0.010461875
166,0.007917076
167,0.0062831664
168,0.0059325397
169,0.0042247423
170,0.0027747091
171,0.0015099264
172,0.0012284984
173,0.0012436147
174,0.0015595536
175,0.0019505604
176,0.0019214567
177,0.0017106355
178,0.001215255
179,0.0010605956
180,0.001573432
181,0.002943246
182,0.003575745
183,0.0028814678
184,0.0023580878
185,0.0014772486
186,0.0006077233
187,0.00044026301
188,0.0015077274
189,0.0020206233
190,0.0023073843
191,0.0026420406
192,0.0026328375
193,0.0026921278
194,0.0030960024
195,0.0036366452
196,0.003885145
197,0.0034071717
198,0.0022743787
199,0.001958155
200,0.002545704
201,0.002982215
202,0.0033388343
203,0.00298899
204,0.0033963919
205,0.0041013868
206,0.004328987
207,0.004456533
208,0.0040337425
209,0.003949043
210,0.0041389097
211,0.0029533445
212,0.0016502611
213,0.001013102
214,0.0006874927
215,0.0007688295
216,0.0010381865
217,0.00096724957
218,0.0023965286
219,0.0034683465
220,0.0035141956
221,0.0038330627
222,0.0047221393
223,0.005000421
224,0.004778718
225,0.0057974462
226,0.006085512
227,0.00603973
228,0.006749147
229,0.0065955045
230,0.006641641
231,0.0066306638
232,0.006827767
233,0.0067346985
234,0.0054730843
235,0.00507388
236,0.004678953
237,0.0043530827
238,0.004291187
239,0.0046021254
240,0.0043151965
241,0.0037483394
242,0.0030745987
243,0.0025851943
244,0.0021757022
245,0.0027752966
246,0.0039230376
247,0.0035733187
248,0.002620572
249,0.001637443
250,0.0012794883
251,0.001978339
252,0.006558551
253,0.008468917
254,0.006956527
255,0.0061905896
256,0.0050424817
257,0.0047959955
258,0.0032466548
259,0.0027106907
260,0.0035368889
261,0.0039899033
262,0.0026882873
263,0.0008886525
264,0.0016717081
265,0.0017187656
266,0.0021968947
267,0.0017236861
268,0.0008185526
