,std_dev
0,0.0
1,0.016253615
2,0.015632443
3,0.010255132
4,0.007934035
5,0.009811905
6,0.01325958
7,0.013532182
8,0.010460173
9,0.0058322567
10,0.0037126
11,0.0042035817
12,0.0046014925
13,0.0045334655
14,0.0036720142
15,0.002817179
16,0.0015752622
17,0.0017330317
18,0.0014878102
19,0.001743012
20,0.0067797033
21,0.009303921
22,0.0059597827
23,0.0064382236
24,0.00905377
25,0.009746607
26,0.008310537
27,0.0074050142
28,0.008122091
29,0.008447084
30,0.0079654865
31,0.0064505525
32,0.004844473
33,0.0045450963
34,0.004158069
35,0.002802149
36,0.0034002543
37,0.0043235044
38,0.0033719852
39,0.00234968
40,0.0034749024
41,0.0037437945
42,0.0033688333
43,0.0037643698
44,0.0029819224
45,0.0011950418
46,0.0012501037
47,0.0022792872
48,0.0038072895
49,0.0037824796
50,0.0038826272
51,0.0056870165
52,0.00499529
53,0.0032593412
54,0.0023831937
55,0.0023221076
56,0.0032330183
57,0.0043675867
58,0.004284474
59,0.0038889337
60,0.0037112595
61,0.0028451197
62,0.002975415
63,0.0031333228
64,0.0053444384
65,0.007514977
66,0.006506205
67,0.0037111887
68,0.002789689
69,0.0018257382
70,0.0019948203
71,0.0029499722
72,0.0040327394
73,0.0042869393
74,0.0035663808
75,0.0035603042
76,0.0032121653
77,0.0016573356
78,0.0018245581
79,0.0039145635
80,0.004988323
81,0.0048078746
82,0.0040752254
83,0.0031567167
84,0.0021012577
85,0.0027088327
86,0.004906353
87,0.005111677
88,0.0038801003
89,0.003920655
90,0.004259273
91,0.0036274462
92,0.0046140114
93,0.005262524
94,0.003310454
95,0.0015514145
96,0.002075602
97,0.0022088778
98,0.0018978952
99,0.001883549
100,0.0030493059
101,0.0041230153
102,0.004444553
103,0.004058637
104,0.0036472497
105,0.004884386
106,0.0055686426
107,0.0039410456
108,0.0027209462
109,0.0052039237
110,0.007514636
111,0.010548832
112,0.010336132
113,0.005599154
114,0.0025599434
115,0.0014466709
116,0.0032850811
117,0.008247753
118,0.0077952105
119,0.0019014803
120,0.0033543836
121,0.0050193183
122,0.0048558684
123,0.0044820146
124,0.0044566374
125,0.0045402525
126,0.00418671
127,0.003991683
128,0.003919148
129,0.004684821
130,0.0067302333
131,0.0073351264
132,0.006806147
133,0.007382802
134,0.008317219
135,0.008879556
136,0.009877918
137,0.010185453
138,0.010014233
139,0.00878082
140,0.0071129734
141,0.0063609937
142,0.005923501
143,0.0054945997
144,0.0048919413
145,0.004567096
146,0.007653857
147,0.0115174595
148,0.010187439
149,0.00826623
150,0.008964552
151,0.010032912
152,0.008928599
153,0.0048456565
154,0.0018666309
155,0.0038145448
156,0.005408272
157,0.0062447563
158,0.006872899
159,0.0060629016
160,0.005170726
161,0.008543944
162,0.009668954
163,0.0044587594
164,0.0024100072
165,0.0027627363
166,0.0044077504
167,0.005650647
168,0.0064887586
169,0.005191757
170,0.004023289
171,0.0026376417
172,0.0014498258
173,0.0019408975
174,0.002760692
175,0.00290215
176,0.0028781632
177,0.0041602594
178,0.0038142242
179,0.003925596
180,0.0042377287
181,0.0038992923
182,0.00441931
183,0.00508602
184,0.004799629
185,0.0037057893
186,0.0031197695
187,0.0027481287
188,0.0031148493
189,0.0029825761
190,0.0022681768
191,0.0017866147
192,0.002117401
193,0.004872442
194,0.0064784703
195,0.0062927753
196,0.0057447315
197,0.0052303826
198,0.0045894915
199,0.0061146966
200,0.0063426844
201,0.0056621367
202,0.0059541888
203,0.005186204
204,0.00417376
205,0.0073910565
206,0.009512007
207,0.0057719736
208,0.0023895113
209,0.003949352
210,0.004851473
211,0.004924962
212,0.005655934
213,0.0055359867
214,0.0060325745
215,0.00464518
216,0.0041358145
217,0.006502975
218,0.0069895247
219,0.0054544304
220,0.0022420557
221,0.0010053735
222,0.0017835005
223,0.0025000095
224,0.0027113133
225,0.0029773118
226,0.004129892
227,0.005772216
228,0.0064392495
229,0.0050671934
230,0.0036165423
231,0.0034793972
232,0.0044534756
233,0.0044311876
234,0.0039825146
235,0.0037482309
236,0.0039521735
237,0.0038375931
238,0.003437184
239,0.0026890126
240,0.0026048098
241,0.002224685
242,0.0018346433
