,std_dev
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.002028745
336,0.0016912494
337,0.0013095251
338,0.0013373656
339,0.0019077454
340,0.0025607503
341,0.0034896955
342,0.0025684445
343,0.0009434264
344,0.00135966
345,0.00162352
346,0.0020251265
347,0.0027483192
348,0.001887408
349,0.00095391844
350,0.0026680965
351,0.003892068
352,0.0033486004
353,0.0015125263
354,0.0005128747
355,0.000525709
356,0.0009159405
357,0.001884028
358,0.0026641777
359,0.002094293
360,0.0012189853
361,0.0015226903
362,0.0016713076
363,0.0017036628
364,0.0015497252
365,0.0014933943
366,0.0011338574
367,0.0016412777
368,0.0020194994
369,0.0022257182
370,0.001726318
371,0.001267605
372,0.0009892063
373,0.0011246566
374,0.0008806582
375,0.0013760221
376,0.0014951861
377,0.001970246
378,0.0029723127
379,0.0024988684
380,0.0018949948
381,0.0012590351
382,0.0019165276
383,0.0019234549
384,0.0020388048
385,0.0024713823
386,0.0027375284
387,0.0032432016
388,0.0041798986
389,0.0049351803
390,0.004442254
391,0.0033265473
392,0.0024774866
393,0.0020288166
394,0.00190197
395,0.0019818519
396,0.0016746825
397,0.0020210408
398,0.0022306163
399,0.002375022
400,0.0021192282
401,0.002103362
402,0.0024160137
403,0.0022492097
404,0.001046813
405,0.0014265132
406,0.0017114009
407,0.0016435635
408,0.0027382618
409,0.00393096
410,0.005035042
411,0.0052176192
412,0.004623816
413,0.004893577
414,0.0051055187
415,0.004952006
416,0.0043432503
417,0.00355592
418,0.00285122
419,0.0037286435
420,0.0045191846
421,0.004026376
422,0.0040430822
423,0.0055281688
424,0.005679806
425,0.0050512296
426,0.005426334
427,0.00459358
428,0.00612012
429,0.007461891
430,0.006904505
431,0.010113067
432,0.012844214
433,0.014180151
434,0.011549724
435,0.007350568
436,0.004382508
437,0.0046312623
438,0.004997696
439,0.00632986
440,0.008520425
441,0.0076912246
442,0.007760816
443,0.0073842607
444,0.004183226
445,0.006171034
446,0.0060455957
447,0.0063698776
448,0.008490492
449,0.0097051235
450,0.007956965
451,0.0077378647
452,0.007788364
453,0.00811226
454,0.007969453
455,0.007061762
456,0.0046293894
457,0.002521108
458,0.00431405
459,0.0061001293
460,0.010242439
461,0.015288764
462,0.0131520275
463,0.009280634
464,0.001952499
465,0.0034324136
466,0.006464335
467,0.0052126246
468,0.0032144387
469,0.0034945041
470,0.0037867015
471,0.004550184
472,0.0029288528
473,0.0011378034
474,0.001273012
475,0.001887778
476,0.0020629438
477,0.0048333886
478,0.0054125753
479,0.0037481221
480,0.0033945749
481,0.003824983
482,0.00534214
483,0.0071958783
484,0.008463599
485,0.0059557823
486,0.0029895937
487,0.0091450475
488,0.014641931
489,0.014372996
490,0.013228417
491,0.0054335217
492,0.0043371483
493,0.0048592836
494,0.0055186157
495,0.0051842676
496,0.0049664546
497,0.004378774
498,0.0050259065
499,0.0048603914
