,RMSE,MAE,R2
0,0.043903535721038965,0.03370857336262723,0.44152776950154826
1,0.046987091026380115,0.03487821734953489,0.4575304018533944
2,0.044802760023408036,0.03419298295893188,0.4160850940644175
3,0.04513220417942178,0.03430211944630801,0.45841261087220225
4,0.046538877805362255,0.03472739005109547,0.41196896785205106
5,0.044506351715629076,0.034224759766927376,0.46489601376139916
6,0.04494177216920197,0.03424921146720689,0.4536440836049609
7,0.04732598033411146,0.03573314463942549,0.41789308644263595
8,0.04653351397226304,0.03510357070100179,0.4327833025297705
9,0.04351921962453852,0.033286225157344446,0.47917975793767453
10,0.04549259044518159,0.03474268822449175,0.46393760671168516
11,0.046769337324074366,0.03525641568266398,0.436281423665318
12,0.04385425515834062,0.03388939774880721,0.44998776663403117
13,0.04605971231833787,0.034775808157007676,0.42690597840138167
14,0.045442413954761784,0.03458945352632597,0.4502485331088579
15,0.04466079356448749,0.033670833950192165,0.46587183733795845
16,0.04459742795180942,0.03417779518039842,0.44058436011126884
17,0.04613746137729002,0.03504377504416482,0.44404531819509335
18,0.04444520792619251,0.03337391370611059,0.4475785392721293
19,0.044898189018116624,0.03359815551929465,0.45444977529199876
20,0.0455653046581648,0.034581094999312875,0.4538102092480125
21,0.0457220138243887,0.034078702135591964,0.46873687689844407
22,0.04608421256476767,0.034567607748068864,0.4169677081355581
23,0.04486534516559732,0.03399518079146935,0.4404583540187005
24,0.045187530173865155,0.03428612812712205,0.4634237873695438
25,0.043950780206615844,0.03367254174180183,0.4654309413341359
26,0.043800264814218295,0.03339720493543331,0.46613350693933614
27,0.0460155424561442,0.034609517026607285,0.46596573492627835
28,0.04408984327979676,0.03423652053641718,0.48891932477755456
29,0.04585108815593313,0.03443303393022709,0.44012797213821875
30,0.044731101824909164,0.03366193145961814,0.45919027114150185
31,0.04605487292983138,0.0351329213829537,0.44613426014608054
32,0.047153501265020235,0.03498939644251179,0.4320168445726397
33,0.04531692660273858,0.03460798786324906,0.4485475012670303
34,0.044372273608139876,0.03366326985542044,0.4588386617856936
35,0.04546548657116933,0.034604418423898005,0.4281276521461429
36,0.04414879495069857,0.03375835463293445,0.46533938829673943
37,0.04464042298213425,0.03416853161027364,0.4307995973758232
38,0.04548669332809812,0.03454352551082607,0.4483463404809781
39,0.04637622024714758,0.03446639001942841,0.4644530150544896
40,0.04762414881237164,0.03525315997369015,0.4390770719385821
41,0.04636705378112348,0.03489854560647906,0.44138283305461445
42,0.046320903047546505,0.0350217931391057,0.43794739215366024
43,0.04502377049979849,0.03460497350383119,0.4556508177094943
44,0.04582377925423269,0.034518374761723286,0.4641719735642382
45,0.04591545603683493,0.03479196724214436,0.4749884147416202
46,0.04545304945150386,0.03390635794112234,0.45454434717783376
47,0.04465090506587873,0.03402278275150312,0.4703609907009636
48,0.04393463875366413,0.03321511506493326,0.4676245957572559
49,0.04577888101646688,0.03404786300858742,0.4481973635682109
50,0.044555367263387,0.034388936608380646,0.4441430278508906
51,0.046930601108181556,0.03559812906409956,0.4206429366166252
52,0.04572555619108995,0.03517818226701105,0.43164419900352424
53,0.04463240584805132,0.03360170250093289,0.48327789547624755
54,0.04528715076784266,0.0346613749487903,0.4475921338715728
55,0.04560842099955481,0.03442390802705989,0.4565066800783245
56,0.044134367929863964,0.03374799455604226,0.460194940111358
57,0.044423635474403644,0.033397668050821824,0.4477293726106704
58,0.04709994715971901,0.034911958778703844,0.44085341101778674
59,0.04496953578685822,0.033765355730161734,0.450150854347466
60,0.04491546330010973,0.03438416177596371,0.46639753413303897
61,0.04391564061367707,0.03361810861174213,0.44451955818784883
62,0.04477334617007372,0.033477675944378095,0.47161470320906446
63,0.046425042901900464,0.03472434654182503,0.43913374929872967
64,0.04491558113693336,0.034953428585028416,0.46225545072168017
65,0.045124347491212885,0.033956042771570154,0.4632550589925186
66,0.046040414804696714,0.0348550161947104,0.45495306872832186
67,0.04680510528761077,0.0350482072586959,0.4771181647249346
68,0.045835998978675484,0.034547711160275836,0.4262468642445284
69,0.047747845553959334,0.036014982066435726,0.4200535627088056
70,0.04527715110598326,0.03424294530055587,0.4476753798965587
71,0.04698642994789544,0.03597013577782077,0.4317629929251665
72,0.046164302932326866,0.0348776360055827,0.44088240151048763
73,0.04481840975511829,0.03428795323381878,0.4532787002387061
74,0.04487879030474723,0.03356234510031982,0.4690575183589007
75,0.043831427644781276,0.033208316547428667,0.46947167757350805
76,0.04461308934966263,0.0346330710458028,0.4242075795524676
77,0.04674646892124541,0.035342120672368534,0.43969647499923575
78,0.04627535369797489,0.03474317542372681,0.4194192001305232
79,0.045070266641534726,0.034186595660739394,0.46034797389378734
80,0.044320812161721415,0.03363065379646099,0.4572215221174404
81,0.04620379579700511,0.034527905422210355,0.4470616066350159
82,0.04461874977721746,0.03383521671788427,0.45267667357369246
83,0.04613006861596614,0.03496970041705752,0.4320705145195697
84,0.046957003650553296,0.03533145544783387,0.4408011819165851
85,0.04535501625088266,0.03407467154029933,0.44661937666458246
86,0.04691966984749592,0.03513925679678882,0.43882239209102886
87,0.045157053853309724,0.033977718518049,0.4676367874032522
88,0.04412736458563331,0.034038219107378566,0.4748017441050719
89,0.04587089606382027,0.034485920134968755,0.42879154206262815
90,0.04628888177250546,0.03506592171501468,0.41617961724675534
91,0.044610252825183966,0.034240186805446354,0.43082843253370096
92,0.04496223460369418,0.034469896685989154,0.4520161153012601
93,0.04502377533855085,0.03427230153174163,0.4397208399977638
94,0.04468956342671392,0.034478215013892456,0.464744801989647
95,0.04502024884187707,0.034633021542637726,0.4673478771829816
96,0.04704283833000438,0.0359400817048879,0.43504312607664614
97,0.04490372157292294,0.03455303811627647,0.4501698104702851
98,0.04539057679880793,0.034020920664526375,0.4092711371806522
99,0.04458223305681673,0.0339833797184895,0.47325564759538136
100,0.04483630015467041,0.03429980011099747,0.4466421363374289
101,0.04401364522312855,0.03339339853653739,0.45152848550494
102,0.04380706714083257,0.033704681523207755,0.4586811425165536
103,0.04665480748263267,0.035462063771386276,0.42919688667126926
104,0.04592143889548734,0.034339571640694344,0.44159933515494143
