OID_,LABEL,CLASS_1,CLASS_2,CLASS_3,CLASS_4,CLASS_5,CLASS_6,CLASS_7,CLASS_8,CLASS_9,CLASS_10,CLASS_11,CLASS_12,CLASS_13,CLASS_14,CLASS_15,CLASS_16,CLASS_17,CLASS_18,CLASS_19,CLASS_20,CLASS_21,CLASS_22,CLASS_23,CLASS_24,CLASS_25,CLASS_26,CLASS_27,CLASS_28
155,OBJEC_174,391,2868,3971,32065,29385,19827,11442,5708,2880,1480,697,383,452,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,OBJEC_175,614,4308,5365,38032,30128,17540,8595,3601,1683,746,323,145,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,OBJEC_176,404,3056,3887,28611,26006,18222,11750,6561,4132,2422,1596,1003,3342,206,16,8,0,0,0,0,0,0,0,0,0,0,0,0
158,OBJEC_177,176,1249,1801,19304,21994,18666,14467,10118,6953,4866,3349,2328,5035,453,93,30,7,0,0,0,0,0,0,0,0,0,0,0
159,OBJEC_178,95,586,843,9583,13168,13694,12554,10526,8427,7110,5617,4606,17714,3853,1409,534,337,197,101,87,69,88,22,2,0,0,0,0
160,OBJEC_179,103,850,1396,14118,17510,16884,14892,11212,8894,6602,4843,3430,9007,834,188,67,34,13,5,6,1,0,0,0,0,0,0,0
161,OBJEC_180,4018,17828,14660,50456,14671,5163,2237,881,473,265,115,75,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,OBJEC_181,1726,9289,8980,40041,16666,8050,5153,3677,3189,2593,2173,1751,6791,680,108,14,3,3,2,0,0,0,0,0,0,0,0,0
163,OBJEC_182,241,1877,2589,22270,23191,17712,12889,8479,5890,4022,2866,2024,5808,987,220,78,38,18,16,7,0,0,0,0,0,0,0,0
164,OBJEC_183,397,2560,3138,25446,24258,18634,12932,7899,5098,3173,2106,1548,3663,319,38,7,6,0,0,0,0,0,0,0,0,0,0,0
165,OBJEC_184,545,3816,4775,32162,24995,15548,9825,6133,3913,2540,1707,1136,2982,657,244,160,45,27,9,3,0,0,0,0,0,0,0,0
166,OBJEC_185,72,675,995,10199,14033,14478,13424,11538,9733,8164,6082,4729,14736,1683,439,141,68,23,9,1,0,0,0,0,0,0,0,0
167,OBJEC_186,358,1055,1109,9581,12485,13765,12714,10852,9373,7898,6261,4774,16241,2767,916,357,182,93,47,34,18,9,0,0,0,0,0,0
168,OBJEC_187,2330,11898,11230,52083,21251,7861,2910,841,319,100,39,18,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,OBJEC_188,1559,9165,10080,54344,24782,8435,2323,624,190,41,7,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,OBJEC_189,108,992,1566,14474,17556,17060,15253,11562,8920,6306,4547,3219,8224,672,235,80,64,33,14,4,0,0,0,0,0,0,0,0
171,OBJEC_190,584,4096,5142,35121,27192,16854,9812,5127,2925,1751,976,576,999,57,10,0,0,0,0,0,0,0,0,0,0,0,0,0
172,OBJEC_191,596,3614,4461,33611,31239,19244,9904,4237,2246,997,428,252,385,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,OBJEC_192,432,3330,4207,31326,27087,17841,10172,5531,3403,2155,1401,978,2586,251,104,48,22,10,5,0,0,0,0,0,0,0,0,0
174,OBJEC_193,916,5569,6110,38801,26463,14850,9244,4656,2454,1180,588,318,369,25,8,5,0,0,0,0,0,0,0,0,0,0,0,0
175,OBJEC_194,944,5459,6322,39426,26824,14843,7644,4065,2253,1365,769,491,786,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0
176,OBJEC_195,419,3327,4318,32839,26920,17580,10383,5597,3291,1992,1172,755,1971,219,69,15,9,7,4,2,0,0,0,0,0,0,0,0
177,OBJEC_196,87,641,1046,11638,16465,16672,14814,11876,9393,7177,5584,4136,11004,897,101,16,9,0,0,0,0,0,0,0,0,0,0,0
178,OBJEC_197,357,2177,2551,20839,21239,16891,13102,8265,5818,4097,2962,2236,7559,1663,610,235,114,56,31,19,12,45,11,0,0,0,0,0
179,OBJEC_198,453,3369,4259,31969,25679,16771,10600,6246,4148,2628,1736,1043,2134,156,31,0,0,0,0,0,0,0,0,0,0,0,0,0
180,OBJEC_199,453,2964,3636,27948,24605,16827,10675,6049,3903,2631,1910,1447,5585,1364,422,202,116,55,42,19,20,16,0,0,0,0,0,0
181,OBJEC_201,581,4009,4817,34398,27126,16661,9516,5298,3096,1805,1185,734,1576,80,7,0,0,0,0,0,0,0,0,0,0,0,0,0
182,OBJEC_202,572,4052,5005,35189,27930,16346,8874,4575,2619,1684,1004,619,1953,328,101,34,4,0,0,0,0,0,0,0,0,0,0,0
183,OBJEC_203,61,521,917,11278,16186,16659,14744,11564,9436,7079,5283,3961,10916,1390,419,170,95,57,47,22,17,56,11,0,0,0,0,0
184,OBJEC_204,541,3255,4106,28738,23655,15784,10272,6692,4609,3115,2040,1536,4532,861,329,192,160,121,98,90,69,94,0,0,0,0,0,0
185,OBJEC_205,1805,9465,9785,47082,22894,11031,5345,2236,909,353,167,76,73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
