,std_dev
0,0.0
1,0.002274481
2,0.002994807
3,0.0036178457
4,0.004542598
5,0.0058914144
6,0.0066417637
7,0.0065977457
8,0.0063543697
9,0.0068320027
10,0.007611777
11,0.007895126
12,0.009441726
13,0.010364262
14,0.010748856
15,0.009273999
16,0.006962524
17,0.004734142
18,0.0029939031
19,0.0027147033
20,0.0031760556
21,0.0033231596
22,0.003368462
23,0.0035863349
24,0.004144686
25,0.0059729973
26,0.007524258
27,0.00777047
28,0.009601529
29,0.011061127
30,0.010299697
31,0.008336872
32,0.0063880906
33,0.0049266987
34,0.004548386
35,0.004467074
36,0.0054675248
37,0.005864752
38,0.0062278155
39,0.0062066144
40,0.0057242326
41,0.0059173075
42,0.0052643707
43,0.005360745
44,0.0052944096
45,0.006004106
46,0.007082121
47,0.008200088
48,0.007957436
49,0.0075065256
50,0.0068901037
51,0.0053679394
52,0.0035906334
53,0.0021039292
54,0.00158039
55,0.0019348301
56,0.002747832
57,0.0034429454
58,0.0025399239
59,0.0016984101
60,0.0019009444
61,0.0018633069
62,0.0019343788
63,0.0018675505
64,0.0016617725
65,0.0019590466
66,0.002371932
67,0.0029279485
68,0.002314965
69,0.001235114
70,0.0012304158
71,0.0018365618
72,0.0031683948
73,0.0045702364
74,0.004699057
75,0.0037152409
76,0.002526954
77,0.0024098381
78,0.0027002883
79,0.0031756249
80,0.003677487
81,0.003403283
82,0.0020792026
83,0.0010099083
84,0.0011734643
85,0.0010154262
86,0.0009874394
87,0.0014562154
88,0.0012137453
89,0.0011596931
90,0.0015466046
91,0.0018568762
92,0.0029341346
93,0.0034720283
94,0.003531841
95,0.0029891457
96,0.0020261465
97,0.0013145383
98,0.0017591174
99,0.0015263938
100,0.001238385
101,0.000722218
102,0.00066760473
103,0.00082616165
104,0.0011754964
105,0.0013033543
106,0.0011949932
107,0.0012168825
108,0.0013744773
109,0.0011782908
110,0.0014614025
111,0.001545023
112,0.0016032805
113,0.0018342308
114,0.0015354808
115,0.0015878858
116,0.0017613164
117,0.0018432213
118,0.0023208663
119,0.0030878978
120,0.003141069
121,0.0030124132
122,0.0027520866
123,0.0026577136
124,0.002764853
125,0.0025099202
126,0.0019648618
127,0.0012930867
128,0.0009630883
129,0.00084785884
130,0.0013834472
131,0.0019512018
132,0.001969123
133,0.0020235162
134,0.002074508
135,0.0017465982
136,0.0015501758
137,0.0014274514
138,0.0013829211
139,0.0012472135
140,0.0007244712
141,0.00052902027
142,0.0005251551
143,0.000767238
144,0.0008296769
145,0.00092652394
146,0.0008434536
147,0.0006837998
148,0.00061173283
149,0.0007584631
150,0.00081180484
151,0.0011279125
152,0.0014172614
153,0.0021919876
154,0.0025505237
155,0.0027394309
156,0.0020517397
157,0.0019241055
158,0.002113907
159,0.0022025178
160,0.0025308325
161,0.0028391497
162,0.002695855
163,0.0025354512
164,0.0024787197
165,0.0024583112
166,0.0027005794
167,0.0029332319
168,0.0033682631
169,0.0035837127
170,0.0035210627
171,0.0034167338
172,0.0025329934
173,0.0026253434
174,0.00276065
175,0.0024684009
176,0.0015062983
177,0.0014425811
178,0.0016245595
179,0.0026842786
180,0.002287521
181,0.0023685675
182,0.0019985372
183,0.0014592302
184,0.0013134751
185,0.0012789879
186,0.001565049
187,0.0018021205
188,0.0030620592
189,0.0031781718
190,0.0020300355
191,0.0018694819
192,0.0015995913
193,0.0012278111
194,0.0010750139
195,0.0012382439
196,0.0019521413
197,0.0045635896
198,0.0064657624
199,0.0045389063
200,0.0019954331
201,0.0017929239
202,0.0018452097
203,0.0014274514
204,0.0011131859
205,0.0016415614
206,0.0025588402
207,0.00300602
208,0.0029143887
209,0.0019154188
210,0.0016408698
211,0.002136135
212,0.0024606187
213,0.0022997912
214,0.0023705452
215,0.0021094827
216,0.0018457144
217,0.0024496655
218,0.0021998999
219,0.0013622903
220,0.00120776
221,0.001042383
222,0.0010841528
223,0.0012531731
224,0.0016995237
225,0.001891736
226,0.0014168507
227,0.0011413279
228,0.0009475204
229,0.00070891815
230,0.0007358313
231,0.0014991324
232,0.0023340585
233,0.0016615273
234,0.00050313526
235,0.0014054455
236,0.0018924128
237,0.0026314224
238,0.0026901704
239,0.001847511
240,0.0013225066
241,0.0010396712
242,0.0012675591
243,0.0011697133
244,0.0013536748
245,0.0011494842
246,0.001002939
247,0.0011254068
248,0.0010616652
249,0.00063024525
250,0.00023895965
251,0.00052454515
252,0.00088263885
253,0.0010016613
254,0.0011898187
255,0.0015701546
256,0.001229493
257,0.0013966586
258,0.0012538696
259,0.0014887097
260,0.0017066838
261,0.0010365031
262,0.001025721
263,0.0013128546
264,0.0019631723
265,0.0031843653
266,0.0035590942
267,0.003016632
268,0.0030120362
269,0.0033491044
270,0.0032215836
271,0.0029923278
272,0.0021919743
273,0.0018253396
274,0.0015820465
275,0.0015774408
276,0.0013049834
277,0.0012402167
278,0.0014258806
279,0.0017775344
280,0.0020200901
281,0.0018477158
282,0.0016174857
283,0.0013119454
284,0.0016898721
285,0.001595693
286,0.0007048008
287,0.0006189221
288,0.0006729022
289,0.0009281873
290,0.0017174613
291,0.0021693925
292,0.0029273322
293,0.002723074
294,0.001692677
295,0.0008318839
296,0.0009998291
297,0.0013303836
298,0.0012802616
299,0.0015322742
300,0.0014345696
301,0.00059185614
302,0.0008123066
303,0.00095574727
304,0.0008218172
305,0.0012814885
306,0.0026182833
307,0.004484968
308,0.0034275432
309,0.0016062367
310,0.001415741
311,0.0014595692
312,0.0012086752
313,0.0017574125
314,0.00206651
315,0.0024251635
316,0.0021612742
317,0.0018479521
318,0.0019914766
319,0.0020066758
320,0.0025173186
321,0.0023617381
322,0.0016976045
323,0.0015697468
324,0.0014555157
325,0.0016019185
326,0.0019786183
327,0.0013306679
328,0.0013513508
329,0.0013329843
330,0.0011269058
331,0.0012697384
332,0.0
333,0.0
334,0.0017059504
335,0.0026827385
336,0.0048885015
337,0.006410344
338,0.006352221
339,0.0060954373
340,0.005160923
341,0.0058085704
342,0.0058861906
343,0.006718742
344,0.007414433
345,0.009939555
346,0.010274896
