,std_dev
0,0.0026772218
1,0.0025337632
2,0.0028932008
3,0.003190492
4,0.0027082523
5,0.0025627953
6,0.0023146507
7,0.0022289064
8,0.0018643687
9,0.0015908156
10,0.0021945883
11,0.0033136876
12,0.003177604
13,0.0025268504
14,0.0027816964
15,0.0023708765
16,0.0011110138
17,0.001319378
18,0.0014417537
19,0.0017347438
20,0.0022201538
21,0.0018897504
22,0.0016093864
23,0.0015579665
24,0.0012038015
25,0.0018391747
26,0.0026250773
27,0.0033754446
28,0.0027020015
29,0.00078889565
30,0.0006742417
31,0.0014466507
32,0.0018326434
33,0.0022468276
34,0.0027103042
35,0.0025597727
36,0.0015197439
37,0.0015336032
38,0.0017723693
39,0.0023931868
40,0.0027973985
41,0.0029467542
42,0.0024591517
43,0.0020531437
44,0.0018681581
45,0.0017065132
46,0.0025675718
47,0.0027941922
48,0.0021581075
49,0.0020966404
50,0.001865305
51,0.0019823217
52,0.0026227036
53,0.0017558053
54,0.00094284007
55,0.0010096488
56,0.0017236354
57,0.0018664437
58,0.0014131073
59,0.0016753254
60,0.0022490285
61,0.0035047664
62,0.0030914773
63,0.0012175759
64,0.0013247713
65,0.0021855119
66,0.0026635658
67,0.0020670732
68,0.0018582079
69,0.0024113473
70,0.0024437655
71,0.0015119874
72,0.000797007
73,0.0010796335
74,0.0012579481
75,0.0010427181
76,0.00075688824
77,0.00050968694
78,0.0006716034
79,0.0014607053
80,0.0013799295
81,0.00060901494
82,0.0010641023
83,0.001122403
84,0.0009438582
85,0.0008912687
86,0.0010722218
87,0.0013121672
88,0.0016722303
89,0.001498103
90,0.0008780767
91,0.0011698129
92,0.0017186301
93,0.0014783317
94,0.0010744452
95,0.0009672195
96,0.0014248393
97,0.0017586375
98,0.001686148
99,0.0013981581
100,0.0006645023
101,0.0009558995
102,0.0016456872
103,0.0021785363
104,0.0018966835
105,0.0012833041
106,0.00085632945
107,0.00077094644
108,0.0012432402
109,0.001602754
110,0.0013188706
111,0.0010891613
112,0.0014346914
113,0.0018605088
114,0.002039333
115,0.0029041548
116,0.0019925577
117,0.0011821376
118,0.0017687365
119,0.00170221
120,0.0019314276
121,0.0025293026
122,0.0026699393
123,0.0026602966
124,0.002312361
125,0.0015402688
126,0.0011757192
127,0.0028127437
128,0.0026858503
129,0.0012116574
130,0.0010974136
131,0.0012336521
132,0.0011684188
133,0.00092138955
134,0.0007458879
135,0.000777899
136,0.001214081
137,0.001374689
138,0.0019383167
139,0.0021473458
140,0.002173775
141,0.0020049347
142,0.0018085528
143,0.0019429508
144,0.0016727523
145,0.0017794162
146,0.0010433319
147,0.0008737239
148,0.0005264835
149,0.00054217037
150,0.0015444013
151,0.0014741522
152,0.001076583
153,0.0011504459
154,0.0010682787
155,0.0010492568
156,0.0008281672
157,0.0011918716
158,0.0025943755
159,0.0024877677
160,0.0010562786
161,0.00074806984
162,0.0011974261
163,0.0013756625
164,0.0015383024
165,0.0012763226
166,0.00080148596
167,0.00055253884
168,0.0011584376
169,0.001615343
170,0.0017847891
171,0.0015186137
172,0.0014060459
173,0.0014580529
174,0.0016472603
175,0.0015252302
176,0.0020050942
177,0.0029681188
178,0.0040981
179,0.0044841375
180,0.0052513685
181,0.005314069
182,0.0046947566
183,0.0034666092
184,0.0018814619
185,0.00074052304
186,0.0008035893
187,0.0011731667
188,0.0013891575
189,0.0015043649
190,0.0010986328
191,0.0010979173
192,0.00086800917
193,0.0008035893
194,0.0011136564
195,0.00087635143
196,0.0007341682
197,0.0005155913
198,0.00097393634
199,0.0014769727
200,0.0020097771
201,0.002318357
202,0.002252158
203,0.0016573883
204,0.0016807714
205,0.0015663874
206,0.0012982755
207,0.0012098305
208,0.0009143504
209,0.0016631555
210,0.0021671779
211,0.0016349171
212,0.0009920266
213,0.00059592363
214,0.00084472937
