,std_dev
0,0.0011936529
1,0.0009972643
2,0.0014531343
3,0.0016433334
4,0.001361863
5,0.0012912398
6,0.0017674526
7,0.0028007568
8,0.0041553946
9,0.003520385
10,0.002454081
11,0.0023223707
12,0.0015074379
13,0.0013654059
14,0.0015475076
15,0.0020436526
16,0.00189788
17,0.0019337619
18,0.0014938815
19,0.00071631034
20,0.0011991262
21,0.0019269169
22,0.0043571657
23,0.0044062976
24,0.0018915514
25,0.00094647554
26,0.0014495248
27,0.0017861421
28,0.0015587695
29,0.00165183
30,0.001727245
31,0.0026526714
32,0.0027932755
33,0.0024105264
34,0.0024079534
35,0.0024041915
36,0.0022967518
37,0.0019146133
38,0.0016725088
39,0.0020079082
40,0.0024103092
41,0.0026960708
42,0.0022989179
43,0.0018980486
44,0.0016349884
45,0.0011931895
46,0.0014039745
47,0.0015127572
48,0.001532654
49,0.0017957948
50,0.0014322753
51,0.0008359324
52,0.00071777153
53,0.0007957645
54,0.0011808567
55,0.0011449431
56,0.0011049986
57,0.0009834819
58,0.0010009928
59,0.00095449795
60,0.0009769796
61,0.0006535056
62,0.0007688295
63,0.0013936128
64,0.0018681581
65,0.002512771
66,0.0029956426
67,0.0022192097
68,0.0021114133
69,0.0018525138
70,0.0013827949
71,0.0011940916
72,0.0014163371
73,0.0017545783
74,0.0024140857
75,0.002693198
76,0.0019034842
77,0.0010952633
78,0.00085346977
79,0.00076438766
80,0.00080460275
81,0.00076556706
82,0.0006949453
83,0.0011447652
84,0.0011247342
85,0.0011031535
86,0.0009864663
87,0.0011121397
88,0.0011143618
89,0.0009841919
90,0.0012119936
91,0.0016054574
92,0.00137204
93,0.00091790844
94,0.00076438766
95,0.000825915
96,0.00081280805
97,0.00097339833
98,0.0011228696
99,0.0011579099
100,0.0009569341
101,0.0014631938
102,0.0015148527
103,0.0014850495
104,0.0018761175
105,0.0017808713
106,0.0019085231
107,0.0014690101
108,0.0010241591
109,0.0007953621
110,0.0007806627
111,0.000615338
112,0.00074643403
113,0.0009954826
114,0.0010389992
115,0.00067264267
116,0.00054830883
117,0.0005078564
118,0.00039341347
119,0.0009971475
120,0.0012720971
121,0.0011171529
122,0.0011943597
123,0.0011365494
124,0.0011012787
125,0.00089865073
126,0.0006538173
127,0.00070760323
128,0.00079323695
129,0.00080514513
130,0.0007988672
131,0.000946168
132,0.0010747161
133,0.0014305471
134,0.0015597588
135,0.00175159
136,0.0020785446
137,0.0019142028
138,0.0014133955
139,0.0011102277
140,0.0009680015
141,0.0008719233
142,0.0011406902
143,0.001244457
144,0.0012927491
145,0.0015792847
146,0.0013174133
147,0.0014950694
148,0.0017067691
149,0.0015809423
150,0.0011590655
151,0.00083860895
152,0.0008485451
153,0.00096541236
154,0.0012278348
155,0.001347555
156,0.0010573526
157,0.0007427207
158,0.00060815417
159,0.0007816686
160,0.0014740733
161,0.0015874275
162,0.0016505962
163,0.00106787
164,0.0011573568
165,0.001473856
166,0.002006255
167,0.0019291056
168,0.0015690977
169,0.0012024225
170,0.0012581332
171,0.0012381264
172,0.00096378307
173,0.0008236567
174,0.0008010138
175,0.0011207681
176,0.0016595293
177,0.00196865
178,0.002365986
179,0.0022657246
180,0.0015923883
181,0.000858061
182,0.00077320816
183,0.0007544233
184,0.0008129513
185,0.000918479
186,0.0012118735
187,0.0012247971
188,0.0010768533
189,0.0009121515
190,0.000613016
191,0.0006889305
192,0.0005075125
193,0.00079106924
194,0.0016047865
195,0.0020669887
196,0.0014317062
197,0.0009364907
198,0.0011688671
199,0.0012937618
200,0.0012876058
201,0.0013298803
202,0.0010374013
203,0.0016578623
204,0.0019634985
205,0.0017332165
206,0.001607233
207,0.0012012845
208,0.0008831004
209,0.0012642024
210,0.0012613215
211,0.0013054293
212,0.0010934017
213,0.00092164223
214,0.0009875867
215,0.0010782848
216,0.0012285932
217,0.0012342181
218,0.0012747026
219,0.0012390193
220,0.0011892804
221,0.0009090192
222,0.00075195025
223,0.0008641447
224,0.0009030445
225,0.00079165766
226,0.0007860498
227,0.0010227374
228,0.0007922457
229,0.00089933054
230,0.00072887674
231,0.0007000775
232,0.00078025245
233,0.0009027221
234,0.0012464899
235,0.0012599131
236,0.0012191285
237,0.0010031131
238,0.00090821844
239,0.0011580355
240,0.0011824823
241,0.00084286684
242,0.0010773396
243,0.0009778432
244,0.001151609
245,0.0017236522
246,0.0017994376
247,0.0016131434
248,0.0010531328
249,0.0007633971
250,0.0006827349
251,0.0007422503
252,0.00076423533
253,0.00085128454
254,0.0010449486
255,0.0013629951
256,0.0010082643
257,0.0006932261
258,0.00068397
259,0.0007563882
260,0.00070891815
261,0.0007894488
262,0.000728717
263,0.000807239
264,0.0007860498
265,0.0005922986
266,0.0008081398
267,0.0008353055
268,0.000648992
269,0.0006721232
270,0.00081538205
271,0.00089257397
272,0.0010155409
273,0.00091492315
274,0.001068088
275,0.0012174802
276,0.001277394
277,0.0011291247
278,0.0010899625
279,0.0010544861
280,0.0010861643
281,0.0010021551
282,0.00082911545
283,0.00082439836
284,0.0008869807
285,0.001152367
286,0.0016311567
287,0.0017675844
288,0.0019233339
289,0.0013247713
290,0.00067488884
291,0.0014156383
292,0.0014537951
293,0.0012122097
294,0.001119521
295,0.0013829633
296,0.0014670276
297,0.0013605374
298,0.0011449431
299,0.0015237984
300,0.003114195
301,0.0027946816
302,0.0013796131
303,0.0011327788
304,0.0011023353
305,0.0010389992
306,0.0009107785
307,0.00079737214
308,0.0009914398
309,0.0013908953
310,0.0017001228
311,0.0022645297
312,0.0015934297
313,0.0013783679
314,0.0019420219
315,0.0020158067
316,0.001485265
317,0.0014312183
318,0.001232094
319,0.0013901837
320,0.0012316924
321,0.0013479869
322,0.0010704016
323,0.0009030445
324,0.0009944295
325,0.00139123
326,0.0013650222
327,0.0008467253
328,0.0007167166
329,0.000600836
330,0.0006716034
331,0.0009451216
