,std_dev
0,0.0011191571
1,0.0007431124
2,0.000706986
3,0.0013861794
4,0.0017834352
5,0.0021055057
6,0.002744568
7,0.0032130894
8,0.0037405435
9,0.0035900902
10,0.0028590488
11,0.0023237863
12,0.0014816747
13,0.001030618
14,0.00059440767
15,0.0006987459
16,0.0009481345
17,0.0010111178
18,0.0008859301
19,0.0013958873
20,0.0014634524
21,0.0011928967
22,0.0012663417
23,0.0012865657
24,0.0009233774
25,0.0010806842
26,0.0014042646
27,0.0012332274
28,0.0012803297
29,0.0016275485
30,0.0018072488
31,0.0015697468
32,0.0015063756
33,0.0016585293
34,0.0016894932
35,0.0014187802
36,0.0008437641
37,0.00090796204
38,0.00084665656
39,0.00070776773
40,0.0003614111
41,0.0006698678
42,0.0013647237
43,0.0012587577
44,0.0016687459
45,0.0015933018
46,0.0006303838
47,0.0009057798
48,0.0009648394
49,0.001331761
50,0.0016355044
51,0.0015558354
52,0.0012967053
53,0.0011838598
54,0.0015677616
55,0.001718664
56,0.001961155
57,0.002036234
58,0.0018183585
59,0.0015918033
60,0.0011995146
61,0.00096592476
62,0.0007811844
63,0.00070471823
64,0.0009937853
65,0.0011459086
66,0.0010021551
67,0.0010098794
68,0.0015993911
69,0.0016470837
70,0.0015178852
71,0.0008460032
72,0.0009091793
73,0.0007324219
74,0.0013706393
75,0.0010796335
76,0.001062049
77,0.0011182465
78,0.0014532144
79,0.0015410621
80,0.0014625173
81,0.0021170299
82,0.0031741948
83,0.003392937
84,0.002119242
85,0.00082231284
86,0.0006479148
87,0.0010988183
88,0.0012867919
89,0.0013549856
90,0.0013972003
91,0.0012412488
92,0.0013188485
93,0.0013040017
94,0.001178439
95,0.00074071955
96,0.00095275836
97,0.0010421317
98,0.000920726
99,0.000772455
100,0.00075531006
101,0.0013520828
102,0.0017214727
103,0.0018479206
104,0.0012339824
105,0.0012161168
106,0.0016610193
107,0.0014867143
108,0.0008997188
109,0.00068333145
110,0.00073871296
111,0.0005532758
112,0.0006873657
113,0.000806698
114,0.0014679002
115,0.0027210426
116,0.0028372528
117,0.0030601197
118,0.003240293
119,0.0024978083
120,0.0015128725
121,0.0007640068
122,0.0008494021
123,0.00064795977
124,0.0008671706
125,0.0009016253
126,0.00119604
127,0.0017422102
128,0.0015620894
129,0.0014072459
130,0.0013738631
131,0.001075041
132,0.000831499
133,0.0007657951
134,0.0029637325
135,0.0032274323
136,0.0026545469
137,0.0032820676
138,0.0034028639
139,0.0027110665
140,0.0017269249
141,0.0010734968
142,0.0016365185
143,0.0020760086
144,0.0014687922
145,0.0011652012
146,0.0009917333
147,0.001132162
148,0.0014986858
149,0.0014465703
150,0.0010176881
151,0.0012786464
152,0.0012281666
153,0.0015352344
154,0.0019251489
155,0.0019910673
156,0.0024378153
157,0.002396541
158,0.0013562738
159,0.0017232301
160,0.0018659291
161,0.0012073502
162,0.0016846802
163,0.002763537
164,0.0031456708
165,0.0023193485
166,0.0015780495
167,0.0020428407
168,0.0029495382
169,0.0035123564
170,0.0032513666
171,0.0019242415
172,0.0013455449
173,0.0010557274
174,0.0011480654
175,0.0016079028
176,0.003634716
177,0.0045398166
178,0.0033809496
179,0.0016832976
180,0.0017037824
181,0.0015365798
182,0.0018393488
183,0.0014330066
184,0.00095945515
185,0.00047111124
186,0.00031925165
187,0.0010140209
188,0.0014577535
189,0.0012786464
190,0.0011434424
191,0.00086198654
192,0.00083460833
193,0.0011844988
194,0.0010945456
195,0.0010614459
196,0.0011581864
197,0.0012267914
198,0.0011544109
199,0.002174538
200,0.0032644449
201,0.0025736177
202,0.0019350407
203,0.0030135529
204,0.0039144075
205,0.0045783613
206,0.004441225
207,0.003584882
208,0.0027615563
209,0.002572317
210,0.0019554035
211,0.0011672225
212,0.0005133851
213,0.00048053073
214,0.0010536301
215,0.0019450767
216,0.0022693442
217,0.0021315115
218,0.0016030264
219,0.0011038128
220,0.0006065249
221,0.00075453904
222,0.0007140722
223,0.0010249546
224,0.001663068
225,0.002221045
226,0.0027958686
227,0.0028821344
228,0.0032269002
229,0.0031017968
230,0.0018232178
231,0.0007286771
232,0.00085261685
233,0.0010052867
234,0.0010929491
235,0.0014434282
236,0.0015187095
237,0.0012680641
238,0.0011740595
239,0.0008472751
240,0.0010453941
241,0.0015393426
242,0.0016503846
243,0.002085757
244,0.0021590244
245,0.0014967426
246,0.0006911238
247,0.0006955314
248,0.0015154098
249,0.0021114547
250,0.0021215067
251,0.0012755472
252,0.0009973227
253,0.001297984
254,0.001586749
255,0.0018642438
256,0.0019126665
257,0.0015978254
258,0.0015004325
259,0.0014634721
