,run_no,predict,valid
1605,7,rough,rough
1606,7,rough,mixed
1607,7,smooth,rough
1608,7,smooth,mixed
1609,7,mixed,mixed
1610,7,mixed,water
1611,7,mixed,mixed
1612,7,rough,mixed
1613,7,mixed,mixed
1614,7,mixed,smooth
1615,7,smooth,water
1616,7,mixed,rough
1617,7,rough,smooth
1618,7,smooth,smooth
1619,7,mixed,mixed
1620,7,mixed,rough
1621,7,smooth,water
1622,7,rough,mixed
1623,7,mixed,rough
1624,7,rough,rough
1625,7,mixed,mixed
1626,7,mixed,rough
1627,7,rough,smooth
1628,7,smooth,water
1629,7,rough,mixed
1630,7,rough,rough
1631,7,mixed,mixed
1632,7,smooth,mixed
1633,7,smooth,smooth
1634,7,rough,rough
1635,7,rough,water
1636,7,mixed,rough
1637,7,rough,smooth
1638,7,rough,mixed
1639,7,rough,rough
1640,7,smooth,smooth
1641,7,mixed,mixed
1642,7,smooth,smooth
1643,7,rough,rough
1644,7,mixed,water
1645,7,mixed,smooth
1646,7,rough,smooth
1647,7,smooth,water
1648,7,smooth,rough
1649,7,mixed,smooth
1650,7,smooth,smooth
1651,7,mixed,smooth
1652,7,smooth,mixed
1653,7,mixed,mixed
1654,7,smooth,mixed
1655,7,rough,smooth
1656,7,mixed,rough
1657,7,smooth,mixed
1658,7,rough,mixed
1659,7,smooth,mixed
1660,7,mixed,mixed
1661,7,rough,rough
1662,7,smooth,water
1663,7,rough,rough
1664,7,smooth,smooth
1665,7,smooth,rough
1666,7,rough,mixed
1667,7,mixed,mixed
1668,7,mixed,rough
1669,7,rough,rough
1670,7,mixed,water
1671,7,rough,rough
1672,7,smooth,smooth
1673,7,rough,water
1674,7,smooth,mixed
1675,7,smooth,mixed
1676,7,rough,smooth
1677,7,mixed,mixed
1678,7,smooth,smooth
1679,7,smooth,smooth
1680,7,smooth,smooth
1681,7,mixed,rough
1682,7,rough,rough
1683,7,rough,rough
1684,7,smooth,water
1685,7,rough,mixed
1686,7,mixed,rough
1687,7,mixed,rough
1688,7,mixed,rough
1689,7,mixed,mixed
1690,7,mixed,rough
1691,7,mixed,mixed
1692,7,mixed,rough
1693,7,smooth,smooth
1694,7,smooth,smooth
1695,7,smooth,smooth
1696,7,smooth,smooth
1697,7,smooth,smooth
1698,7,smooth,smooth
1699,7,smooth,rough
1700,7,smooth,smooth
1701,7,mixed,mixed
1702,7,smooth,smooth
1703,7,smooth,smooth
1704,7,mixed,rough
1705,7,smooth,rough
1706,7,mixed,rough
1707,7,smooth,smooth
1708,7,rough,mixed
1709,7,rough,mixed
1710,7,smooth,rough
1711,7,mixed,rough
1712,7,smooth,rough
1713,7,smooth,mixed
1714,7,rough,mixed
1715,7,rough,rough
1716,7,mixed,mixed
1717,7,smooth,mixed
1718,7,smooth,rough
1719,7,smooth,smooth
1720,7,smooth,rough
1721,7,rough,rough
1722,7,smooth,rough
1723,7,smooth,rough
1724,7,rough,smooth
1725,7,smooth,smooth
1726,7,smooth,mixed
1727,7,mixed,mixed
1728,7,smooth,smooth
1729,7,mixed,smooth
1730,7,smooth,smooth
1731,7,smooth,rough
1732,7,rough,rough
1733,7,rough,water
1734,7,rough,rough
1735,7,smooth,rough
1736,7,smooth,mixed
1737,7,smooth,mixed
1738,7,smooth,smooth
1739,7,smooth,water
1740,7,smooth,smooth
1741,7,smooth,smooth
1742,7,rough,mixed
1743,7,mixed,mixed
1744,7,rough,mixed
1745,7,rough,rough
1746,7,smooth,mixed
1747,7,smooth,mixed
1748,7,smooth,smooth
1749,7,rough,rough
1750,7,smooth,rough
1751,7,smooth,mixed
1752,7,smooth,smooth
1753,7,rough,mixed
1754,7,rough,smooth
1755,7,rough,rough
1756,7,smooth,smooth
1757,7,mixed,water
1758,7,mixed,mixed
1759,7,rough,smooth
1760,7,mixed,mixed
1761,7,smooth,mixed
1762,7,mixed,mixed
1763,7,mixed,rough
1764,7,mixed,mixed
1765,7,smooth,water
1766,7,mixed,smooth
1767,7,smooth,mixed
1768,7,smooth,smooth
1769,7,smooth,smooth
1770,7,smooth,mixed
1771,7,rough,rough
1772,7,smooth,water
1773,7,rough,water
1774,7,smooth,mixed
1775,7,mixed,rough
1776,7,smooth,smooth
1777,7,rough,mixed
1778,7,mixed,mixed
1779,7,smooth,mixed
1780,7,smooth,smooth
1781,7,rough,smooth
1782,7,smooth,water
1783,7,smooth,smooth
1784,7,smooth,smooth
1785,7,mixed,mixed
1786,7,rough,rough
1787,7,smooth,mixed
1788,7,smooth,mixed
1789,7,rough,rough
1790,7,rough,rough
1791,7,rough,mixed
1792,7,smooth,smooth
1793,7,rough,rough
1794,7,smooth,smooth
